Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Kentucky (SEC),13,10-3,34,31,1,0,15,0,282,21.7
Auburn (SEC),13,6-7,32,28,3,0,19,0,283,21.8
Toledo (MAC),13,7-6,29,26,1,0,27,0,283,21.8
Illinois (Big Ten),12,5-7,30,27,1,0,18,0,263,21.9
App State (Sun Belt),14,10-4,37,35,0,0,17,1,310,22.1
Boston College (ACC),12,6-6,32,31,0,0,13,2,266,22.2
California (Pac-12),12,5-7,33,27,3,0,12,0,267,22.2
Army West Point (FBS Independent),13,9-4,37,33,1,0,11,0,290,22.3
Purdue (Big Ten),13,9-4,36,34,1,0,13,0,291,22.4
Utah (Pac-12),14,10-4,38,34,3,0,16,0,316,22.6
Nebraska (Big Ten),12,3-9,31,30,0,1,16,3,272,22.7
Washington (Pac-12),12,4-8,30,30,0,0,20,1,272,22.7
Ohio St. (Big Ten),13,11-2,39,38,0,0,8,0,296,22.8
Arkansas (SEC),13,9-4,35,31,3,0,17,0,298,22.9
Miami (OH) (MAC),13,7-6,39,37,1,0,9,0,300,23.1
UAB (C-USA),13,9-4,41,36,1,0,6,0,302,23.2
Pittsburgh (ACC),14,11-3,43,39,1,0,10,1,331,23.6
Wyoming (Mountain West),13,7-6,38,32,0,0,16,0,308,23.7
Marshall (C-USA),13,7-6,39,36,0,0,13,0,309,23.8
West Virginia (Big 12),13,6-7,36,33,2,0,19,0,310,23.8
South Carolina (SEC),13,7-6,36,35,1,0,19,1,312,24.0
Washington St. (Pac-12),13,7-6,38,32,4,0,15,1,315,24.2
Utah St. (Mountain West),14,11-3,39,37,1,0,23,0,342,24.4
UCF (AAC),13,9-4,40,40,0,0,13,0,319,24.5
UTSA (C-USA),14,12-2,44,37,1,0,14,0,345,24.6
BYU (FBS Independent),13,10-3,38,33,2,0,18,1,321,24.7
Ole Miss (SEC),13,10-3,40,36,2,0,13,1,321,24.7
UTEP (C-USA),13,7-6,40,38,0,0,16,1,328,25.2
Michigan St. (Big Ten),13,11-2,39,36,1,0,19,0,329,25.3
Virginia Tech (ACC),13,6-7,42,39,1,0,12,0,329,25.3
Rutgers (Big Ten),13,5-8,43,40,1,0,11,0,333,25.6
Middle Tenn. (C-USA),13,7-6,42,40,2,0,12,1,334,25.7
East Carolina (AAC),12,7-5,40,35,2,0,10,0,309,25.8
Fla. Atlantic (C-USA),12,5-7,39,35,2,1,10,2,309,25.8
Central Mich. (MAC),13,9-4,42,35,3,0,14,0,335,25.8
Oklahoma (Big 12),13,11-2,43,37,2,0,12,0,335,25.8
Oregon St. (Pac-12),13,7-6,41,39,1,0,16,0,335,25.8
Mississippi St. (SEC),13,7-6,41,38,1,0,17,0,337,25.9
Troy (Sun Belt),12,5-7,38,36,1,0,15,1,313,26.1
Florida (SEC),13,6-7,42,40,1,0,16,0,342,26.3
Syracuse (ACC),12,5-7,37,33,1,1,19,0,316,26.3
South Alabama (Sun Belt),12,5-7,40,35,3,0,10,3,317,26.4
Florida St. (ACC),12,5-7,41,35,2,0,11,0,318,26.5
San Jose St. (Mountain West),12,5-7,36,34,0,0,22,1,318,26.5
Nevada (Mountain West),13,8-5,43,41,2,0,14,0,345,26.5
LSU (SEC),13,6-7,46,42,2,0,8,0,346,26.6
Tulsa (AAC),13,7-6,42,39,2,0,17,0,346,26.6
Colorado (Pac-12),12,4-8,40,38,0,0,14,0,320,26.7
UCLA (Pac-12),12,8-4,39,35,1,0,16,1,321,26.8
Oregon (Pac-12),14,10-4,48,39,4,0,13,2,378,27.0
Georgia St. (Sun Belt),13,8-5,43,38,2,0,16,2,352,27.1
Louisville (ACC),13,6-7,43,40,0,0,19,0,355,27.3
Old Dominion (C-USA),13,6-7,43,41,1,0,18,0,355,27.3
North Texas (C-USA),13,6-7,46,45,0,0,12,0,357,27.5
Southern Miss. (C-USA),12,3-9,42,42,0,0,13,1,335,27.9
Western Mich. (MAC),13,8-5,46,41,1,0,16,0,367,28.2
Colorado St. (Mountain West),12,3-9,43,42,0,0,13,0,339,28.2
Miami (FL) (ACC),12,7-5,40,36,2,0,19,1,339,28.2
Navy (AAC),12,4-8,43,40,2,0,11,2,339,28.2
Ball St. (MAC),13,6-7,44,40,2,0,19,2,369,28.4
New Mexico (Mountain West),12,3-9,39,39,0,0,22,1,341,28.4
SMU (AAC),12,8-4,44,38,0,0,13,0,341,28.4
Wake Forest (ACC),14,11-3,51,48,1,0,16,0,404,28.9
Northwestern (Big Ten),12,3-9,43,39,0,0,17,0,348,29.0
Tennessee (SEC),13,7-6,48,44,2,0,14,0,378,29.1
Memphis (AAC),12,6-6,44,40,1,0,15,0,351,29.2
Western Ky. (C-USA),14,9-5,53,51,0,0,14,0,411,29.4
Buffalo (MAC),12,4-8,47,45,0,0,10,1,359,29.9
Eastern Mich. (MAC),13,7-6,50,44,2,0,14,0,390,30.0
Texas Tech (Big 12),13,7-6,50,48,0,0,14,1,392,30.2
Ohio (MAC),12,3-9,42,36,2,0,22,3,364,30.3
Bowling Green (MAC),12,4-8,47,44,0,0,14,0,368,30.7
Maryland (Big Ten),13,7-6,50,47,1,1,16,0,399,30.7
Texas (Big 12),12,5-7,44,39,2,0,22,0,373,31.1
Hawaii (Mountain West),13,6-7,51,49,1,0,17,0,408,31.4
Arizona (Pac-12),12,1-11,48,45,2,0,12,2,377,31.4
Ga. Southern (Sun Belt),12,3-9,48,45,0,0,14,1,377,31.4
Southern California (Pac-12),12,4-8,52,51,0,0,6,0,381,31.8
Virginia (ACC),12,6-6,48,45,1,0,15,1,382,31.8
North Carolina (ACC),13,6-7,52,46,4,0,17,0,417,32.1
Stanford (Pac-12),12,3-9,50,46,2,0,13,0,389,32.4
UNLV (Mountain West),12,2-10,49,44,1,0,18,0,394,32.8
Texas St. (Sun Belt),12,4-8,50,47,1,0,15,1,396,33.0
Indiana (Big Ten),12,2-10,51,47,1,0,14,1,399,33.2
Georgia Tech (ACC),12,3-9,50,47,2,0,17,0,402,33.5
ULM (Sun Belt),12,4-8,53,51,0,0,11,0,402,33.5
NIU (MAC),14,9-5,61,55,2,0,15,1,472,33.7
Missouri (SEC),13,6-7,57,57,0,0,13,1,440,33.8
Charlotte (C-USA),12,5-7,55,52,1,0,8,0,408,34.0
Louisiana Tech (C-USA),12,3-9,53,50,1,0,12,1,408,34.0
Tulane (AAC),12,2-10,53,48,0,0,14,0,408,34.0
South Fla. (AAC),12,2-10,55,51,0,0,11,1,416,34.7
TCU (Big 12),12,5-7,55,48,1,0,13,0,419,34.9
Vanderbilt (SEC),12,2-10,54,52,0,0,17,0,427,35.6
Rice (C-USA),12,4-8,57,55,0,0,11,2,434,36.2
Kent St. (MAC),14,7-7,65,57,1,0,19,1,508,36.3
Temple (AAC),12,3-9,59,56,1,0,12,1,450,37.5
UConn (FBS Independent),12,1-11,59,57,0,0,17,0,462,38.5
Arkansas St. (Sun Belt),12,2-10,62,61,0,0,10,0,463,38.6
Akron (MAC),12,2-10,62,59,1,0,13,1,474,39.5
FIU (C-USA),12,1-11,62,57,0,0,15,1,476,39.7
Duke (ACC),12,3-9,60,57,0,0,20,0,477,39.8
New Mexico St. (FBS Independent),12,2-10,64,60,1,0,13,0,485,40.4
Kansas (Big 12),12,2-10,68,68,0,0,10,0,506,42.2
Massachusetts (FBS Independent),12,1-11,70,64,2,0,9,1,517,43.1
