Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Auburn (SEC),13,6-7,377:44,29:03
Colorado St. (Mountain West),12,3-9,348:26,29:02
Arkansas (SEC),13,9-4,376:25,28:57
Nebraska (Big Ten),12,3-9,346:38,28:53
Nevada (Mountain West),13,8-5,375:23,28:53
Arkansas St. (Sun Belt),12,2-10,346:01,28:50
Wake Forest (ACC),14,11-3,401:17,28:40
Maryland (Big Ten),13,7-6,372:11,28:38
Washington (Pac-12),12,4-8,343:32,28:38
UCF (AAC),13,9-4,371:05,28:33
Louisiana Tech (C-USA),12,3-9,342:09,28:31
ULM (Sun Belt),12,4-8,340:09,28:21
Northwestern (Big Ten),12,3-9,339:57,28:20
Michigan St. (Big Ten),13,11-2,368:12,28:19
Florida St. (ACC),12,5-7,339:52,28:19
Stanford (Pac-12),12,3-9,339:18,28:16
Texas St. (Sun Belt),12,4-8,339:05,28:15
Texas (Big 12),12,5-7,337:08,28:06
Toledo (MAC),13,7-6,363:26,27:57
Penn St. (Big Ten),13,7-6,363:23,27:57
Texas Tech (Big 12),13,7-6,363:20,27:57
North Carolina (ACC),13,6-7,362:53,27:55
Western Ky. (C-USA),14,9-5,389:28,27:49
Troy (Sun Belt),12,5-7,330:54,27:34
Hawaii (Mountain West),13,6-7,357:43,27:31
Georgia St. (Sun Belt),13,8-5,357:41,27:31
Ball St. (MAC),13,6-7,357:40,27:31
Ole Miss (SEC),13,10-3,357:13,27:29
Fla. Atlantic (C-USA),12,5-7,328:55,27:25
Marshall (C-USA),13,7-6,356:07,27:24
Miami (FL) (ACC),12,7-5,328:26,27:22
Colorado (Pac-12),12,4-8,326:22,27:12
Temple (AAC),12,3-9,325:44,27:09
Cincinnati (AAC),14,13-1,379:53,27:08
Kent St. (MAC),14,7-7,373:37,26:41
Memphis (AAC),12,6-6,319:51,26:39
FIU (C-USA),12,1-11,319:03,26:35
San Jose St. (Mountain West),12,5-7,317:39,26:28
UConn (FBS Independent),12,1-11,309:53,25:49
Tennessee (SEC),13,7-6,318:21,24:29
