Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Florida St. (ACC),13,10-3,66,28,18,10,56,0.848
Arizona St. (Pac-12),12,3-9,46,18,14,7,39,0.848
South Carolina (SEC),13,8-5,52,24,13,7,44,0.846
Oregon (Pac-12),13,10-3,70,28,21,10,59,0.843
UCLA (Pac-12),13,9-4,69,29,18,11,58,0.841
Oklahoma (Big 12),13,6-7,50,24,11,7,42,0.840
TCU (Big 12),15,13-2,61,26,16,9,51,0.836
Utah (Pac-12),14,10-4,73,31,22,8,61,0.836
Arkansas (SEC),13,7-6,59,25,14,10,49,0.831
Louisville (ACC),13,8-5,47,16,7,16,39,0.830
Pittsburgh (ACC),13,9-4,47,22,6,11,39,0.830
Georgia St. (Sun Belt),12,4-8,41,21,8,5,34,0.829
Nevada (Mountain West),12,2-10,35,17,2,10,29,0.829
San Diego St. (Mountain West),13,7-6,35,5,8,16,29,0.829
UConn (FBS Independent),13,6-7,35,14,6,9,29,0.829
San Jose St. (Mountain West),12,7-5,52,16,15,12,43,0.827
California (Pac-12),12,4-8,40,8,16,9,33,0.825
Duke (ACC),13,9-4,56,24,11,11,46,0.821
Virginia Tech (ACC),11,3-8,28,14,4,5,23,0.821
Hawaii (Mountain West),13,3-10,39,11,7,14,32,0.821
Navy (AAC),12,4-8,33,16,1,10,27,0.818
Wisconsin (Big Ten),13,7-6,44,15,13,8,36,0.818
Oregon St. (Pac-12),13,10-3,60,30,10,9,49,0.817
Arizona (Pac-12),12,5-7,54,15,17,12,44,0.815
Iowa (Big Ten),13,8-5,27,7,5,10,22,0.815
Boston College (ACC),12,3-9,32,4,14,8,26,0.812
Miami (FL) (ACC),12,5-7,48,12,14,13,39,0.812
Troy (Sun Belt),14,12-2,48,17,9,13,39,0.812
Southern Miss. (Sun Belt),13,7-6,37,8,7,15,30,0.811
Missouri (SEC),13,6-7,47,19,9,10,38,0.809
Rice (CUSA),13,5-8,46,16,10,11,37,0.804
Illinois (Big Ten),13,8-5,51,15,9,17,41,0.804
Middle Tenn. (CUSA),13,8-5,56,17,14,14,45,0.804
Baylor (Big 12),13,6-7,55,29,10,5,44,0.800
Massachusetts (FBS Independent),12,1-11,25,8,2,10,20,0.800
UTEP (CUSA),12,5-7,40,11,7,14,32,0.800
Western Ky. (CUSA),14,9-5,60,13,22,13,48,0.800
Ole Miss (SEC),13,8-5,64,28,14,9,51,0.797
App State (Sun Belt),12,6-6,54,21,14,8,43,0.796
Fla. Atlantic (CUSA),12,5-7,49,16,17,6,39,0.796
BYU (FBS Independent),13,8-5,44,11,15,9,35,0.795
Miami (OH) (MAC),13,6-7,39,11,9,11,31,0.795
Kentucky (SEC),13,7-6,47,8,17,12,37,0.787
Liberty (FBS Independent),13,8-5,47,18,11,8,37,0.787
New Mexico (Mountain West),12,2-10,28,11,2,9,22,0.786
North Carolina (ACC),14,9-5,70,19,25,11,55,0.786
Old Dominion (Sun Belt),12,3-9,28,5,9,8,22,0.786
Rutgers (Big Ten),12,4-8,28,7,8,7,22,0.786
Fresno St. (Mountain West),14,10-4,65,22,13,16,51,0.785
UCF (AAC),14,9-5,65,28,12,11,51,0.785
UAB (CUSA),13,7-6,51,21,10,9,40,0.784
Kent St. (MAC),12,5-7,49,20,7,11,38,0.776
Louisiana (Sun Belt),13,6-7,44,9,15,10,34,0.773
Bowling Green (MAC),13,6-7,39,7,13,10,30,0.769
Coastal Carolina (Sun Belt),13,9-4,42,19,9,4,32,0.762
Colorado (Pac-12),12,1-11,29,9,6,7,22,0.759
Northwestern (Big Ten),12,1-11,33,11,7,7,25,0.758
Florida (SEC),13,6-7,52,21,10,8,39,0.750
Virginia (ACC),10,3-7,32,12,4,8,24,0.750
Indiana (Big Ten),12,4-8,43,10,12,10,32,0.744
Central Mich. (MAC),12,4-8,42,19,10,2,31,0.738
Western Mich. (MAC),12,5-7,33,11,3,10,24,0.727
Michigan St. (Big Ten),12,5-7,39,15,10,3,28,0.718
Louisiana Tech (CUSA),12,3-9,49,11,12,12,35,0.714
Marshall (Sun Belt),13,9-4,49,15,10,10,35,0.714
Georgia Tech (ACC),12,5-7,38,10,5,12,27,0.711
Iowa St. (Big 12),12,4-8,44,9,13,9,31,0.705
Utah St. (Mountain West),13,6-7,37,10,8,8,26,0.703
FIU (CUSA),12,4-8,34,9,10,4,23,0.676
Colorado St. (Mountain West),12,3-9,23,2,3,7,12,0.522
James Madison (Sun Belt),11,8-3,56,22,15,10,47,0.839
