Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Miami (FL) (ACC),12,5-7,40,40,0,0,13,1,321,26.8
Baylor (Big 12),13,6-7,44,39,0,1,14,1,349,26.8
Ball St. (MAC),12,5-7,40,35,2,0,14,1,323,26.9
Colorado St. (Mountain West),12,3-9,41,41,0,0,12,0,323,26.9
UTEP (CUSA),12,5-7,41,37,1,0,13,0,324,27.0
East Carolina (AAC),13,8-5,44,41,3,0,14,0,353,27.2
Purdue (Big Ten),14,8-6,50,43,2,0,12,0,383,27.4
Oregon (Pac-12),13,10-3,43,41,0,0,19,0,356,27.4
Michigan St. (Big Ten),12,5-7,41,38,2,0,13,1,329,27.4
Nebraska (Big Ten),12,4-8,41,37,0,0,16,0,331,27.6
Middle Tenn. (CUSA),13,8-5,46,43,0,0,13,1,360,27.7
California (Pac-12),12,4-8,43,39,2,0,11,0,334,27.8
Central Mich. (MAC),12,4-8,44,39,2,0,9,2,338,28.2
Ohio (MAC),14,10-4,49,45,2,0,17,1,396,28.3
Wake Forest (ACC),13,8-5,45,34,4,0,18,1,368,28.3
Northwestern (Big Ten),12,1-11,43,43,0,0,13,0,340,28.3
Georgia Tech (ACC),12,5-7,42,39,1,0,16,0,341,28.4
Eastern Mich. (MAC),13,9-4,47,40,0,0,16,0,370,28.5
UNLV (Mountain West),12,5-7,41,38,1,0,18,1,342,28.5
Florida (SEC),13,6-7,48,43,1,0,14,0,375,28.8
South Carolina (SEC),13,8-5,48,45,1,0,12,2,375,28.8
Oklahoma St. (Big 12),13,7-6,47,41,4,0,15,0,376,28.9
Kent St. (MAC),12,5-7,42,41,0,0,17,2,348,29.0
TCU (Big 12),15,13-2,55,50,2,0,17,0,435,29.0
UCLA (Pac-12),13,9-4,45,38,6,0,19,0,377,29.0
Texas Tech (Big 12),13,8-5,45,41,1,0,22,0,379,29.2
Southern California (Pac-12),14,11-3,54,45,4,0,10,1,409,29.2
Rutgers (Big Ten),12,4-8,45,45,0,0,12,0,351,29.2
Temple (AAC),12,3-9,44,43,1,0,14,0,351,29.2
BYU (FBS Independent),13,8-5,48,40,1,0,17,1,383,29.5
Auburn (SEC),12,5-7,45,42,0,0,14,0,354,29.5
Oklahoma (Big 12),13,6-7,49,44,2,0,16,0,390,30.0
Boston College (ACC),12,3-9,45,38,1,0,18,0,364,30.3
Arkansas (SEC),13,7-6,51,37,5,0,15,0,398,30.6
North Carolina (ACC),14,9-5,57,52,2,0,11,0,431,30.8
Nevada (Mountain West),12,2-10,45,43,1,0,18,1,371,30.9
Massachusetts (FBS Independent),12,1-11,48,46,0,0,13,0,373,31.1
Utah St. (Mountain West),13,6-7,49,45,3,0,20,0,405,31.2
Georgia St. (Sun Belt),12,4-8,49,44,3,0,10,0,374,31.2
Arizona St. (Pac-12),12,3-9,46,43,2,0,18,0,377,31.4
Arkansas St. (Sun Belt),12,3-9,50,42,3,0,9,1,377,31.4
Ga. Southern (Sun Belt),13,6-7,49,46,1,0,23,0,411,31.6
North Texas (CUSA),14,7-7,55,53,1,0,19,1,444,31.7
Coastal Carolina (Sun Belt),13,9-4,51,49,1,0,19,0,414,31.8
Houston (AAC),13,8-5,52,44,1,0,20,0,418,32.2
Stanford (Pac-12),12,3-9,50,45,1,0,13,0,386,32.2
Bowling Green (MAC),13,6-7,54,50,5,0,13,0,423,32.5
NIU (MAC),12,3-9,50,49,0,0,14,1,393,32.8
West Virginia (Big 12),12,5-7,50,46,1,1,15,0,395,32.9
Tulsa (AAC),12,5-7,47,45,1,0,22,1,397,33.1
Akron (MAC),12,2-10,51,48,0,0,16,0,402,33.5
SMU (AAC),13,7-6,56,50,2,0,16,1,440,33.8
Indiana (Big Ten),12,4-8,53,50,0,0,13,0,407,33.9
Rice (CUSA),13,5-8,57,55,1,0,15,0,444,34.2
ULM (Sun Belt),12,4-8,53,53,0,0,14,0,413,34.4
Hawaii (Mountain West),13,3-10,55,53,1,0,22,0,451,34.7
Kansas (Big 12),13,6-7,58,52,4,0,17,1,461,35.5
Vanderbilt (SEC),12,5-7,56,51,0,0,15,0,432,36.0
Arizona (Pac-12),12,5-7,60,57,0,0,7,0,438,36.5
FIU (CUSA),12,4-8,58,53,1,0,14,1,447,37.2
Louisiana Tech (CUSA),12,3-9,58,54,1,0,17,0,455,37.9
Charlotte (CUSA),12,3-9,62,53,3,0,14,0,473,39.4
South Fla. (AAC),12,1-11,64,61,1,0,15,1,494,41.2
Colorado (Pac-12),12,1-11,72,69,1,0,9,2,534,44.5
James Madison (Sun Belt),11,8-3,28,25,1,1,11,0,230,20.9
