Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Wyoming (Mountain West),13,7-6,8,6,14,4,12,16,-2,-0.15
Tulsa (AAC),12,5-7,10,6,16,8,10,18,-2,-0.17
Liberty (FBS Independent),13,8-5,10,14,24,12,15,27,-3,-0.23
Missouri (SEC),13,6-7,7,11,18,12,9,21,-3,-0.23
Notre Dame (FBS Independent),13,9-4,5,10,15,7,11,18,-3,-0.23
Southern Miss. (Sun Belt),13,7-6,5,17,22,11,14,25,-3,-0.23
UCLA (Pac-12),13,9-4,7,11,18,9,12,21,-3,-0.23
Wake Forest (ACC),13,8-5,9,7,16,6,13,19,-3,-0.23
Louisiana Tech (CUSA),12,3-9,11,11,22,6,19,25,-3,-0.25
Massachusetts (FBS Independent),12,1-11,8,9,17,6,14,20,-3,-0.25
Miami (FL) (ACC),12,5-7,8,14,22,13,12,25,-3,-0.25
Nebraska (Big Ten),12,4-8,7,9,16,6,13,19,-3,-0.25
UCF (AAC),14,9-5,11,6,17,12,9,21,-4,-0.29
Oklahoma St. (Big 12),13,7-6,6,13,19,5,18,23,-4,-0.31
South Carolina (SEC),13,8-5,8,15,23,13,14,27,-4,-0.31
Colorado St. (Mountain West),12,3-9,7,8,15,8,11,19,-4,-0.33
Indiana (Big Ten),12,4-8,7,7,14,5,13,18,-4,-0.33
Michigan St. (Big Ten),12,5-7,10,2,12,4,12,16,-4,-0.33
South Fla. (AAC),12,1-11,10,6,16,11,9,20,-4,-0.33
Ga. Southern (Sun Belt),13,6-7,5,11,16,5,16,21,-5,-0.38
Houston (AAC),13,8-5,6,8,14,9,10,19,-5,-0.38
New Mexico St. (FBS Independent),13,7-6,7,7,14,6,13,19,-5,-0.38
San Diego St. (Mountain West),13,7-6,7,13,20,11,14,25,-5,-0.38
Arizona (Pac-12),12,5-7,12,4,16,8,13,21,-5,-0.42
UTEP (CUSA),12,5-7,11,5,16,9,12,21,-5,-0.42
North Texas (CUSA),14,7-7,8,8,16,6,16,22,-6,-0.43
Texas Tech (Big 12),13,8-5,9,10,19,7,18,25,-6,-0.46
Ball St. (MAC),12,5-7,8,7,15,7,14,21,-6,-0.50
FIU (CUSA),12,4-8,9,7,16,6,16,22,-6,-0.50
Rutgers (Big Ten),12,4-8,5,9,14,6,14,20,-6,-0.50
Virginia Tech (ACC),11,3-8,5,4,9,6,9,15,-6,-0.55
Toledo (MAC),14,9-5,6,12,18,11,15,26,-8,-0.57
Arizona St. (Pac-12),12,3-9,1,11,12,9,10,19,-7,-0.58
Iowa St. (Big 12),12,4-8,8,7,15,7,15,22,-7,-0.58
ULM (Sun Belt),12,4-8,2,6,8,8,7,15,-7,-0.58
Hawaii (Mountain West),13,3-10,2,10,12,8,12,20,-8,-0.62
Charlotte (CUSA),12,3-9,4,9,13,7,14,21,-8,-0.67
West Virginia (Big 12),12,5-7,6,4,10,6,12,18,-8,-0.67
Utah St. (Mountain West),13,6-7,7,11,18,6,21,27,-9,-0.69
Auburn (SEC),12,5-7,7,6,13,11,12,23,-10,-0.83
Stanford (Pac-12),12,3-9,5,6,11,13,8,21,-10,-0.83
Virginia (ACC),10,3-7,8,5,13,10,12,22,-9,-0.90
Boston College (ACC),12,3-9,8,7,15,12,14,26,-11,-0.92
Colorado (Pac-12),12,1-11,5,6,11,12,10,22,-11,-0.92
Temple (AAC),12,3-9,6,6,12,11,12,23,-11,-0.92
Rice (CUSA),13,5-8,11,8,19,12,20,32,-13,-1.00
Akron (MAC),12,2-10,4,9,13,14,12,26,-13,-1.08
Central Mich. (MAC),12,4-8,6,4,10,18,10,28,-18,-1.50
Northwestern (Big Ten),12,1-11,6,6,12,14,17,31,-19,-1.58
James Madison (Sun Belt),11,8-3,13,11,24,10,10,20,4,0.36
