Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Tulsa (AAC),12,5-7,123,105,19,247
Florida St. (ACC),13,10-3,117,107,24,248
Louisiana (Sun Belt),13,6-7,101,119,28,248
Arkansas St. (Sun Belt),12,3-9,114,110,25,249
Southern Miss. (Sun Belt),13,7-6,102,126,21,249
Texas A&M (SEC),12,5-7,129,95,25,249
UNLV (Mountain West),12,5-7,116,111,23,250
Syracuse (ACC),13,7-6,121,114,16,251
Fla. Atlantic (CUSA),12,5-7,95,131,26,252
Memphis (AAC),13,7-6,94,140,18,252
Akron (MAC),12,2-10,111,118,24,253
New Mexico St. (FBS Independent),13,7-6,109,122,23,254
UAB (CUSA),13,7-6,108,124,22,254
Wyoming (Mountain West),13,7-6,115,121,19,255
Purdue (Big Ten),14,8-6,95,134,27,256
Vanderbilt (SEC),12,5-7,90,145,21,256
Clemson (ACC),14,11-3,89,143,25,257
Fresno St. (Mountain West),14,10-4,109,122,26,257
ULM (Sun Belt),12,4-8,117,127,14,258
West Virginia (Big 12),12,5-7,102,136,22,260
Miami (OH) (MAC),13,6-7,99,140,24,263
LSU (SEC),14,10-4,118,127,19,264
Georgia St. (Sun Belt),12,4-8,124,112,29,265
Kansas St. (Big 12),14,10-4,105,138,22,265
Stanford (Pac-12),12,3-9,135,107,23,265
Cincinnati (AAC),13,9-4,117,114,35,266
Washington St. (Pac-12),13,7-6,111,136,19,266
NIU (MAC),12,3-9,97,143,27,267
Texas Tech (Big 12),13,8-5,113,133,21,267
Maryland (Big Ten),13,8-5,97,132,39,268
Wake Forest (ACC),13,8-5,105,148,15,268
Coastal Carolina (Sun Belt),13,9-4,92,156,22,270
Duke (ACC),13,9-4,99,153,18,270
Baylor (Big 12),13,6-7,123,130,19,272
Michigan St. (Big Ten),12,5-7,114,140,18,272
Oklahoma St. (Big 12),13,7-6,108,149,16,273
Georgia Tech (ACC),12,5-7,128,115,31,274
East Carolina (AAC),13,8-5,93,168,14,275
Eastern Mich. (MAC),13,9-4,107,130,38,275
Tulane (AAC),14,12-2,124,138,13,275
Indiana (Big Ten),12,4-8,104,149,23,276
Nebraska (Big Ten),12,4-8,133,129,14,276
Texas (Big 12),13,8-5,95,159,22,276
Troy (Sun Belt),14,12-2,109,144,23,276
Washington (Pac-12),13,11-2,106,145,25,276
Ole Miss (SEC),13,8-5,125,128,24,277
Utah St. (Mountain West),13,6-7,130,120,28,278
Ball St. (MAC),12,5-7,126,128,25,279
Kent St. (MAC),12,5-7,111,151,17,279
Middle Tenn. (CUSA),13,8-5,92,164,23,279
Bowling Green (MAC),13,6-7,115,146,20,281
California (Pac-12),12,4-8,107,162,12,281
UConn (FBS Independent),13,6-7,131,123,27,281
UTSA (CUSA),14,11-3,111,142,28,281
Hawaii (Mountain West),13,3-10,132,129,21,282
UCF (AAC),14,9-5,104,147,31,282
Old Dominion (Sun Belt),12,3-9,130,126,27,283
Oregon (Pac-12),13,10-3,94,161,28,283
SMU (AAC),13,7-6,134,129,21,284
Arizona St. (Pac-12),12,3-9,120,138,30,288
Louisiana Tech (CUSA),12,3-9,140,124,26,290
FIU (CUSA),12,4-8,120,142,29,291
Charlotte (CUSA),12,3-9,130,136,26,292
South Carolina (SEC),13,8-5,139,122,31,292
BYU (FBS Independent),13,8-5,127,138,28,293
Arkansas (SEC),13,7-6,112,156,27,295
Florida (SEC),13,6-7,135,140,21,296
UCLA (Pac-12),13,9-4,115,159,22,296
Houston (AAC),13,8-5,111,162,30,303
Western Ky. (CUSA),14,9-5,116,161,27,304
Tennessee (SEC),13,11-2,96,178,33,307
Arizona (Pac-12),12,5-7,140,139,30,309
Colorado (Pac-12),12,1-11,150,145,14,309
South Fla. (AAC),12,1-11,134,159,16,309
Ohio (MAC),14,10-4,98,188,24,310
Southern California (Pac-12),14,11-3,120,162,28,310
Ga. Southern (Sun Belt),13,6-7,162,141,15,318
TCU (Big 12),15,13-2,132,162,24,318
North Carolina (ACC),14,9-5,124,169,29,322
Kansas (Big 12),13,6-7,143,155,25,323
North Texas (CUSA),14,7-7,149,163,16,328
Oklahoma (Big 12),13,6-7,139,173,23,335
James Madison (Sun Belt),11,8-3,44,95,13,152
