Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Arizona St. (Pac-12),12,3-9,368:29,30:42
Boise St. (Mountain West),14,10-4,429:23,30:40
Penn St. (Big Ten),13,11-2,397:50,30:36
Memphis (AAC),13,7-6,397:40,30:35
App State (Sun Belt),12,6-6,367:04,30:35
UCF (AAC),14,9-5,427:35,30:33
Troy (Sun Belt),14,12-2,427:01,30:30
Akron (MAC),12,2-10,365:50,30:29
TCU (Big 12),15,13-2,456:57,30:28
UConn (FBS Independent),13,6-7,395:58,30:28
Texas St. (Sun Belt),12,4-8,365:27,30:27
Western Mich. (MAC),12,5-7,365:23,30:27
Miami (OH) (MAC),13,6-7,394:24,30:20
Auburn (SEC),12,5-7,362:44,30:14
Houston (AAC),13,8-5,391:07,30:05
Louisville (ACC),13,8-5,390:46,30:04
Kansas (Big 12),13,6-7,390:03,30:00
Alabama (SEC),13,11-2,389:25,29:57
North Carolina (ACC),14,9-5,418:51,29:55
Toledo (MAC),14,9-5,418:48,29:55
Stanford (Pac-12),12,3-9,358:49,29:54
UTSA (CUSA),14,11-3,415:55,29:43
Tulane (AAC),14,12-2,415:04,29:39
Texas Tech (Big 12),13,8-5,384:53,29:36
Louisiana Tech (CUSA),12,3-9,354:59,29:35
Charlotte (CUSA),12,3-9,354:52,29:34
ULM (Sun Belt),12,4-8,353:49,29:29
Colorado St. (Mountain West),12,3-9,353:43,29:29
South Fla. (AAC),12,1-11,353:41,29:28
Louisiana (Sun Belt),13,6-7,382:52,29:27
Arkansas (SEC),13,7-6,381:29,29:21
Mississippi St. (SEC),13,9-4,379:46,29:13
Rutgers (Big Ten),12,4-8,350:16,29:11
BYU (FBS Independent),13,8-5,379:13,29:10
Wyoming (Mountain West),13,7-6,378:21,29:06
Bowling Green (MAC),13,6-7,378:02,29:05
Florida (SEC),13,6-7,377:34,29:03
New Mexico (Mountain West),12,2-10,348:27,29:02
Northwestern (Big Ten),12,1-11,348:18,29:01
Arkansas St. (Sun Belt),12,3-9,347:55,29:00
Boston College (ACC),12,3-9,347:29,28:57
Virginia Tech (ACC),11,3-8,318:05,28:55
Tulsa (AAC),12,5-7,346:42,28:54
Western Ky. (CUSA),14,9-5,404:03,28:52
Fla. Atlantic (CUSA),12,5-7,345:43,28:49
Utah St. (Mountain West),13,6-7,374:24,28:48
Syracuse (ACC),13,7-6,374:11,28:47
Middle Tenn. (CUSA),13,8-5,373:51,28:45
UNLV (Mountain West),12,5-7,345:05,28:45
California (Pac-12),12,4-8,344:30,28:42
South Carolina (SEC),13,8-5,372:57,28:41
Liberty (FBS Independent),13,8-5,372:10,28:38
San Jose St. (Mountain West),12,7-5,343:05,28:35
Southern Miss. (Sun Belt),13,7-6,371:25,28:34
Wake Forest (ACC),13,8-5,370:56,28:32
Nevada (Mountain West),12,2-10,341:49,28:29
Georgia Tech (ACC),12,5-7,341:30,28:27
New Mexico St. (FBS Independent),13,7-6,369:07,28:24
Iowa (Big Ten),13,8-5,368:16,28:20
Hawaii (Mountain West),13,3-10,367:40,28:17
Cincinnati (AAC),13,9-4,367:27,28:16
Central Mich. (MAC),12,4-8,338:48,28:14
Arizona (Pac-12),12,5-7,336:42,28:03
Ball St. (MAC),12,5-7,336:03,28:00
Georgia St. (Sun Belt),12,4-8,335:14,27:56
Texas A&M (SEC),12,5-7,334:22,27:52
Oklahoma St. (Big 12),13,7-6,361:02,27:46
Ga. Southern (Sun Belt),13,6-7,359:52,27:41
UCLA (Pac-12),13,9-4,359:37,27:40
Washington St. (Pac-12),13,7-6,359:15,27:38
Temple (AAC),12,3-9,331:06,27:36
Virginia (ACC),10,3-7,275:36,27:34
SMU (AAC),13,7-6,357:38,27:31
Colorado (Pac-12),12,1-11,328:42,27:24
Texas (Big 12),13,8-5,355:02,27:19
FIU (CUSA),12,4-8,327:09,27:16
North Texas (CUSA),14,7-7,377:44,26:59
Nebraska (Big Ten),12,4-8,320:45,26:44
Kent St. (MAC),12,5-7,320:10,26:41
Ole Miss (SEC),13,8-5,343:17,26:24
Oklahoma (Big 12),13,6-7,343:01,26:23
Michigan St. (Big Ten),12,5-7,314:41,26:13
Indiana (Big Ten),12,4-8,306:45,25:34
Old Dominion (Sun Belt),12,3-9,302:20,25:12
Tennessee (SEC),13,11-2,325:30,25:02
James Madison (Sun Belt),11,8-3,371:05,33:44
