Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Texas A&M (SEC),12,5-7,11,22,0.500
Wisconsin (Big Ten),13,7-6,11,22,0.500
Ball St. (MAC),12,5-7,16,31,0.516
North Texas (CUSA),14,7-7,16,31,0.516
Penn St. (Big Ten),13,11-2,15,29,0.517
Troy (Sun Belt),14,12-2,15,29,0.517
Ga. Southern (Sun Belt),13,6-7,12,23,0.522
New Mexico St. (FBS Independent),13,7-6,12,23,0.522
FIU (CUSA),12,4-8,11,21,0.524
Miami (OH) (MAC),13,6-7,10,19,0.526
Massachusetts (FBS Independent),12,1-11,9,17,0.529
Oklahoma St. (Big 12),13,7-6,17,32,0.531
Texas (Big 12),13,8-5,20,37,0.541
Florida St. (ACC),13,10-3,13,24,0.542
Hawaii (Mountain West),13,3-10,13,24,0.542
UAB (CUSA),13,7-6,19,35,0.543
Arkansas (SEC),13,7-6,12,22,0.545
Liberty (FBS Independent),13,8-5,16,29,0.552
BYU (FBS Independent),13,8-5,15,27,0.556
Minnesota (Big Ten),13,9-4,15,27,0.556
South Carolina (SEC),13,8-5,10,18,0.556
Wyoming (Mountain West),13,7-6,10,18,0.556
Houston (AAC),13,8-5,19,34,0.559
Tulane (AAC),14,12-2,25,44,0.568
Arizona (Pac-12),12,5-7,12,21,0.571
Missouri (SEC),13,6-7,12,21,0.571
Utah St. (Mountain West),13,6-7,8,14,0.571
Virginia (ACC),10,3-7,8,14,0.571
West Virginia (Big 12),12,5-7,16,28,0.571
California (Pac-12),12,4-8,15,26,0.577
Navy (AAC),12,4-8,11,19,0.579
Kent St. (MAC),12,5-7,18,31,0.581
Tulsa (AAC),12,5-7,14,24,0.583
Texas St. (Sun Belt),12,4-8,17,29,0.586
Iowa St. (Big 12),12,4-8,10,17,0.588
Eastern Mich. (MAC),13,9-4,12,20,0.600
Miami (FL) (ACC),12,5-7,9,15,0.600
South Alabama (Sun Belt),13,10-3,15,25,0.600
UNLV (Mountain West),12,5-7,17,28,0.607
South Fla. (AAC),12,1-11,14,23,0.609
Michigan St. (Big Ten),12,5-7,16,26,0.615
Old Dominion (Sun Belt),12,3-9,16,26,0.615
San Jose St. (Mountain West),12,7-5,16,26,0.615
Iowa (Big Ten),13,8-5,20,32,0.625
Virginia Tech (ACC),11,3-8,10,16,0.625
Charlotte (CUSA),12,3-9,17,27,0.630
Georgia Tech (ACC),12,5-7,14,22,0.636
NIU (MAC),12,3-9,14,22,0.636
Arkansas St. (Sun Belt),12,3-9,16,25,0.640
Nevada (Mountain West),12,2-10,11,17,0.647
SMU (AAC),13,7-6,24,37,0.649
Southern California (Pac-12),14,11-3,19,29,0.655
Louisiana Tech (CUSA),12,3-9,18,27,0.667
Nebraska (Big Ten),12,4-8,10,15,0.667
Rutgers (Big Ten),12,4-8,16,24,0.667
Kansas (Big 12),13,6-7,19,28,0.679
Akron (MAC),12,2-10,17,25,0.680
Colorado St. (Mountain West),12,3-9,13,19,0.684
New Mexico (Mountain West),12,2-10,16,23,0.696
UCLA (Pac-12),13,9-4,21,30,0.700
Northwestern (Big Ten),12,1-11,12,17,0.706
UTEP (CUSA),12,5-7,10,14,0.714
Stanford (Pac-12),12,3-9,17,23,0.739
James Madison (Sun Belt),11,8-3,8,17,0.471
