Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Maryland (Big Ten),13,8-5,49,11,14,15,40,0.816
Kentucky (SEC),13,7-6,33,12,6,9,27,0.818
Mississippi St. (SEC),13,9-4,44,14,11,11,36,0.818
New Mexico St. (FBS Independent),13,7-6,44,15,10,11,36,0.818
Southern California (Pac-12),14,11-3,56,26,13,7,46,0.821
Michigan (Big Ten),14,13-1,34,8,7,13,28,0.824
Charlotte (CUSA),12,3-9,57,23,13,11,47,0.825
Kansas St. (Big 12),14,10-4,40,14,13,6,33,0.825
Clemson (ACC),14,11-3,46,12,14,12,38,0.826
Kent St. (MAC),12,5-7,46,15,10,13,38,0.826
Liberty (FBS Independent),13,8-5,46,15,11,12,38,0.826
Purdue (Big Ten),14,8-6,46,15,16,7,38,0.826
Florida St. (ACC),13,10-3,41,13,11,10,34,0.829
Miami (FL) (ACC),12,5-7,47,17,10,12,39,0.830
Bowling Green (MAC),13,6-7,53,19,17,8,44,0.830
Coastal Carolina (Sun Belt),13,9-4,54,17,13,15,45,0.833
Memphis (AAC),13,7-6,42,16,12,7,35,0.833
South Carolina (SEC),13,8-5,54,20,16,9,45,0.833
South Fla. (AAC),12,1-11,61,24,13,14,51,0.836
Louisiana Tech (CUSA),12,3-9,55,21,11,14,46,0.836
UConn (FBS Independent),13,6-7,49,20,11,10,41,0.837
West Virginia (Big 12),12,5-7,43,19,10,7,36,0.837
FIU (CUSA),12,4-8,62,26,13,13,52,0.839
Florida (SEC),13,6-7,56,26,10,11,47,0.839
Syracuse (ACC),13,7-6,44,14,13,10,37,0.841
North Texas (CUSA),14,7-7,57,22,12,14,48,0.842
Southern Miss. (Sun Belt),13,7-6,38,13,8,11,32,0.842
Ball St. (MAC),12,5-7,45,19,10,9,38,0.844
UAB (CUSA),13,7-6,45,21,12,5,38,0.844
Vanderbilt (SEC),12,5-7,45,13,15,10,38,0.844
TCU (Big 12),15,13-2,58,26,11,12,49,0.845
Kansas (Big 12),13,6-7,65,32,9,14,55,0.846
SMU (AAC),13,7-6,52,21,12,11,44,0.846
Akron (MAC),12,2-10,53,23,10,12,45,0.849
Toledo (MAC),14,9-5,40,19,9,6,34,0.850
Wyoming (Mountain West),13,7-6,47,15,13,12,40,0.851
Colorado (Pac-12),12,1-11,68,31,21,6,58,0.853
Tulane (AAC),14,12-2,41,11,14,10,35,0.854
North Carolina (ACC),14,9-5,50,23,14,6,43,0.860
NC State (ACC),13,8-5,36,12,9,10,31,0.861
Oklahoma (Big 12),13,6-7,58,26,13,11,50,0.862
Fla. Atlantic (CUSA),12,5-7,45,13,18,8,39,0.867
Buffalo (MAC),13,7-6,46,17,13,10,40,0.870
Oklahoma St. (Big 12),13,7-6,46,15,12,13,40,0.870
Arkansas (SEC),13,7-6,54,20,15,12,47,0.870
Boston College (ACC),12,3-9,48,18,14,10,42,0.875
Georgia St. (Sun Belt),12,4-8,40,17,13,5,35,0.875
Louisiana (Sun Belt),13,6-7,40,14,11,10,35,0.875
Missouri (SEC),13,6-7,40,17,9,9,35,0.875
Arizona (Pac-12),12,5-7,57,27,18,5,50,0.877
Duke (ACC),13,9-4,41,10,17,9,36,0.878
Miami (OH) (MAC),13,6-7,42,14,12,11,37,0.881
Virginia (ACC),10,3-7,34,10,5,15,30,0.882
BYU (FBS Independent),13,8-5,60,19,19,15,53,0.883
Hawaii (Mountain West),13,3-10,60,21,15,17,53,0.883
Utah (Pac-12),14,10-4,43,13,17,8,38,0.884
Ohio (MAC),14,10-4,52,16,18,12,46,0.885
Ole Miss (SEC),13,8-5,52,16,18,12,46,0.885
Rice (CUSA),13,5-8,52,14,22,10,46,0.885
UCLA (Pac-12),13,9-4,52,18,16,12,46,0.885
Navy (AAC),12,4-8,35,5,11,15,31,0.886
Massachusetts (FBS Independent),12,1-11,44,22,8,9,39,0.886
Northwestern (Big Ten),12,1-11,44,19,11,9,39,0.886
ULM (Sun Belt),12,4-8,53,26,10,11,47,0.887
Western Ky. (CUSA),14,9-5,45,12,15,13,40,0.889
Auburn (SEC),12,5-7,46,24,7,10,41,0.891
Arizona St. (Pac-12),12,3-9,56,28,10,12,50,0.893
Minnesota (Big Ten),13,9-4,28,9,3,13,25,0.893
Tulsa (AAC),12,5-7,47,16,9,17,42,0.894
Virginia Tech (ACC),11,3-8,38,11,8,15,34,0.895
Baylor (Big 12),13,6-7,51,23,11,12,46,0.902
Nebraska (Big Ten),12,4-8,41,16,11,10,37,0.902
Iowa St. (Big 12),12,4-8,32,7,15,7,29,0.906
NIU (MAC),12,3-9,47,14,18,11,43,0.915
Arkansas St. (Sun Belt),12,3-9,36,17,10,6,33,0.917
Eastern Mich. (MAC),13,9-4,50,17,17,12,46,0.920
Houston (AAC),13,8-5,54,15,20,15,50,0.926
New Mexico (Mountain West),12,2-10,29,13,4,10,27,0.931
Ohio St. (Big Ten),13,11-2,29,8,10,9,27,0.931
Colorado St. (Mountain West),12,3-9,44,23,10,8,41,0.932
Utah St. (Mountain West),13,6-7,47,13,19,12,44,0.936
Notre Dame (FBS Independent),13,9-4,34,14,13,5,32,0.941
Rutgers (Big Ten),12,4-8,41,21,8,10,39,0.951
James Madison (Sun Belt),11,8-3,23,5,7,8,20,0.870
