Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Western Ky. (CUSA),14,9-5,87,805,57.50
Wisconsin (Big Ten),13,7-6,81,751,57.77
Fla. Atlantic (CUSA),12,5-7,74,696,58.00
Southern California (Pac-12),14,11-3,88,812,58.00
Middle Tenn. (CUSA),13,8-5,85,758,58.31
Southern Miss. (Sun Belt),13,7-6,86,759,58.38
Virginia Tech (ACC),11,3-8,81,643,58.45
Florida St. (ACC),13,10-3,87,768,59.08
San Diego St. (Mountain West),13,7-6,96,772,59.38
Charlotte (CUSA),12,3-9,81,714,59.50
Miami (FL) (ACC),12,5-7,85,720,60.00
UConn (FBS Independent),13,6-7,92,780,60.00
Akron (MAC),12,2-10,80,721,60.08
Colorado St. (Mountain West),12,3-9,83,725,60.42
Washington (Pac-12),13,11-2,89,786,60.46
UAB (CUSA),13,7-6,91,787,60.54
Mississippi St. (SEC),13,9-4,82,790,60.77
Old Dominion (Sun Belt),12,3-9,81,730,60.83
Illinois (Big Ten),13,8-5,85,798,61.38
UTSA (CUSA),14,11-3,98,861,61.50
Virginia (ACC),10,3-7,70,622,62.20
NIU (MAC),12,3-9,76,750,62.50
Western Mich. (MAC),12,5-7,80,755,62.92
Syracuse (ACC),13,7-6,111,819,63.00
Central Mich. (MAC),12,4-8,84,758,63.17
Ole Miss (SEC),13,8-5,89,826,63.54
Missouri (SEC),13,6-7,101,828,63.69
Pittsburgh (ACC),13,9-4,96,828,63.69
South Carolina (SEC),13,8-5,90,829,63.77
Rutgers (Big Ten),12,4-8,94,770,64.17
Louisiana Tech (CUSA),12,3-9,82,771,64.25
Cincinnati (AAC),13,9-4,98,837,64.38
Georgia St. (Sun Belt),12,4-8,85,779,64.92
Louisville (ACC),13,8-5,90,858,66.00
Marshall (Sun Belt),13,9-4,94,859,66.08
Massachusetts (FBS Independent),12,1-11,91,800,66.67
Alabama (SEC),13,11-2,103,893,68.69
Tennessee (SEC),13,11-2,105,905,69.62
Houston (AAC),13,8-5,103,915,70.38
Bowling Green (MAC),13,6-7,102,916,70.46
Maryland (Big Ten),13,8-5,101,924,71.08
South Alabama (Sun Belt),13,10-3,101,935,71.92
Arizona St. (Pac-12),12,3-9,87,868,72.33
Eastern Mich. (MAC),13,9-4,103,955,73.46
Utah St. (Mountain West),13,6-7,111,1007,77.46
James Madison (Sun Belt),11,8-3,56,439,39.91
