Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Washington (Pac-12),13,11-2,400,1898,4.74,33,146.0
Western Ky. (CUSA),14,9-5,414,2031,4.91,15,145.1
Arizona (Pac-12),12,5-7,352,1722,4.89,19,143.5
San Diego St. (Mountain West),13,7-6,471,1864,3.96,11,143.4
Ohio (MAC),14,10-4,493,2003,4.06,23,143.1
Syracuse (ACC),13,7-6,444,1852,4.17,21,142.5
Memphis (AAC),13,7-6,493,1849,3.75,30,142.2
Buffalo (MAC),13,7-6,539,1845,3.42,22,141.9
Houston (AAC),13,8-5,402,1844,4.59,17,141.8
Louisiana (Sun Belt),13,6-7,456,1843,4.04,10,141.8
Southern Miss. (Sun Belt),13,7-6,478,1843,3.86,15,141.8
Texas A&M (SEC),12,5-7,366,1698,4.64,12,141.5
Rice (CUSA),13,5-8,459,1839,4.01,17,141.5
Maryland (Big Ten),13,8-5,469,1837,3.92,23,141.3
Eastern Mich. (MAC),13,9-4,503,1830,3.64,25,140.8
Miami (OH) (MAC),13,6-7,483,1821,3.77,14,140.1
Tulsa (AAC),12,5-7,429,1664,3.88,18,138.7
Hawaii (Mountain West),13,3-10,406,1784,4.39,16,137.2
UNLV (Mountain West),12,5-7,402,1645,4.09,18,137.1
Ga. Southern (Sun Belt),13,6-7,370,1778,4.81,23,136.8
Western Mich. (MAC),12,5-7,465,1635,3.52,14,136.2
Arizona St. (Pac-12),12,3-9,385,1623,4.22,21,135.2
Georgia Tech (ACC),12,5-7,426,1592,3.74,13,132.7
Fresno St. (Mountain West),14,10-4,466,1851,3.97,28,132.2
Wake Forest (ACC),13,8-5,505,1696,3.36,17,130.5
Cincinnati (AAC),13,9-4,426,1686,3.96,19,129.7
Rutgers (Big Ten),12,4-8,431,1538,3.57,11,128.2
Miami (FL) (ACC),12,5-7,413,1535,3.72,12,127.9
Oklahoma St. (Big 12),13,7-6,476,1632,3.43,20,125.5
Northwestern (Big Ten),12,1-11,469,1501,3.20,11,125.1
Louisiana Tech (CUSA),12,3-9,399,1497,3.75,14,124.8
Nebraska (Big Ten),12,4-8,420,1480,3.52,17,123.3
New Mexico (Mountain West),12,2-10,439,1478,3.37,12,123.2
Virginia (ACC),10,3-7,329,1231,3.74,13,123.1
Purdue (Big Ten),14,8-6,466,1694,3.64,17,121.0
ULM (Sun Belt),12,4-8,418,1448,3.46,16,120.7
Nevada (Mountain West),12,2-10,427,1429,3.35,19,119.1
South Carolina (SEC),13,8-5,411,1545,3.76,27,118.8
Troy (Sun Belt),14,12-2,496,1638,3.30,21,117.0
Kentucky (SEC),13,7-6,464,1511,3.26,9,116.2
Charlotte (CUSA),12,3-9,371,1393,3.75,13,116.1
NC State (ACC),13,8-5,442,1479,3.35,8,113.8
Michigan St. (Big Ten),12,5-7,361,1356,3.76,16,113.0
Indiana (Big Ten),12,4-8,396,1330,3.36,15,110.8
Virginia Tech (ACC),11,3-8,388,1212,3.12,15,110.2
Middle Tenn. (CUSA),13,8-5,453,1411,3.11,20,108.5
Colorado (Pac-12),12,1-11,387,1300,3.36,11,108.3
Iowa St. (Big 12),12,4-8,393,1296,3.30,10,108.0
Stanford (Pac-12),12,3-9,376,1288,3.43,14,107.3
Washington St. (Pac-12),13,7-6,367,1389,3.78,17,106.8
FIU (CUSA),12,4-8,356,1260,3.54,11,105.0
Texas St. (Sun Belt),12,4-8,383,1249,3.26,9,104.1
Bowling Green (MAC),13,6-7,415,1302,3.14,8,100.2
California (Pac-12),12,4-8,319,1159,3.63,10,96.6
San Jose St. (Mountain West),12,7-5,343,1149,3.35,19,95.8
Iowa (Big Ten),13,8-5,422,1233,2.92,12,94.8
Old Dominion (Sun Belt),12,3-9,311,1107,3.56,8,92.2
Akron (MAC),12,2-10,373,1075,2.88,16,89.6
Colorado St. (Mountain West),12,3-9,385,1068,2.77,4,89.0
Arkansas St. (Sun Belt),12,3-9,381,1058,2.78,16,88.2
Temple (AAC),12,3-9,318,989,3.11,11,82.4
Mississippi St. (SEC),13,9-4,295,1062,3.60,12,81.7
Boston College (ACC),12,3-9,362,753,2.08,6,62.8
James Madison (Sun Belt),11,8-3,479,2054,4.29,24,186.7
