Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Portland St. (Big Sky),12,9-3,56,1147,1,20.48
Hampton (MEAC),11,6-5,37,758,1,20.49
Villanova (CAA),11,6-5,28,574,1,20.50
Morehead St. (Pioneer),11,7-4,53,1094,1,20.64
Northern Colo. (Big Sky),11,6-5,44,913,0,20.75
Drake (Pioneer),11,5-6,41,855,1,20.85
Towson (CAA),11,7-4,42,878,2,20.90
McNeese (Southland),11,10-1,47,987,1,21.00
Weber St. (Big Sky),11,6-5,16,337,0,21.06
Ark.-Pine Bluff (SWAC),11,2-9,32,678,0,21.19
Alabama A&M (SWAC),11,3-8,31,657,0,21.19
Southeast Mo. St. (OVC),11,4-7,36,763,0,21.19
Maine (CAA),11,3-8,32,682,0,21.31
Lehigh (Patriot),11,6-5,53,1144,0,21.58
Alabama St. (SWAC),11,6-5,43,930,0,21.63
Fordham (Patriot),12,9-3,68,1472,1,21.65
Lamar University (Southland),11,5-6,41,889,0,21.68
UNI (MVFC),14,9-5,53,1157,1,21.83
Central Ark. (Southland),11,7-4,49,1072,0,21.88
Montana (Big Sky),13,8-5,54,1185,1,21.94
Youngstown St. (MVFC),11,5-6,51,1124,1,22.04
Norfolk St. (MEAC),11,4-7,32,717,1,22.41
Mississippi Val. (SWAC),11,1-10,29,655,2,22.59
Tennessee St. (OVC),10,4-6,27,610,0,22.59
Delaware St. (MEAC),11,1-10,24,543,2,22.63
Northern Ariz. (Big Sky),11,7-4,18,409,0,22.72
Jacksonville St. (OVC),15,13-2,74,1683,1,22.74
Southern U. (SWAC),11,6-5,54,1230,0,22.78
Stetson (Pioneer),11,3-8,32,730,2,22.81
Florida A&M (MEAC),11,1-10,30,688,1,22.93
Wofford (SoCon),11,5-6,32,739,1,23.09
Southern Utah (Big Sky),12,8-4,29,672,0,23.17
Tennessee Tech (OVC),11,4-7,39,908,0,23.28
Western Caro. (SoCon),11,7-4,40,932,1,23.30
Bucknell (Patriot),11,4-7,29,677,0,23.34
James Madison (CAA),12,9-3,75,1752,0,23.36
Jackson St. (SWAC),11,3-8,51,1196,2,23.45
Furman (SoCon),11,4-7,25,588,1,23.52
Chattanooga (SoCon),13,9-4,51,1200,1,23.53
Prairie View (SWAC),10,8-2,49,1169,3,23.86
Texas Southern (SWAC),10,3-7,31,740,1,23.87
ETSU (FCS Independent),11,2-9,37,885,2,23.92
Davidson (Pioneer),11,2-9,29,694,1,23.93
Saint Francis (PA) (NEC),10,6-4,44,1081,2,24.57
VMI (SoCon),11,2-9,34,842,1,24.76
South Dakota (MVFC),11,5-6,26,645,2,24.81
Northwestern St. (Southland),11,4-7,30,745,0,24.83
Missouri St. (MVFC),11,1-10,16,398,0,24.88
Western Ill. (MVFC),13,7-6,34,852,1,25.06
Valparaiso (Pioneer),10,1-9,30,758,0,25.27
Marist (Pioneer),11,5-6,33,845,0,25.61
Indiana St. (MVFC),11,5-6,26,681,2,26.19
Idaho St. (Big Sky),11,2-9,25,667,1,26.68
Howard (MEAC),11,1-10,19,509,1,26.79
UC Davis (Big Sky),11,2-9,26,697,0,26.81
Sacramento St. (Big Sky),11,2-9,17,493,2,29.00
Wagner (NEC),11,1-10,28,823,1,29.39
Cornell (Ivy League),10,1-9,22,720,1,32.73
UIW (Southland),11,6-5,30,573,0,19.10
Abilene Christian (Southland),11,3-8,35,756,0,21.60
