Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Saint Francis (PA) (NEC),10,6-4,4,12,16,5,9,14,2,0.20
Harvard (Ivy League),10,9-1,8,6,14,6,6,12,2,0.20
UAlbany (CAA),11,3-8,12,15,27,9,16,25,2,0.18
Bryant (NEC),11,5-6,12,8,20,4,14,18,2,0.18
Austin Peay (OVC),11,0-11,8,5,13,7,4,11,2,0.18
Norfolk St. (MEAC),11,4-7,4,12,16,8,6,14,2,0.18
Chattanooga (SoCon),13,9-4,9,9,18,6,10,16,2,0.15
Yale (Ivy League),10,6-4,7,11,18,7,10,17,1,0.10
Georgetown (Patriot),11,4-7,7,10,17,6,10,16,1,0.09
Bethune-Cookman (MEAC),11,9-2,9,10,19,9,9,18,1,0.09
Southern U. (SWAC),11,6-5,12,9,21,16,4,20,1,0.09
Villanova (CAA),11,6-5,5,13,18,9,8,17,1,0.09
Sam Houston (Southland),15,11-4,7,17,24,16,7,23,1,0.07
South Dakota (MVFC),11,5-6,9,11,20,13,7,20,0,0.00
Northwestern St. (Southland),11,4-7,10,7,17,8,9,17,0,0.00
Stony Brook (CAA),10,5-5,10,8,18,8,10,18,0,0.00
Sacramento St. (Big Sky),11,2-9,5,8,13,5,8,13,0,0.00
Montana (Big Sky),13,8-5,14,12,26,11,15,26,0,0.00
Tennessee Tech (OVC),11,4-7,15,4,19,7,12,19,0,0.00
Towson (CAA),11,7-4,9,9,18,8,10,18,0,0.00
Western Caro. (SoCon),11,7-4,9,9,18,10,8,18,0,0.00
Marist (Pioneer),11,5-6,11,12,23,8,15,23,0,0.00
Tennessee St. (OVC),10,4-6,9,6,15,3,12,15,0,0.00
Coastal Carolina (Big South),12,9-3,8,6,14,8,7,15,-1,-0.08
SFA (Southland),11,4-7,11,8,19,10,10,20,-1,-0.09
Murray St. (OVC),11,3-8,11,8,19,12,8,20,-1,-0.09
North Dakota (Big Sky),11,7-4,10,6,16,12,5,17,-1,-0.09
San Diego (Pioneer),11,9-2,2,13,15,4,12,16,-1,-0.09
Drake (Pioneer),11,5-6,12,6,18,5,14,19,-1,-0.09
Delaware (CAA),11,4-7,8,7,15,10,6,16,-1,-0.09
Savannah St. (MEAC),10,1-9,13,10,23,10,14,24,-1,-0.10
Alabama St. (SWAC),11,6-5,15,4,19,16,5,21,-2,-0.18
South Carolina St. (MEAC),11,7-4,8,14,22,12,12,24,-2,-0.18
Northern Colo. (Big Sky),11,6-5,8,7,15,5,12,17,-2,-0.18
Northern Ariz. (Big Sky),11,7-4,3,10,13,8,7,15,-2,-0.18
Montana St. (Big Sky),11,5-6,10,3,13,4,11,15,-2,-0.18
Wofford (SoCon),11,5-6,8,9,17,15,4,19,-2,-0.18
Youngstown St. (MVFC),11,5-6,4,8,12,7,7,14,-2,-0.18
Hampton (MEAC),11,6-5,9,11,20,7,15,22,-2,-0.18
Eastern Ky. (OVC),11,6-5,6,12,18,5,15,20,-2,-0.18
Davidson (Pioneer),11,2-9,10,8,18,5,15,20,-2,-0.18
Bucknell (Patriot),11,4-7,4,11,15,7,10,17,-2,-0.18
Stetson (Pioneer),11,3-8,8,11,19,7,16,23,-4,-0.36
Alcorn (SWAC),13,9-4,15,10,25,25,5,30,-5,-0.38
Grambling (SWAC),12,9-3,20,12,32,16,21,37,-5,-0.42
Weber St. (Big Sky),11,6-5,6,8,14,5,14,19,-5,-0.45
Howard (MEAC),11,1-10,12,6,18,8,15,23,-5,-0.45
Central Conn. St. (NEC),11,4-7,7,9,16,9,12,21,-5,-0.45
Furman (SoCon),11,4-7,5,10,15,8,12,20,-5,-0.45
UC Davis (Big Sky),11,2-9,8,3,11,8,8,16,-5,-0.45
Maine (CAA),11,3-8,6,10,16,9,12,21,-5,-0.45
Gardner-Webb (Big South),11,4-7,7,7,14,9,11,20,-6,-0.55
Florida A&M (MEAC),11,1-10,9,7,16,9,13,22,-6,-0.55
Cal Poly (Big Sky),11,4-7,5,7,12,15,3,18,-6,-0.55
Jackson St. (SWAC),11,3-8,11,6,17,12,11,23,-6,-0.55
Ark.-Pine Bluff (SWAC),11,2-9,16,8,24,10,21,31,-7,-0.64
Eastern Wash. (Big Sky),11,6-5,10,7,17,12,12,24,-7,-0.64
Missouri St. (MVFC),11,1-10,7,6,13,9,12,21,-8,-0.73
Mississippi Val. (SWAC),11,1-10,11,15,26,15,19,34,-8,-0.73
ETSU (FCS Independent),11,2-9,8,5,13,9,12,21,-8,-0.73
Cornell (Ivy League),10,1-9,5,4,9,4,13,17,-8,-0.80
Morgan St. (MEAC),10,4-6,5,6,11,12,7,19,-8,-0.80
Nicholls (Southland),11,3-8,10,7,17,16,10,26,-9,-0.82
Southeastern La. (Southland),11,4-7,7,12,19,20,8,28,-9,-0.82
UT Martin (OVC),11,7-4,3,11,14,8,15,23,-9,-0.82
Delaware St. (MEAC),11,1-10,11,8,19,16,13,29,-10,-0.91
Lafayette (Patriot),11,1-10,6,5,11,7,14,21,-10,-0.91
Lehigh (Patriot),11,6-5,8,5,13,10,13,23,-10,-0.91
Wagner (NEC),11,1-10,3,11,14,13,11,24,-10,-0.91
Southern Ill. (MVFC),11,3-8,9,5,14,14,11,25,-11,-1.00
Elon (CAA),11,4-7,7,10,17,14,14,28,-11,-1.00
Columbia (Ivy League),10,2-8,6,7,13,10,13,23,-10,-1.00
Robert Morris (NEC),11,4-7,7,10,17,10,19,29,-12,-1.09
Houston Christian (Southland),10,1-9,7,4,11,7,16,23,-12,-1.20
Valparaiso (Pioneer),10,1-9,6,11,17,12,18,30,-13,-1.30
Idaho St. (Big Sky),11,2-9,7,8,15,11,19,30,-15,-1.36
VMI (SoCon),11,2-9,11,4,15,9,22,31,-16,-1.45
Campbell (Pioneer),11,5-6,3,8,11,9,18,27,-16,-1.45
Brown (Ivy League),10,5-5,8,11,19,16,18,34,-15,-1.50
Rhode Island (CAA),11,1-10,3,7,10,9,18,27,-17,-1.55
Abilene Christian (Southland),11,3-8,7,10,17,6,12,18,-1,-0.09
UIW (Southland),11,6-5,8,15,23,10,15,25,-2,-0.18
