Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Harvard (Ivy League),10,9-1,47,21,11,3,35,0.745
Sacred Heart (NEC),11,6-5,47,18,11,6,35,0.745
Eastern Ill. (OVC),12,7-5,39,17,5,7,29,0.744
Texas Southern (SWAC),10,3-7,35,15,6,5,26,0.743
Austin Peay (OVC),11,0-11,23,6,6,5,17,0.739
Tennessee Tech (OVC),11,4-7,38,15,7,6,28,0.737
Marist (Pioneer),11,5-6,38,16,6,6,28,0.737
Howard (MEAC),11,1-10,19,5,4,5,14,0.737
Idaho St. (Big Sky),11,2-9,34,6,16,3,25,0.735
Liberty (Big South),11,6-5,34,15,4,6,25,0.735
Villanova (CAA),11,6-5,41,16,11,3,30,0.732
UAlbany (CAA),11,3-8,26,8,8,3,19,0.731
Robert Morris (NEC),11,4-7,22,9,3,4,16,0.727
Monmouth (Big South),11,5-6,36,12,7,7,26,0.722
Alcorn (SWAC),13,9-4,57,23,15,3,41,0.719
SFA (Southland),11,4-7,39,13,9,6,28,0.718
Sacramento St. (Big Sky),11,2-9,35,5,13,7,25,0.714
Tennessee St. (OVC),10,4-6,28,8,9,3,20,0.714
VMI (SoCon),11,2-9,49,14,12,9,35,0.714
Savannah St. (MEAC),10,1-9,21,7,0,8,15,0.714
Bryant (NEC),11,5-6,35,8,11,6,25,0.714
Wagner (NEC),11,1-10,24,6,5,6,17,0.708
Norfolk St. (MEAC),11,4-7,27,5,8,6,19,0.704
Columbia (Ivy League),10,2-8,27,7,5,7,19,0.704
Florida A&M (MEAC),11,1-10,27,6,7,6,19,0.704
Jacksonville (Pioneer),11,9-2,37,6,11,9,26,0.703
Maine (CAA),11,3-8,33,6,7,10,23,0.697
Gardner-Webb (Big South),11,4-7,23,8,3,5,16,0.696
Alabama A&M (SWAC),11,3-8,36,11,9,5,25,0.694
Campbell (Pioneer),11,5-6,39,14,8,5,27,0.692
Brown (Ivy League),10,5-5,44,16,7,7,30,0.682
Weber St. (Big Sky),11,6-5,37,12,6,7,25,0.676
Dartmouth (Ivy League),10,9-1,45,17,10,3,30,0.667
Central Conn. St. (NEC),11,4-7,25,9,2,5,16,0.640
Elon (CAA),11,4-7,19,6,4,2,12,0.632
Cornell (Ivy League),10,1-9,26,6,6,4,16,0.615
Ark.-Pine Bluff (SWAC),11,2-9,39,9,9,6,24,0.615
Bucknell (Patriot),11,4-7,33,7,8,5,20,0.606
Mississippi Val. (SWAC),11,1-10,29,6,8,3,17,0.586
Lafayette (Patriot),11,1-10,31,5,9,4,18,0.581
Morgan St. (MEAC),10,4-6,33,10,6,3,19,0.576
Delaware St. (MEAC),11,1-10,30,9,5,2,16,0.533
Abilene Christian (Southland),11,3-8,40,12,16,2,30,0.750
UIW (Southland),11,6-5,35,12,6,7,25,0.714
