Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Indiana St. (MVFC),11,5-6,8,17,0.471
Drake (Pioneer),11,5-6,8,17,0.471
Northern Ariz. (Big Sky),11,7-4,16,34,0.471
Central Ark. (Southland),11,7-4,9,19,0.474
Bucknell (Patriot),11,4-7,9,19,0.474
James Madison (CAA),12,9-3,10,21,0.476
Montana (Big Sky),13,8-5,21,44,0.477
UC Davis (Big Sky),11,2-9,11,23,0.478
Samford (SoCon),11,6-5,11,23,0.478
Sacramento St. (Big Sky),11,2-9,12,25,0.480
Dayton (Pioneer),12,10-2,12,25,0.480
Eastern Ill. (OVC),12,7-5,15,31,0.484
Elon (CAA),11,4-7,17,35,0.486
North Dakota St. (MVFC),15,13-2,12,24,0.500
San Diego (Pioneer),11,9-2,6,12,0.500
Towson (CAA),11,7-4,10,20,0.500
UAlbany (CAA),11,3-8,10,20,0.500
Wagner (NEC),11,1-10,6,12,0.500
VMI (SoCon),11,2-9,7,14,0.500
Davidson (Pioneer),11,2-9,6,12,0.500
Jackson St. (SWAC),11,3-8,10,20,0.500
Fordham (Patriot),12,9-3,13,26,0.500
Holy Cross (Patriot),11,6-5,17,34,0.500
Gardner-Webb (Big South),11,4-7,8,16,0.500
Monmouth (Big South),11,5-6,6,12,0.500
Richmond (CAA),14,10-4,14,27,0.519
Idaho St. (Big Sky),11,2-9,14,27,0.519
UNI (MVFC),14,9-5,13,25,0.520
Illinois St. (MVFC),13,10-3,13,25,0.520
Florida A&M (MEAC),11,1-10,11,21,0.524
Texas Southern (SWAC),10,3-7,10,19,0.526
Princeton (Ivy League),10,5-5,10,19,0.526
Rhode Island (CAA),11,1-10,8,15,0.533
Tennessee Tech (OVC),11,4-7,16,30,0.533
Houston Christian (Southland),10,1-9,6,11,0.545
Western Caro. (SoCon),11,7-4,18,33,0.545
Georgetown (Patriot),11,4-7,18,33,0.545
UT Martin (OVC),11,7-4,11,20,0.550
Eastern Ky. (OVC),11,6-5,10,18,0.556
Morehead St. (Pioneer),11,7-4,14,25,0.560
Penn (Ivy League),10,7-3,14,25,0.560
Lehigh (Patriot),11,6-5,14,25,0.560
Lamar University (Southland),11,5-6,14,25,0.560
Tennessee St. (OVC),10,4-6,9,16,0.563
Colgate (Patriot),14,9-5,13,23,0.565
SFA (Southland),11,4-7,8,14,0.571
Southeast Mo. St. (OVC),11,4-7,12,21,0.571
Norfolk St. (MEAC),11,4-7,12,21,0.571
Kennesaw St. (Big South),11,6-5,8,14,0.571
Montana St. (Big Sky),11,5-6,15,26,0.577
Western Ill. (MVFC),13,7-6,11,19,0.579
Youngstown St. (MVFC),11,5-6,11,19,0.579
Bethune-Cookman (MEAC),11,9-2,11,19,0.579
Austin Peay (OVC),11,0-11,7,12,0.583
ETSU (FCS Independent),11,2-9,14,24,0.583
Ark.-Pine Bluff (SWAC),11,2-9,7,12,0.583
Portland St. (Big Sky),12,9-3,24,40,0.600
Howard (MEAC),11,1-10,14,23,0.609
Chattanooga (SoCon),13,9-4,16,26,0.615
Mississippi Val. (SWAC),11,1-10,13,21,0.619
Furman (SoCon),11,4-7,13,21,0.619
Savannah St. (MEAC),10,1-9,10,16,0.625
Southern Utah (Big Sky),12,8-4,15,24,0.625
Northern Colo. (Big Sky),11,6-5,17,27,0.630
North Dakota (Big Sky),11,7-4,12,19,0.632
The Citadel (SoCon),13,9-4,14,22,0.636
Southern U. (SWAC),11,6-5,9,14,0.643
Delaware (CAA),11,4-7,13,20,0.650
Alabama St. (SWAC),11,6-5,12,18,0.667
Southern Ill. (MVFC),11,3-8,12,18,0.667
Northwestern St. (Southland),11,4-7,12,18,0.667
Murray St. (OVC),11,3-8,8,12,0.667
Nicholls (Southland),11,3-8,13,19,0.684
Valparaiso (Pioneer),10,1-9,11,16,0.688
South Dakota (MVFC),11,5-6,7,10,0.700
Eastern Wash. (Big Sky),11,6-5,20,28,0.714
Liberty (Big South),11,6-5,10,14,0.714
Wofford (SoCon),11,5-6,18,25,0.720
Missouri St. (MVFC),11,1-10,10,13,0.769
Brown (Ivy League),10,5-5,9,11,0.818
UIW (Southland),11,6-5,7,20,0.350
Abilene Christian (Southland),11,3-8,10,14,0.714
