Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Southern U. (SWAC),11,6-5,699,4244,6.07,49,50,385.8
Central Ark. (Southland),11,7-4,745,4269,5.73,34,35,388.1
Yale (Ivy League),10,6-4,755,3884,5.14,32,33,388.4
Southern Utah (Big Sky),12,8-4,958,4687,4.89,29,30,390.6
New Hampshire (CAA),12,7-5,854,4688,5.49,36,36,390.7
Delaware St. (MEAC),11,1-10,787,4336,5.51,43,50,394.2
UT Martin (OVC),11,7-4,727,4337,5.97,48,51,394.3
Valparaiso (Pioneer),10,1-9,719,3969,5.52,49,56,396.9
Colgate (Patriot),14,9-5,987,5575,5.65,48,50,398.2
Western Ill. (MVFC),13,7-6,977,5185,5.31,42,48,398.8
ETSU (FCS Independent),11,2-9,737,4388,5.95,51,58,398.9
Brown (Ivy League),10,5-5,736,4025,5.47,38,43,402.5
Howard (MEAC),11,1-10,751,4431,5.90,49,57,402.8
James Madison (CAA),12,9-3,894,4842,5.42,45,46,403.5
Furman (SoCon),11,4-7,777,4450,5.73,36,40,404.5
Texas Southern (SWAC),10,3-7,671,4056,6.04,40,44,405.6
Rhode Island (CAA),11,1-10,764,4464,5.84,39,44,405.8
Indiana St. (MVFC),11,5-6,823,4469,5.43,41,46,406.3
UAlbany (CAA),11,3-8,812,4520,5.57,39,41,410.9
Sam Houston (Southland),15,11-4,1085,6204,5.72,55,57,413.6
Central Conn. St. (NEC),11,4-7,838,4573,5.46,33,34,415.7
Coastal Carolina (Big South),12,9-3,865,4996,5.78,31,32,416.3
Penn (Ivy League),10,7-3,727,4183,5.75,36,36,418.3
Cornell (Ivy League),10,1-9,712,4195,5.89,38,39,419.5
Samford (SoCon),11,6-5,868,4616,5.32,34,37,419.6
Western Caro. (SoCon),11,7-4,866,4623,5.34,36,39,420.3
Nicholls (Southland),11,3-8,793,4641,5.85,45,46,421.9
Prairie View (SWAC),10,8-2,673,4224,6.28,43,47,422.4
Fordham (Patriot),12,9-3,862,5098,5.91,46,48,424.8
Princeton (Ivy League),10,5-5,754,4302,5.71,28,30,430.2
Morehead St. (Pioneer),11,7-4,857,4733,5.52,35,37,430.3
Ark.-Pine Bluff (SWAC),11,2-9,771,4739,6.15,55,59,430.8
Wagner (NEC),11,1-10,746,4741,6.36,51,53,431.0
Southeast Mo. St. (OVC),11,4-7,793,4744,5.98,37,39,431.3
SFA (Southland),11,4-7,757,4759,6.29,40,47,432.6
Savannah St. (MEAC),10,1-9,708,4386,6.19,48,58,438.6
Davidson (Pioneer),11,2-9,788,4852,6.16,50,52,441.1
VMI (SoCon),11,2-9,838,4853,5.79,41,49,441.2
Lamar University (Southland),11,5-6,832,4868,5.85,41,43,442.5
Mississippi Val. (SWAC),11,1-10,746,4874,6.53,59,65,443.1
UC Davis (Big Sky),11,2-9,765,4937,6.45,48,50,448.8
Austin Peay (OVC),11,0-11,811,4963,6.12,51,55,451.2
Lehigh (Patriot),11,6-5,785,4964,6.32,49,52,451.3
Lafayette (Patriot),11,1-10,764,4982,6.52,50,51,452.9
Sacramento St. (Big Sky),11,2-9,773,4988,6.45,45,49,453.5
Houston Christian (Southland),10,1-9,715,4540,6.35,48,54,454.0
Grambling (SWAC),12,9-3,985,5458,5.54,52,56,454.8
Idaho St. (Big Sky),11,2-9,859,5022,5.85,52,59,456.5
Cal Poly (Big Sky),11,4-7,786,5034,6.40,49,52,457.6
Southern Ill. (MVFC),11,3-8,829,5145,6.21,45,49,467.7
Florida A&M (MEAC),11,1-10,848,5188,6.12,46,48,471.6
Montana St. (Big Sky),11,5-6,798,5198,6.51,51,51,472.5
Northern Ariz. (Big Sky),11,7-4,879,5218,5.94,52,52,474.4
Eastern Wash. (Big Sky),11,6-5,900,5240,5.82,52,58,476.4
Alabama A&M (SWAC),11,3-8,829,5310,6.41,51,52,482.7
Northwestern St. (Southland),11,4-7,739,5337,7.22,60,60,485.2
Tennessee Tech (OVC),11,4-7,888,5394,6.07,48,51,490.4
Northern Colo. (Big Sky),11,6-5,908,5429,5.98,45,48,493.5
Murray St. (OVC),11,3-8,872,5472,6.28,52,55,497.5
Missouri St. (MVFC),11,1-10,840,6038,7.19,66,71,548.9
UIW (Southland),11,6-5,737,3921,5.32,31,36,356.5
Abilene Christian (Southland),11,3-8,775,4972,6.42,45,45,452.0
