Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Holy Cross (Patriot),11,6-5,439,1709,3.89,16,155.4
Richmond (CAA),14,10-4,485,2192,4.52,17,156.6
Southeastern La. (Southland),11,4-7,419,1730,4.13,20,157.3
The Citadel (SoCon),13,9-4,462,2045,4.43,25,157.3
Prairie View (SWAC),10,8-2,353,1584,4.49,19,158.4
Princeton (Ivy League),10,5-5,381,1586,4.16,15,158.6
Tennessee St. (OVC),10,4-6,372,1591,4.28,17,159.1
South Dakota (MVFC),11,5-6,426,1758,4.13,19,159.8
Southern U. (SWAC),11,6-5,383,1768,4.62,22,160.7
Bethune-Cookman (MEAC),11,9-2,401,1801,4.49,14,163.7
Sacramento St. (Big Sky),11,2-9,415,1841,4.44,20,167.4
Fordham (Patriot),12,9-3,428,2018,4.71,24,168.2
ETSU (FCS Independent),11,2-9,427,1867,4.37,29,169.7
Cal Poly (Big Sky),11,4-7,404,1873,4.64,25,170.3
Mercer (SoCon),11,5-6,428,1885,4.40,21,171.4
Youngstown St. (MVFC),11,5-6,455,1892,4.16,20,172.0
Alcorn (SWAC),13,9-4,524,2255,4.30,28,173.5
South Dakota St. (MVFC),12,8-4,464,2082,4.49,12,173.5
Chattanooga (SoCon),13,9-4,482,2264,4.70,20,174.2
Valparaiso (Pioneer),10,1-9,388,1745,4.50,27,174.5
Eastern Ill. (OVC),12,7-5,538,2097,3.90,18,174.8
Central Conn. St. (NEC),11,4-7,461,1938,4.20,20,176.2
UT Martin (OVC),11,7-4,392,1974,5.04,23,179.5
Northern Ariz. (Big Sky),11,7-4,421,1980,4.70,26,180.0
Ark.-Pine Bluff (SWAC),11,2-9,437,1983,4.54,26,180.3
Morgan St. (MEAC),10,4-6,381,1805,4.74,15,180.5
Jackson St. (SWAC),11,3-8,480,2020,4.21,26,183.6
SFA (Southland),11,4-7,443,2033,4.59,20,184.8
Southeast Mo. St. (OVC),11,4-7,454,2081,4.58,18,189.2
Montana (Big Sky),13,8-5,627,2466,3.93,17,189.7
Cornell (Ivy League),10,1-9,400,1898,4.75,18,189.8
Norfolk St. (MEAC),11,4-7,466,2089,4.48,21,189.9
Portland St. (Big Sky),12,9-3,485,2304,4.75,21,192.0
UAlbany (CAA),11,3-8,469,2116,4.51,19,192.4
Western Ill. (MVFC),13,7-6,572,2539,4.44,27,195.3
Rhode Island (CAA),11,1-10,461,2153,4.67,19,195.7
Howard (MEAC),11,1-10,447,2170,4.85,30,197.3
James Madison (CAA),12,9-3,517,2371,4.59,33,197.6
Murray St. (OVC),11,3-8,468,2174,4.65,23,197.6
Coastal Carolina (Big South),12,9-3,520,2376,4.57,19,198.0
Indiana St. (MVFC),11,5-6,481,2183,4.54,27,198.5
Elon (CAA),11,4-7,512,2183,4.26,22,198.5
Sam Houston (Southland),15,11-4,605,2978,4.92,26,198.5
New Hampshire (CAA),12,7-5,508,2392,4.71,27,199.3
Southern Utah (Big Sky),12,8-4,576,2403,4.17,17,200.3
Morehead St. (Pioneer),11,7-4,463,2210,4.77,18,200.9
Lehigh (Patriot),11,6-5,431,2215,5.14,25,201.4
VMI (SoCon),11,2-9,474,2233,4.71,24,203.0
Savannah St. (MEAC),10,1-9,406,2040,5.02,22,204.0
Lafayette (Patriot),11,1-10,454,2270,5.00,22,206.4
Western Caro. (SoCon),11,7-4,555,2279,4.11,22,207.2
Presbyterian (Big South),11,2-9,500,2279,4.56,15,207.2
Delaware St. (MEAC),11,1-10,496,2290,4.62,22,208.2
Wagner (NEC),11,1-10,452,2297,5.08,28,208.8
Texas Southern (SWAC),10,3-7,404,2132,5.28,23,213.2
Austin Peay (OVC),11,0-11,442,2348,5.31,34,213.5
Davidson (Pioneer),11,2-9,472,2408,5.10,28,218.9
Samford (SoCon),11,6-5,529,2440,4.61,23,221.8
Furman (SoCon),11,4-7,474,2445,5.16,25,222.3
Houston Christian (Southland),10,1-9,446,2272,5.09,25,227.2
Northern Colo. (Big Sky),11,6-5,502,2501,4.98,21,227.4
Lamar University (Southland),11,5-6,508,2503,4.93,28,227.5
Florida A&M (MEAC),11,1-10,512,2560,5.00,25,232.7
Alabama A&M (SWAC),11,3-8,471,2605,5.53,27,236.8
UC Davis (Big Sky),11,2-9,444,2608,5.87,27,237.1
Tennessee Tech (OVC),11,4-7,496,2622,5.29,26,238.4
Southern Ill. (MVFC),11,3-8,506,2642,5.22,27,240.2
Mississippi Val. (SWAC),11,1-10,483,2666,5.52,38,242.4
Nicholls (Southland),11,3-8,505,2681,5.31,31,243.7
Montana St. (Big Sky),11,5-6,490,2722,5.56,25,247.5
Eastern Wash. (Big Sky),11,6-5,562,2838,5.05,30,258.0
Idaho St. (Big Sky),11,2-9,559,2957,5.29,28,268.8
Northwestern St. (Southland),11,4-7,472,3025,6.41,41,275.0
Missouri St. (MVFC),11,1-10,534,3313,6.20,34,301.2
UIW (Southland),11,6-5,436,1774,4.07,17,161.3
Abilene Christian (Southland),11,3-8,445,2561,5.76,20,232.8
