Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Villanova (CAA),11,6-5,440,2044,4.65,19,185.8
Grambling (SWAC),12,9-3,438,2200,5.02,20,183.3
Southeast Mo. St. (OVC),11,4-7,431,2012,4.67,17,182.9
Alabama St. (SWAC),11,6-5,453,2005,4.43,24,182.3
Weber St. (Big Sky),11,6-5,465,2001,4.30,15,181.9
Nicholls (Southland),11,3-8,486,1996,4.11,17,181.5
Western Caro. (SoCon),11,7-4,392,1992,5.08,20,181.1
Fordham (Patriot),12,9-3,462,2171,4.70,24,180.9
Campbell (Pioneer),11,5-6,436,1956,4.49,19,177.8
Indiana St. (MVFC),11,5-6,419,1936,4.62,17,176.0
N.C. Central (MEAC),11,8-3,446,1910,4.28,20,173.6
Eastern Ill. (OVC),12,7-5,500,2079,4.16,20,173.3
Duquesne (NEC),12,8-4,458,2061,4.50,16,171.8
Harvard (Ivy League),10,9-1,389,1707,4.39,23,170.7
San Diego (Pioneer),11,9-2,426,1862,4.37,20,169.3
Penn (Ivy League),10,7-3,373,1692,4.54,20,169.2
Northern Ariz. (Big Sky),11,7-4,465,1843,3.96,16,167.5
Towson (CAA),11,7-4,436,1843,4.23,20,167.5
Princeton (Ivy League),10,5-5,371,1666,4.49,23,166.6
Southern Utah (Big Sky),12,8-4,415,1990,4.80,24,165.8
South Dakota (MVFC),11,5-6,458,1823,3.98,14,165.7
UT Martin (OVC),11,7-4,399,1795,4.50,16,163.2
Northern Colo. (Big Sky),11,6-5,373,1782,4.78,23,162.0
Saint Francis (PA) (NEC),10,6-4,381,1587,4.17,14,158.7
Gardner-Webb (Big South),11,4-7,487,1739,3.57,9,158.1
Dayton (Pioneer),12,10-2,526,1886,3.59,22,157.2
Stony Brook (CAA),10,5-5,440,1527,3.47,13,152.7
Monmouth (Big South),11,5-6,411,1676,4.08,14,152.4
South Carolina St. (MEAC),11,7-4,428,1673,3.91,14,152.1
ETSU (FCS Independent),11,2-9,475,1667,3.51,14,151.5
Bryant (NEC),11,5-6,369,1636,4.43,11,148.7
Butler (Pioneer),11,6-5,388,1626,4.19,15,147.8
New Hampshire (CAA),12,7-5,412,1763,4.28,19,146.9
Samford (SoCon),11,6-5,388,1615,4.16,20,146.8
Alabama A&M (SWAC),11,3-8,454,1607,3.54,14,146.1
Sacred Heart (NEC),11,6-5,453,1593,3.52,19,144.8
Dartmouth (Ivy League),10,9-1,359,1446,4.03,19,144.6
Montana (Big Sky),13,8-5,518,1845,3.56,17,141.9
Western Ill. (MVFC),13,7-6,515,1831,3.56,21,140.8
South Dakota St. (MVFC),12,8-4,455,1688,3.71,20,140.7
Morgan St. (MEAC),10,4-6,351,1395,3.97,12,139.5
Houston Christian (Southland),10,1-9,345,1394,4.04,11,139.4
Wagner (NEC),11,1-10,406,1533,3.78,8,139.4
Columbia (Ivy League),10,2-8,407,1385,3.40,8,138.5
Texas Southern (SWAC),10,3-7,347,1370,3.95,16,137.0
Drake (Pioneer),11,5-6,423,1498,3.54,11,136.2
Presbyterian (Big South),11,2-9,441,1493,3.39,13,135.7
Jacksonville (Pioneer),11,9-2,340,1490,4.38,8,135.5
Savannah St. (MEAC),10,1-9,379,1350,3.56,12,135.0
Eastern Ky. (OVC),11,6-5,403,1452,3.60,16,132.0
Hampton (MEAC),11,6-5,366,1448,3.96,7,131.6
Stetson (Pioneer),11,3-8,416,1447,3.48,21,131.5
Tennessee Tech (OVC),11,4-7,396,1440,3.64,18,130.9
UAlbany (CAA),11,3-8,358,1440,4.02,10,130.9
Central Conn. St. (NEC),11,4-7,406,1432,3.53,12,130.2
Ark.-Pine Bluff (SWAC),11,2-9,398,1423,3.58,14,129.4
Robert Morris (NEC),11,4-7,440,1414,3.21,10,128.5
Missouri St. (MVFC),11,1-10,415,1405,3.39,7,127.7
Austin Peay (OVC),11,0-11,424,1402,3.31,9,127.5
Cornell (Ivy League),10,1-9,333,1265,3.80,7,126.5
Eastern Wash. (Big Sky),11,6-5,358,1377,3.85,14,125.2
Idaho St. (Big Sky),11,2-9,363,1367,3.77,7,124.3
Tennessee St. (OVC),10,4-6,352,1234,3.51,13,123.4
Yale (Ivy League),10,6-4,355,1224,3.45,15,122.4
UC Davis (Big Sky),11,2-9,386,1340,3.47,11,121.8
Liberty (Big South),11,6-5,369,1317,3.57,19,119.7
Murray St. (OVC),11,3-8,363,1307,3.60,16,118.8
Furman (SoCon),11,4-7,398,1300,3.27,12,118.2
VMI (SoCon),11,2-9,390,1286,3.30,16,116.9
Maine (CAA),11,3-8,370,1269,3.43,8,115.4
Brown (Ivy League),10,5-5,333,1098,3.30,17,109.8
Marist (Pioneer),11,5-6,341,1205,3.53,18,109.5
Holy Cross (Patriot),11,6-5,307,1195,3.89,14,108.6
Sacramento St. (Big Sky),11,2-9,359,1183,3.30,6,107.5
Morehead St. (Pioneer),11,7-4,335,1120,3.34,10,101.8
Bucknell (Patriot),11,4-7,386,1101,2.85,8,100.1
Mississippi Val. (SWAC),11,1-10,408,1100,2.70,7,100.0
Norfolk St. (MEAC),11,4-7,349,1095,3.14,8,99.5
Jackson St. (SWAC),11,3-8,312,1086,3.48,7,98.7
Georgetown (Patriot),11,4-7,332,1077,3.24,8,97.9
Rhode Island (CAA),11,1-10,354,1033,2.92,6,93.9
Davidson (Pioneer),11,2-9,353,929,2.63,4,84.5
Howard (MEAC),11,1-10,387,927,2.40,6,84.3
Delaware St. (MEAC),11,1-10,381,881,2.31,11,80.1
Florida A&M (MEAC),11,1-10,338,847,2.51,7,77.0
Elon (CAA),11,4-7,319,808,2.53,7,73.5
Lafayette (Patriot),11,1-10,318,795,2.50,6,72.3
Valparaiso (Pioneer),10,1-9,314,701,2.23,5,70.1
UIW (Southland),11,6-5,383,1425,3.72,15,129.5
Abilene Christian (Southland),11,3-8,362,1249,3.45,17,113.5
