Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Northern Colo. (Big Sky),11,6-5,9,69,0,7.67
Dayton (Pioneer),12,10-2,38,293,1,7.71
Cornell (Ivy League),10,1-9,26,201,0,7.73
Alabama A&M (SWAC),11,3-8,18,140,1,7.78
Furman (SoCon),11,4-7,21,167,0,7.95
Central Conn. St. (NEC),11,4-7,25,204,0,8.16
North Dakota St. (MVFC),15,13-2,17,140,0,8.24
Austin Peay (OVC),11,0-11,32,264,0,8.25
N.C. Central (MEAC),11,8-3,20,166,0,8.30
Delaware St. (MEAC),11,1-10,21,175,1,8.33
Montana St. (Big Sky),11,5-6,15,125,0,8.33
Florida A&M (MEAC),11,1-10,22,184,0,8.36
North Dakota (Big Sky),11,7-4,21,176,0,8.38
Elon (CAA),11,4-7,22,189,1,8.59
Drake (Pioneer),11,5-6,30,259,0,8.63
Marist (Pioneer),11,5-6,26,225,0,8.65
Jackson St. (SWAC),11,3-8,32,277,0,8.66
Idaho St. (Big Sky),11,2-9,22,196,1,8.91
ETSU (FCS Independent),11,2-9,23,205,0,8.91
Northern Ariz. (Big Sky),11,7-4,23,207,0,9.00
Liberty (Big South),11,6-5,18,162,0,9.00
Princeton (Ivy League),10,5-5,18,164,0,9.11
Eastern Wash. (Big Sky),11,6-5,14,132,1,9.43
Southeast Mo. St. (OVC),11,4-7,19,180,1,9.47
Rhode Island (CAA),11,1-10,23,221,3,9.61
Robert Morris (NEC),11,4-7,39,378,1,9.69
Ark.-Pine Bluff (SWAC),11,2-9,19,186,0,9.79
Monmouth (Big South),11,5-6,27,267,0,9.89
Western Caro. (SoCon),11,7-4,19,188,1,9.89
UT Martin (OVC),11,7-4,22,220,0,10.00
Eastern Ill. (OVC),12,7-5,24,243,1,10.13
Savannah St. (MEAC),10,1-9,34,348,2,10.24
Indiana St. (MVFC),11,5-6,20,206,1,10.30
Valparaiso (Pioneer),10,1-9,29,300,1,10.34
Tennessee Tech (OVC),11,4-7,31,321,2,10.35
Towson (CAA),11,7-4,8,83,0,10.38
Tennessee St. (OVC),10,4-6,20,209,1,10.45
Western Ill. (MVFC),13,7-6,25,263,2,10.52
Alabama St. (SWAC),11,6-5,19,204,1,10.74
Penn (Ivy League),10,7-3,13,141,0,10.85
Northwestern St. (Southland),11,4-7,7,76,0,10.86
Gardner-Webb (Big South),11,4-7,22,240,1,10.91
UNI (MVFC),14,9-5,30,334,1,11.13
Lafayette (Patriot),11,1-10,25,283,0,11.32
Mercer (SoCon),11,5-6,17,194,1,11.41
Georgetown (Patriot),11,4-7,28,323,0,11.54
Lamar University (Southland),11,5-6,7,81,0,11.57
Southern Ill. (MVFC),11,3-8,16,186,1,11.63
Weber St. (Big Sky),11,6-5,15,175,1,11.67
Wagner (NEC),11,1-10,23,273,0,11.87
Eastern Ky. (OVC),11,6-5,25,305,0,12.20
Stetson (Pioneer),11,3-8,23,281,0,12.22
Alcorn (SWAC),13,9-4,18,221,3,12.28
Kennesaw St. (Big South),11,6-5,14,172,0,12.29
UAlbany (CAA),11,3-8,24,295,2,12.29
Morgan St. (MEAC),10,4-6,17,211,1,12.41
Southern Utah (Big Sky),12,8-4,30,376,1,12.53
Texas Southern (SWAC),10,3-7,17,214,1,12.59
Missouri St. (MVFC),11,1-10,17,215,2,12.65
Columbia (Ivy League),10,2-8,23,291,3,12.65
Houston Christian (Southland),10,1-9,31,432,3,13.94
South Carolina St. (MEAC),11,7-4,16,230,0,14.38
N.C. A&T (MEAC),12,10-2,20,295,2,14.75
Samford (SoCon),11,6-5,15,224,0,14.93
Charleston So. (Big South),13,10-3,15,227,3,15.13
Bethune-Cookman (MEAC),11,9-2,14,256,2,18.29
Hampton (MEAC),11,6-5,23,428,2,18.61
Howard (MEAC),11,1-10,22,418,2,19.00
UC Davis (Big Sky),11,2-9,14,274,2,19.57
Saint Francis (PA) (NEC),10,6-4,16,322,3,20.13
SFA (Southland),11,4-7,15,302,2,20.13
Prairie View (SWAC),10,8-2,10,205,1,20.50
Richmond (CAA),14,10-4,21,456,2,21.71
William & Mary (CAA),13,9-4,15,377,3,25.13
UIW (Southland),11,6-5,11,57,0,5.18
Abilene Christian (Southland),11,3-8,12,90,0,7.50
