Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Brown (Ivy League),10,5-5,89,115,17,221
Yale (Ivy League),10,6-4,71,120,30,221
The Citadel (SoCon),13,9-4,89,118,14,221
South Dakota St. (MVFC),12,8-4,110,104,9,223
Penn (Ivy League),10,7-3,79,131,13,224
SFA (Southland),11,4-7,98,109,17,224
Eastern Ill. (OVC),12,7-5,109,93,22,224
Dayton (Pioneer),12,10-2,88,122,14,224
Howard (MEAC),11,1-10,114,91,19,224
Wagner (NEC),11,1-10,110,100,14,224
Rhode Island (CAA),11,1-10,105,111,9,225
Savannah St. (MEAC),10,1-9,107,97,22,226
Norfolk St. (MEAC),11,4-7,121,97,8,226
Wofford (SoCon),11,5-6,97,115,15,227
Elon (CAA),11,4-7,109,108,11,228
Georgetown (Patriot),11,4-7,101,116,11,228
Jackson St. (SWAC),11,3-8,120,84,29,233
Holy Cross (Patriot),11,6-5,109,107,17,233
Portland St. (Big Sky),12,9-3,119,90,25,234
Chattanooga (SoCon),13,9-4,117,95,24,236
Morehead St. (Pioneer),11,7-4,112,109,16,237
Delaware St. (MEAC),11,1-10,133,89,15,237
UNI (MVFC),14,9-5,78,132,27,237
Houston Christian (Southland),10,1-9,115,109,14,238
New Hampshire (CAA),12,7-5,115,108,15,238
Lafayette (Patriot),11,1-10,118,108,13,239
Nicholls (Southland),11,3-8,126,97,16,239
Davidson (Pioneer),11,2-9,114,108,18,240
Indiana St. (MVFC),11,5-6,115,107,19,241
Mississippi Val. (SWAC),11,1-10,134,91,18,243
Central Conn. St. (NEC),11,4-7,102,121,20,243
Southern Ill. (MVFC),11,3-8,120,99,24,243
Southeast Mo. St. (OVC),11,4-7,105,121,19,245
Lamar University (Southland),11,5-6,127,94,24,245
Lehigh (Patriot),11,6-5,109,126,11,246
UC Davis (Big Sky),11,2-9,128,102,16,246
Montana St. (Big Sky),11,5-6,120,107,19,246
Coastal Carolina (Big South),12,9-3,120,112,15,247
VMI (SoCon),11,2-9,121,117,10,248
Samford (SoCon),11,6-5,129,101,18,248
Jacksonville St. (OVC),15,13-2,107,115,27,249
Ark.-Pine Bluff (SWAC),11,2-9,112,118,19,249
Sacramento St. (Big Sky),11,2-9,102,131,17,250
Southern Utah (Big Sky),12,8-4,130,97,24,251
Montana (Big Sky),13,8-5,135,108,10,253
William & Mary (CAA),13,9-4,117,127,9,253
UAlbany (CAA),11,3-8,117,122,14,253
Austin Peay (OVC),11,0-11,120,114,20,254
Idaho St. (Big Sky),11,2-9,144,102,11,257
Western Caro. (SoCon),11,7-4,141,97,21,259
Northwestern St. (Southland),11,4-7,141,96,23,260
Fordham (Patriot),12,9-3,119,124,19,262
Cal Poly (Big Sky),11,4-7,92,149,22,263
Florida A&M (MEAC),11,1-10,133,109,21,263
James Madison (CAA),12,9-3,121,119,25,265
Alabama A&M (SWAC),11,3-8,130,117,19,266
Murray St. (OVC),11,3-8,109,142,15,266
Richmond (CAA),14,10-4,120,142,10,272
Illinois St. (MVFC),13,10-3,113,138,21,272
Tennessee Tech (OVC),11,4-7,130,130,12,272
Grambling (SWAC),12,9-3,104,151,24,279
Northern Ariz. (Big Sky),11,7-4,104,152,24,280
Western Ill. (MVFC),13,7-6,140,127,14,281
Northern Colo. (Big Sky),11,6-5,127,143,15,285
Sam Houston (Southland),15,11-4,140,123,25,288
Missouri St. (MVFC),11,1-10,156,117,17,290
Eastern Wash. (Big Sky),11,6-5,164,113,20,297
Colgate (Patriot),14,9-5,122,178,19,319
UIW (Southland),11,6-5,93,91,12,196
Abilene Christian (Southland),11,3-8,130,93,12,235
