Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Morehead St. (Pioneer),11,7-4,43,16,12,5,33,0.767
William & Mary (CAA),13,9-4,43,18,10,5,33,0.767
Idaho St. (Big Sky),11,2-9,56,19,15,9,43,0.768
Southeastern La. (Southland),11,4-7,26,12,4,4,20,0.769
Elon (CAA),11,4-7,44,17,7,10,34,0.773
Illinois St. (MVFC),13,10-3,45,13,13,9,35,0.778
Maine (CAA),11,3-8,36,12,6,10,28,0.778
Jackson St. (SWAC),11,3-8,54,25,12,5,42,0.778
Coastal Carolina (Big South),12,9-3,36,16,9,3,28,0.778
Tennessee St. (OVC),10,4-6,41,14,10,8,32,0.780
Kennesaw St. (Big South),11,6-5,33,12,8,6,26,0.788
Eastern Ky. (OVC),11,6-5,38,13,10,7,30,0.789
Richmond (CAA),14,10-4,57,16,17,12,45,0.789
Campbell (Pioneer),11,5-6,38,13,6,11,30,0.789
Wofford (SoCon),11,5-6,49,20,8,11,39,0.796
UT Martin (OVC),11,7-4,35,15,9,4,28,0.800
Towson (CAA),11,7-4,30,8,12,4,24,0.800
SFA (Southland),11,4-7,36,12,7,10,29,0.806
Monmouth (Big South),11,5-6,47,15,10,13,38,0.809
UAlbany (CAA),11,3-8,53,18,14,11,43,0.811
Stetson (Pioneer),11,3-8,43,12,18,5,35,0.814
Western Caro. (SoCon),11,7-4,43,21,8,6,35,0.814
Norfolk St. (MEAC),11,4-7,43,19,8,8,35,0.814
Lamar University (Southland),11,5-6,43,21,4,10,35,0.814
Florida A&M (MEAC),11,1-10,54,21,12,11,44,0.815
Chattanooga (SoCon),13,9-4,39,15,9,8,32,0.821
Morgan St. (MEAC),10,4-6,28,12,3,8,23,0.821
Yale (Ivy League),10,6-4,29,10,12,2,24,0.828
Mississippi Val. (SWAC),11,1-10,58,28,8,12,48,0.828
South Dakota (MVFC),11,5-6,35,16,5,8,29,0.829
Southern U. (SWAC),11,6-5,36,14,11,5,30,0.833
Delaware St. (MEAC),11,1-10,48,19,14,7,40,0.833
Alabama A&M (SWAC),11,3-8,49,20,12,9,41,0.837
North Dakota (Big Sky),11,7-4,31,8,12,6,26,0.839
ETSU (FCS Independent),11,2-9,50,26,14,2,42,0.840
The Citadel (SoCon),13,9-4,38,15,5,12,32,0.842
Eastern Wash. (Big Sky),11,6-5,57,25,13,10,48,0.842
Central Ark. (Southland),11,7-4,32,8,10,9,27,0.844
Liberty (Big South),11,6-5,45,19,7,12,38,0.844
Georgetown (Patriot),11,4-7,45,23,8,7,38,0.844
Rhode Island (CAA),11,1-10,39,15,13,5,33,0.846
Sam Houston (Southland),15,11-4,46,18,14,7,39,0.848
Texas Southern (SWAC),10,3-7,46,19,10,10,39,0.848
Tennessee Tech (OVC),11,4-7,53,19,14,12,45,0.849
Montana St. (Big Sky),11,5-6,40,14,14,6,34,0.850
UC Davis (Big Sky),11,2-9,47,19,15,6,40,0.851
Cornell (Ivy League),10,1-9,47,18,13,9,40,0.851
Ark.-Pine Bluff (SWAC),11,2-9,47,19,17,4,40,0.851
Delaware (CAA),11,4-7,27,6,7,10,23,0.852
Colgate (Patriot),14,9-5,61,22,15,15,52,0.852
Sacramento St. (Big Sky),11,2-9,41,17,11,7,35,0.854
Indiana St. (MVFC),11,5-6,41,21,7,7,35,0.854
Jacksonville St. (OVC),15,13-2,41,14,8,13,35,0.854
Houston Christian (Southland),10,1-9,48,21,16,4,41,0.854
Lehigh (Patriot),11,6-5,48,20,14,7,41,0.854
Cal Poly (Big Sky),11,4-7,55,21,17,9,47,0.855
Samford (SoCon),11,6-5,35,19,3,8,30,0.857
Furman (SoCon),11,4-7,42,22,5,9,36,0.857
Alabama St. (SWAC),11,6-5,43,16,12,9,37,0.860
Southeast Mo. St. (OVC),11,4-7,36,13,11,7,31,0.861
North Dakota St. (MVFC),15,13-2,29,9,5,11,25,0.862
Youngstown St. (MVFC),11,5-6,29,15,2,8,25,0.862
James Madison (CAA),12,9-3,45,26,9,4,39,0.867
Savannah St. (MEAC),10,1-9,48,19,14,9,42,0.875
Northern Colo. (Big Sky),11,6-5,52,16,17,13,46,0.885
Austin Peay (OVC),11,0-11,54,30,8,10,48,0.889
Howard (MEAC),11,1-10,45,25,10,5,40,0.889
VMI (SoCon),11,2-9,46,19,9,13,41,0.891
Northwestern St. (Southland),11,4-7,47,30,7,5,42,0.894
Wagner (NEC),11,1-10,48,20,14,9,43,0.896
Valparaiso (Pioneer),10,1-9,55,24,14,12,50,0.909
Murray St. (OVC),11,3-8,44,16,16,8,40,0.909
Lafayette (Patriot),11,1-10,45,17,16,8,41,0.911
Missouri St. (MVFC),11,1-10,59,23,22,9,54,0.915
Northern Ariz. (Big Sky),11,7-4,41,19,15,4,38,0.927
UIW (Southland),11,6-5,31,11,6,9,26,0.839
Abilene Christian (Southland),11,3-8,48,14,14,14,42,0.875
