Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Dartmouth (Ivy League),10,3-7,337,1588,4.71,17,158.8
SFA (ASUN),11,6-5,415,1739,4.19,16,158.1
Colgate (Patriot),11,3-8,396,1734,4.38,18,157.6
UNI (MVFC),11,6-5,383,1721,4.49,18,156.5
Nicholls (Southland),11,3-8,406,1690,4.16,10,153.6
Harvard (Ivy League),10,6-4,357,1529,4.28,14,152.9
Elon (CAA),12,8-4,460,1829,3.98,16,152.4
Campbell (Big South),11,5-6,417,1669,4.00,23,151.7
Grambling (SWAC),11,3-8,367,1658,4.52,18,150.7
Central Conn. St. (NEC),11,2-9,392,1649,4.21,19,149.9
Eastern Ill. (OVC),11,2-9,427,1642,3.85,12,149.3
Morgan St. (MEAC),11,4-7,392,1634,4.17,13,148.5
Jackson St. (SWAC),13,12-1,438,1927,4.40,17,148.2
Maine (CAA),11,2-9,370,1630,4.41,16,148.2
Columbia (Ivy League),10,6-4,381,1480,3.88,12,148.0
North Dakota (MVFC),12,7-5,406,1771,4.36,25,147.6
Ark.-Pine Bluff (SWAC),11,3-8,377,1581,4.19,22,143.7
Delaware (CAA),13,8-5,449,1864,4.15,15,143.4
Mississippi Val. (SWAC),11,2-9,409,1576,3.85,6,143.3
Bethune-Cookman (SWAC),11,2-9,349,1575,4.51,16,143.2
Cornell (Ivy League),10,5-5,391,1424,3.64,11,142.4
Abilene Christian (WAC),11,7-4,382,1560,4.08,17,141.8
Richmond (CAA),13,9-4,468,1840,3.93,15,141.5
Murray St. (OVC),11,2-9,400,1501,3.75,9,136.5
Eastern Wash. (Big Sky),11,3-8,378,1481,3.92,10,134.6
New Hampshire (CAA),13,9-4,442,1734,3.92,19,133.4
Tennessee St. (OVC),11,4-7,419,1459,3.48,10,132.6
Norfolk St. (MEAC),11,2-9,360,1451,4.03,11,131.9
Southern Utah (WAC),11,5-6,358,1448,4.04,20,131.6
Samford (SoCon),13,11-2,457,1694,3.71,17,130.3
Hampton (CAA),11,4-7,335,1432,4.27,9,130.2
Indiana St. (MVFC),11,2-9,381,1432,3.76,12,130.2
Idaho St. (Big Sky),11,1-10,397,1418,3.57,8,128.9
Duquesne (NEC),11,4-7,395,1407,3.56,9,127.9
LIU (NEC),11,4-7,386,1405,3.64,13,127.7
UAlbany (CAA),11,3-8,352,1394,3.96,16,126.7
Valparaiso (Pioneer),12,5-7,418,1508,3.61,16,125.7
Morehead St. (Pioneer),11,2-9,379,1376,3.63,12,125.1
South Dakota (MVFC),11,3-8,362,1350,3.73,11,122.7
Southern Ill. (MVFC),11,5-6,416,1345,3.23,19,122.3
Eastern Ky. (ASUN),12,7-5,361,1460,4.04,20,121.7
Delaware St. (MEAC),11,5-6,424,1324,3.12,13,120.4
Missouri St. (MVFC),11,5-6,352,1315,3.74,19,119.5
Bucknell (Patriot),11,3-8,377,1259,3.34,10,114.5
Northern Colo. (Big Sky),11,3-8,353,1256,3.56,10,114.2
Bryant (Big South),11,4-7,335,1242,3.71,16,112.9
Illinois St. (MVFC),11,6-5,382,1238,3.24,9,112.5
Alabama St. (SWAC),11,6-5,398,1233,3.10,12,112.1
Northwestern St. (Southland),11,4-7,361,1230,3.41,11,111.8
San Diego (Pioneer),10,5-5,277,1111,4.01,9,111.1
Drake (Pioneer),11,3-8,376,1219,3.24,9,110.8
South Carolina St. (MEAC),11,3-8,370,1173,3.17,9,106.6
Brown (Ivy League),10,3-7,375,1063,2.83,14,106.3
Northern Ariz. (Big Sky),11,3-8,359,1164,3.24,13,105.8
Stony Brook (CAA),11,2-9,384,1163,3.03,6,105.7
Charleston So. (Big South),10,2-8,316,1025,3.24,10,102.5
Lehigh (Patriot),11,2-9,336,1094,3.26,8,99.5
Penn (Ivy League),10,8-2,304,982,3.23,14,98.2
Wofford (SoCon),11,3-8,353,1058,3.00,16,96.2
Florida A&M (SWAC),11,9-2,345,1042,3.02,10,94.7
Princeton (Ivy League),10,8-2,318,921,2.90,19,92.1
Cal Poly (Big Sky),11,2-9,325,986,3.03,7,89.6
Lafayette (Patriot),11,4-7,373,979,2.62,8,89.0
Western Ill. (MVFC),11,0-11,335,973,2.90,2,88.5
Presbyterian (Pioneer),11,1-10,373,956,2.56,10,86.9
Stetson (Pioneer),10,4-6,264,862,3.27,13,86.2
Marist (Pioneer),11,4-7,298,929,3.12,13,84.5
Georgetown (Patriot),11,2-9,311,901,2.90,10,81.9
Houston Christian (Southland),11,2-9,329,866,2.63,3,78.7
VMI (SoCon),11,1-10,349,850,2.44,12,77.3
Wagner (NEC),11,1-10,348,746,2.14,5,67.8
Robert Morris (Big South),11,0-11,321,699,2.18,6,63.5
Stonehill (NEC),9,4-5,345,1869,5.42,21,207.7
St. Thomas (MN) (Pioneer),11,10-1,470,2202,4.69,24,200.2
Lindenwood (OVC),10,7-3,372,1829,4.92,19,182.9
Tarleton St. (WAC),11,6-5,443,1919,4.33,17,174.5
Merrimack (NEC),11,8-3,427,1679,3.93,18,152.6
Tex. A&M-Commerce (Southland),11,5-6,396,1593,4.02,16,144.8
Utah Tech (WAC),11,4-7,306,1265,4.13,8,115.0
