Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
UAlbany (CAA),11,3-8,732,4421,6.04,41,401.9
Sacred Heart (NEC),11,5-6,804,4412,5.49,33,401.1
North Dakota St. (MVFC),15,12-3,912,6012,6.59,63,400.8
Youngstown St. (MVFC),11,7-4,706,4385,6.21,37,398.6
Abilene Christian (WAC),11,7-4,788,4383,5.56,40,398.5
Southern U. (SWAC),12,7-5,774,4776,6.17,44,398.0
Montana (Big Sky),13,8-5,926,5144,5.56,55,395.7
Tennessee Tech (OVC),11,4-7,743,4331,5.83,34,393.7
Southern Utah (WAC),11,5-6,736,4310,5.86,40,391.8
Portland St. (Big Sky),11,4-7,761,4284,5.63,38,389.5
Southern Ill. (MVFC),11,5-6,785,4272,5.44,40,388.4
Eastern Wash. (Big Sky),11,3-8,773,4270,5.52,35,388.2
North Ala. (ASUN),11,1-10,731,4270,5.84,42,388.2
South Dakota St. (MVFC),15,14-1,933,5768,6.18,62,384.5
Elon (CAA),12,8-4,789,4613,5.85,37,384.4
N.C. A&T (Big South),11,7-4,711,4220,5.94,36,383.6
Harvard (Ivy League),10,6-4,664,3830,5.77,33,383.0
Stetson (Pioneer),10,4-6,666,3821,5.74,34,382.1
Northwestern St. (Southland),11,4-7,863,4188,4.85,32,380.7
Alabama A&M (SWAC),11,4-7,791,4179,5.28,27,379.9
Butler (Pioneer),11,7-4,748,4173,5.58,37,379.4
Prairie View (SWAC),11,6-5,724,4144,5.72,40,376.7
Villanova (CAA),11,6-5,654,4143,6.33,36,376.6
New Hampshire (CAA),13,9-4,865,4891,5.65,46,376.2
North Dakota (MVFC),12,7-5,783,4509,5.76,45,375.8
Howard (MEAC),11,5-6,726,4108,5.66,41,373.5
Northern Ariz. (Big Sky),11,3-8,823,4094,4.97,30,372.2
Kennesaw St. (ASUN),11,5-6,829,4059,4.90,36,369.0
Missouri St. (MVFC),11,5-6,698,4030,5.77,37,366.4
Princeton (Ivy League),10,8-2,670,3663,5.47,35,366.3
Bethune-Cookman (SWAC),11,2-9,713,4012,5.63,30,364.7
ETSU (SoCon),11,3-8,714,4003,5.61,35,363.9
Columbia (Ivy League),10,6-4,696,3625,5.21,29,362.5
Nicholls (Southland),11,3-8,791,3982,5.03,24,362.0
Georgetown (Patriot),11,2-9,772,3935,5.10,28,357.7
San Diego (Pioneer),10,5-5,621,3562,5.74,34,356.2
Maine (CAA),11,2-9,739,3891,5.27,32,353.7
Brown (Ivy League),10,3-7,800,3535,4.42,29,353.5
Florida A&M (SWAC),11,9-2,756,3887,5.14,32,353.4
LIU (NEC),11,4-7,721,3871,5.37,30,351.9
Penn (Ivy League),10,8-2,703,3497,4.97,32,349.7
Lamar University (Southland),11,1-10,777,3834,4.93,26,348.5
Duquesne (NEC),11,4-7,752,3811,5.07,32,346.5
McNeese (Southland),11,4-7,678,3798,5.60,29,345.3
Northern Colo. (Big Sky),11,3-8,771,3770,4.89,27,342.7
Texas Southern (SWAC),11,5-6,732,3751,5.12,32,341.0
Valparaiso (Pioneer),12,5-7,770,4091,5.31,33,340.9
Morehead St. (Pioneer),11,2-9,799,3743,4.68,28,340.3
Alcorn (SWAC),11,5-6,750,3732,4.98,24,339.3
Dayton (Pioneer),11,8-3,725,3640,5.02,36,330.9
Sam Houston (WAC),9,5-4,632,2975,4.71,16,330.6
Idaho St. (Big Sky),11,1-10,739,3600,4.87,19,327.3
The Citadel (SoCon),11,4-7,739,3589,4.86,25,326.3
Cornell (Ivy League),10,5-5,680,3250,4.78,25,325.0
Hampton (CAA),11,4-7,613,3549,5.79,28,322.6
Dartmouth (Ivy League),10,3-7,602,3224,5.36,25,322.4
Wofford (SoCon),11,3-8,684,3543,5.18,28,322.1
Lehigh (Patriot),11,2-9,727,3536,4.86,20,321.5
Towson (CAA),11,6-5,726,3532,4.87,24,321.1
Central Conn. St. (NEC),11,2-9,721,3525,4.89,27,320.5
Colgate (Patriot),11,3-8,703,3469,4.93,25,315.4
Tennessee St. (OVC),11,4-7,737,3460,4.69,20,314.5
Charleston So. (Big South),10,2-8,692,3143,4.54,25,314.3
Ark.-Pine Bluff (SWAC),11,3-8,729,3449,4.73,29,313.5
Marist (Pioneer),11,4-7,710,3425,4.82,26,311.4
Alabama St. (SWAC),11,6-5,662,3377,5.10,24,307.0
Houston Christian (Southland),11,2-9,772,3375,4.37,20,306.8
Murray St. (OVC),11,2-9,712,3341,4.69,21,303.7
Drake (Pioneer),11,3-8,750,3309,4.41,24,300.8
South Carolina St. (MEAC),11,3-8,702,3306,4.71,30,300.5
Presbyterian (Pioneer),11,1-10,699,3298,4.72,22,299.8
Norfolk St. (MEAC),11,2-9,650,3286,5.06,26,298.7
Grambling (SWAC),11,3-8,665,3281,4.93,29,298.3
Indiana St. (MVFC),11,2-9,691,3279,4.75,22,298.1
Eastern Ill. (OVC),11,2-9,699,3251,4.65,28,295.5
Illinois St. (MVFC),11,6-5,697,3171,4.55,20,288.3
South Dakota (MVFC),11,3-8,632,3146,4.98,23,286.0
VMI (SoCon),11,1-10,720,3141,4.36,19,285.5
Stony Brook (CAA),11,2-9,683,3091,4.53,20,281.0
Western Ill. (MVFC),11,0-11,683,2999,4.39,18,272.6
Morgan St. (MEAC),11,4-7,653,2987,4.57,24,271.5
Mississippi Val. (SWAC),11,2-9,691,2974,4.30,18,270.4
Bucknell (Patriot),11,3-8,713,2870,4.03,16,260.9
Delaware St. (MEAC),11,5-6,656,2826,4.31,26,256.9
Wagner (NEC),11,1-10,682,2665,3.91,16,242.3
Lafayette (Patriot),11,4-7,665,2482,3.73,17,225.6
Robert Morris (Big South),11,0-11,689,2447,3.55,13,222.5
Lindenwood (OVC),10,7-3,746,5091,6.82,50,509.1
Tarleton St. (WAC),11,6-5,786,4804,6.11,41,436.7
Utah Tech (WAC),11,4-7,769,4679,6.08,36,425.4
Stonehill (NEC),9,4-5,604,3472,5.75,35,385.8
St. Thomas (MN) (Pioneer),11,10-1,728,4158,5.71,42,378.0
Tex. A&M-Commerce (Southland),11,5-6,732,4009,5.48,36,364.5
Merrimack (NEC),11,8-3,678,3413,5.03,36,310.3
