Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Stetson (Pioneer),10,4-6,31,10,6,9,25,0.806
Villanova (CAA),11,6-5,41,17,9,7,33,0.805
Chattanooga (SoCon),11,7-4,46,17,10,10,37,0.804
Jackson St. (SWAC),13,12-1,66,13,27,13,53,0.803
Bryant (Big South),11,4-7,55,16,18,10,44,0.800
Dayton (Pioneer),11,8-3,45,20,6,10,36,0.800
Alabama A&M (SWAC),11,4-7,39,14,9,8,31,0.795
Brown (Ivy League),10,3-7,34,12,7,8,27,0.794
Dartmouth (Ivy League),10,3-7,34,15,5,7,27,0.794
ETSU (SoCon),11,3-8,34,12,5,10,27,0.794
UT Martin (OVC),11,7-4,48,19,10,9,38,0.792
Montana (Big Sky),13,8-5,61,20,19,9,48,0.787
SFA (ASUN),11,6-5,51,13,14,13,40,0.784
Stony Brook (CAA),11,2-9,23,5,9,4,18,0.783
Gardner-Webb (Big South),13,7-6,64,28,16,6,50,0.781
Elon (CAA),12,8-4,41,15,10,7,32,0.780
Georgetown (Patriot),11,2-9,41,10,12,10,32,0.780
Florida A&M (SWAC),11,9-2,50,10,16,13,39,0.780
Lamar University (Southland),11,1-10,36,13,6,9,28,0.778
Marist (Pioneer),11,4-7,36,10,9,9,28,0.778
Northern Ariz. (Big Sky),11,3-8,36,13,10,5,28,0.778
Western Caro. (SoCon),11,6-5,49,9,14,15,38,0.776
South Dakota (MVFC),11,3-8,26,9,6,5,20,0.769
Austin Peay (ASUN),11,7-4,43,16,9,8,33,0.767
Eastern Wash. (Big Sky),11,3-8,30,5,14,4,23,0.767
Sam Houston (WAC),9,5-4,30,8,6,9,23,0.767
Bethune-Cookman (SWAC),11,2-9,42,14,10,8,32,0.762
Fordham (Patriot),12,9-3,63,16,21,11,48,0.762
San Diego (Pioneer),10,5-5,37,6,15,7,28,0.757
Tennessee Tech (OVC),11,4-7,41,12,14,5,31,0.756
Southern Utah (WAC),11,5-6,49,16,10,11,37,0.755
Southern U. (SWAC),12,7-5,43,15,10,7,32,0.744
Texas Southern (SWAC),11,5-6,39,16,6,7,29,0.744
The Citadel (SoCon),11,4-7,31,11,6,6,23,0.742
VMI (SoCon),11,1-10,31,12,2,9,23,0.742
Northern Colo. (Big Sky),11,3-8,34,9,12,4,25,0.735
Davidson (Pioneer),12,8-4,49,24,8,4,36,0.735
Robert Morris (Big South),11,0-11,15,6,3,2,11,0.733
Princeton (Ivy League),10,8-2,41,17,6,7,30,0.732
Columbia (Ivy League),10,6-4,37,10,9,8,27,0.730
Morehead St. (Pioneer),11,2-9,37,9,9,9,27,0.730
Lafayette (Patriot),11,4-7,22,6,8,2,16,0.727
Nicholls (Southland),11,3-8,33,9,9,6,24,0.727
Ark.-Pine Bluff (SWAC),11,3-8,40,19,2,8,29,0.725
Norfolk St. (MEAC),11,2-9,25,6,9,3,18,0.720
Rhode Island (CAA),11,7-4,49,19,12,4,35,0.714
Valparaiso (Pioneer),12,5-7,35,11,9,5,25,0.714
Wagner (NEC),11,1-10,21,5,7,3,15,0.714
Murray St. (OVC),11,2-9,24,7,6,4,17,0.708
Presbyterian (Pioneer),11,1-10,24,9,4,4,17,0.708
Hampton (CAA),11,4-7,27,5,6,8,19,0.704
South Carolina St. (MEAC),11,3-8,27,5,7,7,19,0.704
Mississippi Val. (SWAC),11,2-9,23,6,5,5,16,0.696
Portland St. (Big Sky),11,4-7,36,12,10,3,25,0.694
Sacred Heart (NEC),11,5-6,49,17,7,10,34,0.694
Tennessee St. (OVC),11,4-7,29,6,4,10,20,0.690
Delaware (CAA),13,8-5,50,10,20,4,34,0.680
Bucknell (Patriot),11,3-8,31,10,6,5,21,0.677
Delaware St. (MEAC),11,5-6,30,9,4,7,20,0.667
Northwestern St. (Southland),11,4-7,33,9,11,2,22,0.667
Western Ill. (MVFC),11,0-11,18,2,4,6,12,0.667
Lehigh (Patriot),11,2-9,35,7,9,7,23,0.657
Illinois St. (MVFC),11,6-5,29,8,8,3,19,0.655
Houston Christian (Southland),11,2-9,20,2,4,7,13,0.650
Cal Poly (Big Sky),11,2-9,30,6,10,3,19,0.633
Indiana St. (MVFC),11,2-9,30,7,7,5,19,0.633
Central Conn. St. (NEC),11,2-9,34,16,3,2,21,0.618
Alabama St. (SWAC),11,6-5,34,9,5,6,20,0.588
Idaho St. (Big Sky),11,1-10,20,4,3,4,11,0.550
Merrimack (NEC),11,8-3,35,15,12,6,33,0.943
Utah Tech (WAC),11,4-7,36,6,16,9,31,0.861
Lindenwood (OVC),10,7-3,47,17,17,6,40,0.851
Tex. A&M-Commerce (Southland),11,5-6,33,11,9,8,28,0.848
St. Thomas (MN) (Pioneer),11,10-1,44,23,8,6,37,0.841
Tarleton St. (WAC),11,6-5,48,16,12,9,37,0.771
Stonehill (NEC),9,4-5,36,13,6,7,26,0.722
