Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Idaho St. (Big Sky),11,1-10,119,134,12,265
Montana St. (Big Sky),14,12-2,115,134,17,266
North Dakota St. (MVFC),15,12-3,130,127,14,271
Wagner (NEC),11,1-10,153,109,11,273
Northern Colo. (Big Sky),11,3-8,137,124,16,277
Sacramento St. (Big Sky),13,12-1,113,141,24,278
Western Ill. (MVFC),11,0-11,146,117,16,279
Cal Poly (Big Sky),11,2-9,131,143,16,290
Eastern Ky. (ASUN),12,7-5,155,119,16,290
Eastern Wash. (Big Sky),11,3-8,171,101,25,297
Samford (SoCon),13,11-2,136,153,23,312
UIW (Southland),14,12-2,138,140,38,316
Stonehill (NEC),9,4-5,84,70,13,167
St. Thomas (MN) (Pioneer),11,10-1,72,85,19,176
Tex. A&M-Commerce (Southland),11,5-6,98,81,23,202
Tarleton St. (WAC),11,6-5,83,106,21,210
Merrimack (NEC),11,8-3,92,97,28,217
Lindenwood (OVC),10,7-3,109,104,6,219
Utah Tech (WAC),11,4-7,111,147,23,281
