Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Wagner (NEC),11,1-10,297:08,27:01
Abilene Christian (WAC),11,7-4,294:58,26:49
Eastern Wash. (Big Sky),11,3-8,294:46,26:48
Morgan St. (MEAC),11,4-7,293:35,26:41
Houston Christian (Southland),11,2-9,292:54,26:38
South Dakota (MVFC),11,3-8,292:47,26:37
UIW (Southland),14,12-2,369:38,26:24
Texas Southern (SWAC),11,5-6,289:29,26:19
Stetson (Pioneer),10,4-6,256:22,25:38
VMI (SoCon),11,1-10,276:57,25:11
Jacksonville St. (ASUN),11,9-2,276:53,25:10
Charleston So. (Big South),10,2-8,244:11,24:25
Western Ill. (MVFC),11,0-11,264:52,24:05
St. Thomas (MN) (Pioneer),11,10-1,354:06,32:11
Lindenwood (OVC),10,7-3,313:53,31:23
Tex. A&M-Commerce (Southland),11,5-6,335:50,30:32
Tarleton St. (WAC),11,6-5,334:31,30:25
Merrimack (NEC),11,8-3,318:01,28:55
Stonehill (NEC),9,4-5,258:05,28:41
Utah Tech (WAC),11,4-7,304:37,27:42
