Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Northern Colo. (Big Sky),11,3-8,9,241,0,26.78
Brown (Ivy League),10,3-7,21,565,2,26.90
Eastern Wash. (Big Sky),11,3-8,22,615,1,27.95
Tarleton St. (WAC),11,6-5,25,387,0,15.48
St. Thomas (MN) (Pioneer),11,10-1,49,770,0,15.71
Merrimack (NEC),11,8-3,35,627,0,17.91
Tex. A&M-Commerce (Southland),11,5-6,32,588,0,18.38
Stonehill (NEC),9,4-5,34,654,0,19.24
Lindenwood (OVC),10,7-3,30,637,1,21.23
Utah Tech (WAC),11,4-7,39,894,1,22.92
