Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Howard (MEAC),11,5-6,313,204,10,2301,7.35,11.28,20,209.2
Furman (SoCon),13,10-3,382,257,9,2718,7.12,10.58,20,209.1
Nicholls (Southland),11,3-8,385,215,15,2292,5.95,10.66,14,208.4
VMI (SoCon),11,1-10,371,210,17,2291,6.18,10.91,7,208.3
Weber St. (Big Sky),13,10-3,374,220,8,2689,7.19,12.22,23,206.8
Maine (CAA),11,2-9,369,211,6,2261,6.13,10.72,16,205.5
Holy Cross (Patriot),13,12-1,288,164,5,2656,9.22,16.20,28,204.3
North Ala. (ASUN),11,1-10,306,161,13,2239,7.32,13.91,20,203.5
Portland St. (Big Sky),11,4-7,310,173,11,2215,7.15,12.80,20,201.4
South Dakota St. (MVFC),15,14-1,369,239,5,2999,8.13,12.55,26,199.9
N.C. A&T (Big South),11,7-4,309,178,8,2192,7.09,12.31,17,199.3
Idaho St. (Big Sky),11,1-10,342,201,16,2182,6.38,10.86,11,198.4
Youngstown St. (MVFC),11,7-4,285,158,3,2160,7.58,13.67,17,196.4
Southern U. (SWAC),12,7-5,294,169,13,2354,8.01,13.93,19,196.2
Alabama St. (SWAC),11,6-5,264,159,10,2144,8.12,13.48,12,194.9
South Carolina St. (MEAC),11,3-8,332,152,15,2133,6.42,14.03,21,193.9
ETSU (SoCon),11,3-8,320,167,15,2129,6.65,12.75,15,193.5
Hampton (CAA),11,4-7,278,156,20,2117,7.62,13.57,19,192.5
Drake (Pioneer),11,3-8,374,174,12,2090,5.59,12.01,15,190.0
Villanova (CAA),11,6-5,244,128,11,2057,8.43,16.07,16,187.0
Western Ill. (MVFC),11,0-11,348,172,19,2026,5.82,11.78,16,184.2
Montana St. (Big Sky),14,12-2,307,191,8,2565,8.36,13.43,21,183.2
William & Mary (CAA),13,11-2,247,158,7,2380,9.64,15.06,19,183.1
Cornell (Ivy League),10,5-5,289,166,9,1826,6.32,11.00,14,182.6
Tennessee St. (OVC),11,4-7,318,173,8,2001,6.29,11.57,10,181.9
Yale (Ivy League),10,8-2,244,143,10,1800,7.38,12.59,15,180.0
Illinois St. (MVFC),11,6-5,315,192,9,1933,6.14,10.07,11,175.7
Stony Brook (CAA),11,2-9,299,154,16,1928,6.45,12.52,14,175.3
Wagner (NEC),11,1-10,334,168,13,1919,5.75,11.42,11,174.5
Lamar University (Southland),11,1-10,324,154,10,1911,5.90,12.41,11,173.7
Jacksonville St. (ASUN),11,9-2,227,124,11,1899,8.37,15.31,11,172.6
Central Conn. St. (NEC),11,2-9,329,176,13,1876,5.70,10.66,8,170.5
Ark.-Pine Bluff (SWAC),11,3-8,352,182,12,1868,5.31,10.26,7,169.8
Sam Houston (WAC),9,5-4,303,136,10,1514,5.00,11.13,6,168.2
Indiana St. (MVFC),11,2-9,310,152,9,1847,5.96,12.15,10,167.9
Murray St. (OVC),11,2-9,312,144,15,1840,5.90,12.78,12,167.3
Norfolk St. (MEAC),11,2-9,290,157,15,1835,6.33,11.69,15,166.8
Texas Southern (SWAC),11,5-6,271,150,6,1832,6.76,12.21,13,166.5
Alcorn (SWAC),11,5-6,272,151,10,1820,6.69,12.05,8,165.5
Dartmouth (Ivy League),10,3-7,265,157,6,1636,6.17,10.42,8,163.6
South Dakota (MVFC),11,3-8,270,158,6,1796,6.65,11.37,12,163.3
Towson (CAA),11,6-5,301,168,6,1760,5.85,10.48,14,160.0
Robert Morris (Big South),11,0-11,368,180,18,1748,4.75,9.71,7,158.9
Colgate (Patriot),11,3-8,307,159,8,1735,5.65,10.91,7,157.7
Grambling (SWAC),11,3-8,298,130,11,1623,5.45,12.48,11,147.5
Bucknell (Patriot),11,3-8,336,162,10,1611,4.79,9.94,6,146.5
Prairie View (SWAC),11,6-5,226,128,7,1610,7.12,12.58,12,146.4
Eastern Ill. (OVC),11,2-9,272,140,15,1609,5.92,11.49,16,146.3
McNeese (Southland),11,4-7,257,131,17,1593,6.20,12.16,9,144.8
Kennesaw St. (ASUN),11,5-6,194,96,7,1505,7.76,15.68,8,136.8
Lafayette (Patriot),11,4-7,292,166,8,1503,5.15,9.05,9,136.6
Delaware St. (MEAC),11,5-6,232,129,4,1502,6.47,11.64,13,136.5
North Dakota St. (MVFC),15,12-3,256,168,6,2026,7.91,12.06,13,135.1
Dayton (Pioneer),11,8-3,224,135,9,1458,6.51,10.80,11,132.5
Mississippi Val. (SWAC),11,2-9,282,131,9,1398,4.96,10.67,12,127.1
Morgan St. (MEAC),11,4-7,261,113,12,1353,5.18,11.97,11,123.0
Davidson (Pioneer),12,8-4,136,85,5,1414,10.40,16.64,15,117.8
The Citadel (SoCon),11,4-7,138,72,6,1021,7.40,14.18,10,92.8
Lindenwood (OVC),10,7-3,374,245,9,3262,8.72,13.31,31,326.2
Utah Tech (WAC),11,4-7,463,240,15,3414,7.37,14.22,28,310.4
Tarleton St. (WAC),11,6-5,343,194,11,2885,8.41,14.87,24,262.3
Tex. A&M-Commerce (Southland),11,5-6,336,205,10,2416,7.19,11.79,20,219.6
Stonehill (NEC),9,4-5,259,138,7,1603,6.19,11.62,14,178.1
St. Thomas (MN) (Pioneer),11,10-1,258,149,9,1956,7.58,13.13,18,177.8
Merrimack (NEC),11,8-3,251,120,4,1734,6.91,14.45,18,157.6
