Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
LIU (NEC),11,4-7,32,28,1,0,14,1,266,24.2
Tennessee Tech (OVC),11,4-7,34,32,0,0,10,0,266,24.2
Ark.-Pine Bluff (SWAC),11,3-8,34,31,0,0,9,0,262,23.8
Bethune-Cookman (SWAC),11,2-9,34,25,2,0,8,1,259,23.5
Maine (CAA),11,2-9,33,29,1,0,9,0,256,23.3
Brown (Ivy League),10,3-7,29,25,1,0,10,0,231,23.1
Morehead St. (Pioneer),11,2-9,32,28,0,0,11,0,253,23.0
Morgan St. (MEAC),11,4-7,34,29,0,0,5,1,250,22.7
Georgetown (Patriot),11,2-9,32,27,0,0,10,0,249,22.6
McNeese (Southland),11,4-7,31,25,3,0,10,1,249,22.6
Grambling (SWAC),11,3-8,33,27,2,0,6,1,249,22.6
South Carolina St. (MEAC),11,3-8,31,28,0,0,8,0,238,21.6
Eastern Ill. (OVC),11,2-9,30,28,2,0,11,0,245,22.3
Northern Ariz. (Big Sky),11,3-8,30,27,1,0,12,0,245,22.3
Valparaiso (Pioneer),12,5-7,35,28,1,0,9,0,267,22.2
Cal Poly (Big Sky),11,2-9,33,31,0,0,4,0,241,21.9
Cornell (Ivy League),10,5-5,28,25,1,0,7,0,216,21.6
Colgate (Patriot),11,3-8,28,23,2,0,14,0,237,21.5
Northwestern St. (Southland),11,4-7,33,28,1,0,3,0,237,21.5
Marist (Pioneer),11,4-7,29,26,0,0,12,0,236,21.5
Towson (CAA),11,6-5,29,25,0,0,12,0,235,21.4
Lamar University (Southland),11,1-10,29,28,0,0,10,0,232,21.1
Northern Colo. (Big Sky),11,3-8,31,27,2,0,4,0,229,20.8
Alcorn (SWAC),11,5-6,27,24,0,0,14,0,228,20.7
Charleston So. (Big South),10,2-8,26,25,0,0,8,1,207,20.7
Alabama A&M (SWAC),11,4-7,28,25,0,0,10,1,225,20.5
Dartmouth (Ivy League),10,3-7,26,24,0,0,7,0,201,20.1
Hampton (CAA),11,4-7,28,28,0,0,8,0,220,20.0
Wofford (SoCon),11,3-8,29,26,1,0,6,0,220,20.0
Delaware St. (MEAC),11,5-6,27,21,1,0,9,0,212,19.3
Alabama St. (SWAC),11,6-5,26,21,0,0,10,3,213,19.4
The Citadel (SoCon),11,4-7,26,23,0,0,9,0,206,18.7
Nicholls (Southland),11,3-8,25,21,0,0,10,1,203,18.5
Sam Houston (WAC),9,5-4,17,14,1,0,15,1,165,18.3
Tennessee St. (OVC),11,4-7,23,18,0,0,15,0,201,18.3
Houston Christian (Southland),11,2-9,24,21,0,0,11,0,198,18.0
Drake (Pioneer),11,3-8,24,21,1,0,9,0,194,17.6
Central Conn. St. (NEC),11,2-9,28,15,1,0,2,0,191,17.4
Illinois St. (MVFC),11,6-5,25,22,0,0,6,0,190,17.3
Lehigh (Patriot),11,2-9,24,20,1,0,7,1,189,17.2
Norfolk St. (MEAC),11,2-9,26,24,0,0,3,0,189,17.2
South Dakota (MVFC),11,3-8,23,20,0,0,7,0,179,16.3
VMI (SoCon),11,1-10,21,16,0,0,11,1,177,16.1
Indiana St. (MVFC),11,2-9,23,17,3,0,5,0,176,16.0
Presbyterian (Pioneer),11,1-10,23,23,0,0,4,0,173,15.7
Murray St. (OVC),11,2-9,21,15,0,0,8,1,167,15.2
Stony Brook (CAA),11,2-9,22,22,0,0,4,0,166,15.1
Mississippi Val. (SWAC),11,2-9,20,18,0,0,7,0,159,14.5
Idaho St. (Big Sky),11,1-10,19,16,0,0,7,0,151,13.7
Wagner (NEC),11,1-10,20,17,1,0,4,0,151,13.7
Western Ill. (MVFC),11,0-11,18,15,0,0,9,0,150,13.6
Bucknell (Patriot),11,3-8,17,9,3,0,8,0,141,12.8
Lafayette (Patriot),11,4-7,19,17,0,1,2,0,139,12.6
Robert Morris (Big South),11,0-11,14,10,0,0,5,0,109,9.9
