Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Southern Utah (WAC),11,5-6,41,40,0,0,7,0,307,27.9
Morgan St. (MEAC),11,4-7,40,39,0,0,9,1,308,28.0
Cornell (Ivy League),10,5-5,36,29,2,0,10,1,281,28.1
Campbell (Big South),11,5-6,41,33,1,0,10,0,311,28.3
Bucknell (Patriot),11,3-8,43,37,0,0,5,1,312,28.4
New Hampshire (CAA),13,9-4,51,46,1,0,5,0,369,28.4
Villanova (CAA),11,6-5,41,38,0,0,9,1,313,28.5
Stetson (Pioneer),10,4-6,36,30,2,0,11,1,285,28.5
Gardner-Webb (Big South),13,7-6,49,43,2,0,12,0,377,29.0
South Dakota (MVFC),11,3-8,41,37,0,0,12,1,321,29.2
Northern Ariz. (Big Sky),11,3-8,38,35,1,0,19,0,322,29.3
Central Conn. St. (NEC),11,2-9,42,36,0,0,11,1,323,29.4
Lehigh (Patriot),11,2-9,41,32,1,0,15,0,325,29.5
Marist (Pioneer),11,4-7,42,39,0,0,12,0,327,29.7
Valparaiso (Pioneer),12,5-7,49,46,0,0,7,0,361,30.1
Bryant (Big South),11,4-7,42,30,3,0,13,2,331,30.1
UT Martin (OVC),11,7-4,44,38,0,0,9,1,331,30.1
Mississippi Val. (SWAC),11,2-9,42,36,1,0,14,1,334,30.4
SFA (ASUN),11,6-5,43,40,0,0,12,0,334,30.4
Colgate (Patriot),11,3-8,45,40,2,0,7,0,335,30.5
ETSU (SoCon),11,3-8,42,42,0,0,14,0,336,30.5
South Carolina St. (MEAC),11,3-8,44,42,1,0,10,0,338,30.7
North Dakota (MVFC),12,7-5,48,44,1,0,12,0,370,30.8
McNeese (Southland),11,4-7,44,38,1,0,12,0,340,30.9
Eastern Ill. (OVC),11,2-9,43,40,0,0,15,0,343,31.2
Wofford (SoCon),11,3-8,44,41,0,0,13,0,344,31.3
Maine (CAA),11,2-9,48,42,1,0,5,0,347,31.5
Tennessee Tech (OVC),11,4-7,44,38,0,0,16,0,350,31.8
Central Ark. (ASUN),11,5-6,46,44,1,0,9,1,351,31.9
Western Caro. (SoCon),11,6-5,47,44,1,0,7,1,351,31.9
Alabama A&M (SWAC),11,4-7,47,42,1,0,9,0,353,32.1
Stony Brook (CAA),11,2-9,46,44,0,0,11,1,355,32.3
Charleston So. (Big South),10,2-8,40,37,1,0,16,0,327,32.7
Indiana St. (MVFC),11,2-9,49,48,0,0,6,0,360,32.7
Grambling (SWAC),11,3-8,48,39,2,0,10,1,363,33.0
UAlbany (CAA),11,3-8,50,44,2,0,7,0,369,33.5
Monmouth (CAA),11,5-6,50,47,3,0,8,0,377,34.3
Robert Morris (Big South),11,0-11,49,45,0,0,12,1,377,34.3
Kennesaw St. (ASUN),11,5-6,49,42,2,0,15,0,385,35.0
Brown (Ivy League),10,3-7,46,45,0,0,10,0,351,35.1
Eastern Ky. (ASUN),12,7-5,54,51,4,0,13,0,422,35.2
Nicholls (Southland),11,3-8,52,48,2,0,8,0,388,35.3
Ark.-Pine Bluff (SWAC),11,3-8,52,51,1,0,8,0,389,35.4
Fordham (Patriot),12,9-3,58,52,2,0,10,0,434,36.2
VMI (SoCon),11,1-10,51,46,1,0,15,0,399,36.3
Georgetown (Patriot),11,2-9,52,46,2,0,13,0,401,36.5
Portland St. (Big Sky),11,4-7,56,52,1,0,3,1,401,36.5
Idaho St. (Big Sky),11,1-10,52,51,0,0,13,0,402,36.5
Houston Christian (Southland),11,2-9,53,48,0,0,13,0,405,36.8
Murray St. (OVC),11,2-9,52,49,1,0,14,0,405,36.8
Morehead St. (Pioneer),11,2-9,56,53,0,0,5,1,406,36.9
Northern Colo. (Big Sky),11,3-8,52,49,0,0,17,0,412,37.5
Lamar University (Southland),11,1-10,57,52,0,0,7,0,415,37.7
LIU (NEC),11,4-7,55,51,0,0,12,0,417,37.9
Northwestern St. (Southland),11,4-7,54,47,1,0,14,1,417,37.9
Western Ill. (MVFC),11,0-11,56,50,2,0,12,0,426,38.7
Bethune-Cookman (SWAC),11,2-9,57,54,0,0,10,4,434,39.5
Norfolk St. (MEAC),11,2-9,61,60,0,0,6,0,444,40.4
North Ala. (ASUN),11,1-10,58,55,1,0,16,2,457,41.5
Wagner (NEC),11,1-10,62,56,0,0,11,1,463,42.1
Eastern Wash. (Big Sky),11,3-8,63,61,0,0,9,0,466,42.4
Cal Poly (Big Sky),11,2-9,62,59,0,0,12,0,467,42.5
Presbyterian (Pioneer),11,1-10,65,62,1,0,5,0,469,42.6
St. Thomas (MN) (Pioneer),11,10-1,23,19,1,0,10,0,189,17.2
Tex. A&M-Commerce (Southland),11,5-6,27,23,1,0,10,1,219,19.9
Merrimack (NEC),11,8-3,29,28,0,0,15,2,251,22.8
Stonehill (NEC),9,4-5,26,21,0,0,10,0,207,23.0
Tarleton St. (WAC),11,6-5,38,34,1,0,14,0,306,27.8
Lindenwood (OVC),10,7-3,42,38,1,0,10,0,322,32.2
Utah Tech (WAC),11,4-7,47,46,0,0,18,2,386,35.1
