Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
North Carolina (ACC),13,7-6,893,4851,5.43,37,38,373.2
Fla. Atlantic (C-USA),14,11-3,979,5239,5.35,40,41,374.2
Tulane (AAC),13,7-6,892,4901,5.49,41,43,377.0
Colorado St. (Mountain West),12,4-8,811,4529,5.58,42,47,377.4
Louisiana Tech (C-USA),13,10-3,941,4910,5.22,33,35,377.7
Temple (AAC),13,8-5,996,4912,4.93,40,43,377.8
Ga. Southern (Sun Belt),13,7-6,871,4929,5.66,46,47,379.2
Duke (ACC),12,5-7,852,4555,5.35,40,43,379.6
Marshall (C-USA),13,8-5,891,4935,5.54,39,41,379.6
Rice (C-USA),12,3-9,764,4563,5.97,37,40,380.3
Charlotte (C-USA),13,7-6,824,4952,6.01,50,56,380.9
Miami (OH) (MAC),14,8-6,1014,5347,5.27,50,52,381.9
Memphis (AAC),14,12-2,999,5369,5.37,42,45,383.5
Coastal Carolina (Sun Belt),12,5-7,761,4603,6.05,48,50,383.6
NIU (MAC),12,5-7,763,4638,6.08,43,43,386.5
Nebraska (Big Ten),12,5-7,832,4666,5.61,39,41,388.8
California (Pac-12),13,8-5,945,5076,5.37,32,32,390.5
South Carolina (SEC),12,4-8,854,4719,5.53,32,37,393.3
Arizona St. (Pac-12),13,8-5,928,5113,5.51,39,39,393.3
BYU (FBS Independent),13,7-6,914,5116,5.6,36,40,393.5
FIU (C-USA),13,6-7,898,5117,5.7,42,43,393.6
Tulsa (AAC),12,4-8,835,4737,5.67,43,48,394.8
South Fla. (AAC),12,4-8,887,4777,5.39,42,45,398.1
NC State (ACC),12,4-8,857,4787,5.59,45,46,398.9
Mississippi St. (SEC),13,6-7,824,5189,6.3,47,49,399.2
West Virginia (Big 12),12,5-7,874,4792,5.48,40,43,399.3
Nevada (Mountain West),13,7-6,857,5201,6.07,49,52,400.1
Ohio (MAC),13,7-6,882,5248,5.95,42,43,403.7
Illinois (Big Ten),13,6-7,949,5310,5.6,40,41,408.5
Southern California (Pac-12),13,8-5,928,5313,5.73,43,47,408.7
South Alabama (Sun Belt),12,2-10,850,4905,5.77,39,44,408.8
Liberty (FBS Independent),13,8-5,926,5319,5.74,45,46,409.2
North Texas (C-USA),12,4-8,860,4931,5.73,45,50,410.9
Oklahoma St. (Big 12),13,8-5,926,5360,5.79,41,43,412.3
Akron (MAC),12,0-12,871,4967,5.7,51,56,413.9
Wake Forest (ACC),13,8-5,936,5414,5.78,42,47,416.5
Ole Miss (SEC),12,4-8,859,5001,5.82,36,39,416.8
Texas St. (Sun Belt),12,3-9,875,5005,5.72,49,51,417.1
Western Mich. (MAC),13,7-6,932,5456,5.85,39,40,419.7
Fresno St. (Mountain West),12,4-8,879,5037,5.73,44,46,419.8
Georgia Tech (ACC),12,3-9,870,5075,5.83,45,49,422.9
Florida St. (ACC),13,6-7,1039,5514,5.31,37,40,424.2
Ball St. (MAC),12,5-7,876,5096,5.82,45,47,424.7
UTSA (C-USA),12,4-8,790,5149,6.52,49,51,429.1
Stanford (Pac-12),12,4-8,819,5163,6.3,44,45,430.3
Eastern Mich. (MAC),13,6-7,922,5596,6.07,51,52,430.5
UTEP (C-USA),12,1-11,765,5170,6.76,52,54,430.8
Hawaii (Mountain West),15,10-5,1029,6470,6.29,60,61,431.3
Texas (Big 12),13,8-5,918,5609,6.11,41,42,431.5
Rutgers (Big Ten),12,2-10,837,5203,6.22,54,59,433.6
Troy (Sun Belt),12,5-7,840,5210,6.2,50,53,434.2
Purdue (Big Ten),12,4-8,869,5235,6.02,45,46,436.3
Vanderbilt (SEC),12,3-9,798,5239,6.57,48,50,436.6
Louisville (ACC),13,8-5,904,5719,6.33,58,58,439.9
Utah St. (Mountain West),13,7-6,1016,5727,5.64,49,53,440.5
Colorado (Pac-12),12,5-7,815,5303,6.51,49,50,441.9
UNLV (Mountain West),12,4-8,848,5308,6.26,44,49,442.3
San Jose St. (Mountain West),12,5-7,918,5325,5.8,46,49,443.8
SMU (AAC),13,10-3,1004,5785,5.76,50,53,445.0
Oregon St. (Pac-12),12,5-7,884,5348,6.05,49,52,445.7
Maryland (Big Ten),12,3-9,906,5390,5.95,50,53,449.2
Arkansas (SEC),12,2-10,827,5408,6.54,54,57,450.7
Washington St. (Pac-12),13,6-7,886,5882,6.64,50,53,452.5
Georgia St. (Sun Belt),13,7-6,886,5922,6.68,60,62,455.5
UCLA (Pac-12),12,4-8,816,5475,6.71,53,55,456.3
Middle Tenn. (C-USA),12,4-8,888,5512,6.21,42,43,459.3
Syracuse (ACC),12,5-7,918,5569,6.07,47,47,464.1
UConn (AAC),12,2-10,800,5602,7.0,62,67,466.8
Bowling Green (MAC),12,3-9,798,5606,7.03,60,62,467.2
Houston (AAC),12,4-8,824,5610,6.81,53,54,467.5
East Carolina (AAC),12,4-8,864,5632,6.52,52,53,469.3
Arizona (Pac-12),12,4-8,889,5657,6.36,53,54,471.4
Kent St. (MAC),13,7-6,974,6155,6.32,52,52,473.5
Kansas (Big 12),12,3-9,927,5702,6.15,54,56,475.2
Toledo (MAC),12,6-6,862,5708,6.62,50,50,475.7
Arkansas St. (Sun Belt),13,8-5,1018,6218,6.11,55,56,478.3
Boston College (ACC),13,6-7,983,6223,6.33,48,49,478.7
New Mexico St. (FBS Independent),12,2-10,875,5759,6.58,56,61,479.9
Texas Tech (Big 12),12,4-8,874,5764,6.59,45,46,480.3
ULM (Sun Belt),12,5-7,865,5802,6.71,56,61,483.5
New Mexico (Mountain West),12,2-10,868,5828,6.71,56,59,485.7
Massachusetts (FBS Independent),12,1-11,867,6734,7.77,82,86,561.2
