Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Colorado St. (Mountain West),12,4-8,495,2350,4.75,23,195.8
UTSA (C-USA),12,4-8,451,2379,5.27,28,198.3
FIU (C-USA),13,6-7,514,2582,5.02,26,198.6
Rutgers (Big Ten),12,2-10,494,2413,4.88,29,201.1
UTEP (C-USA),12,1-11,431,2415,5.6,25,201.3
Syracuse (ACC),12,5-7,493,2419,4.91,26,201.6
Utah St. (Mountain West),13,7-6,611,2625,4.3,29,201.9
Hawaii (Mountain West),15,10-5,545,3042,5.58,37,202.8
Louisville (ACC),13,8-5,498,2675,5.37,27,205.8
East Carolina (AAC),12,4-8,493,2493,5.06,28,207.8
South Fla. (AAC),12,4-8,562,2503,4.45,27,208.6
Vanderbilt (SEC),12,3-9,473,2505,5.3,25,208.8
Akron (MAC),12,0-12,566,2562,4.53,28,213.5
Georgia Tech (ACC),12,3-9,539,2583,4.79,27,215.3
Arkansas St. (Sun Belt),13,8-5,557,2801,5.03,32,215.5
Georgia St. (Sun Belt),13,7-6,524,2829,5.4,33,217.6
Texas St. (Sun Belt),12,3-9,551,2614,4.74,25,217.8
Toledo (MAC),12,6-6,483,2621,5.43,31,218.4
Arkansas (SEC),12,2-10,486,2658,5.47,29,221.5
UConn (AAC),12,2-10,457,2683,5.87,34,223.6
Kansas (Big 12),12,3-9,551,2708,4.91,32,225.7
San Jose St. (Mountain West),12,5-7,578,2785,4.82,30,232.1
Bowling Green (MAC),12,3-9,501,2914,5.82,36,242.8
Kent St. (MAC),13,7-6,625,3181,5.09,34,244.7
ULM (Sun Belt),12,5-7,529,3032,5.73,31,252.7
New Mexico St. (FBS Independent),12,2-10,513,3110,6.06,35,259.2
Massachusetts (FBS Independent),12,1-11,549,3589,6.54,50,299.1
