Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
UConn (AAC),12,2-10,74,618,51.5
Akron (MAC),12,0-12,80,626,52.17
Kansas St. (Big 12),13,8-5,77,679,52.23
NC State (ACC),12,4-8,71,627,52.25
Marshall (CUSA),13,8-5,75,680,52.31
Tennessee (SEC),13,8-5,83,683,52.54
Fresno St. (Mountain West),12,4-8,75,634,52.83
Ball St. (MAC),12,5-7,71,636,53.0
Michigan St. (Big Ten),13,7-6,75,700,53.85
North Carolina (ACC),13,7-6,80,701,53.92
Vanderbilt (SEC),12,3-9,76,649,54.08
South Carolina (SEC),12,4-8,79,656,54.67
Ohio St. (Big Ten),14,13-1,81,770,55.0
Auburn (SEC),13,9-4,92,718,55.23
UCLA (Pac-12),12,4-8,81,663,55.25
Texas A&M (SEC),13,8-5,87,720,55.38
Baylor (Big 12),14,11-3,91,778,55.57
North Texas (CUSA),12,4-8,64,672,56.0
Arizona (Pac-12),12,4-8,76,677,56.42
SMU (AAC),13,10-3,83,743,57.15
Southern Miss. (CUSA),13,7-6,82,748,57.54
FIU (CUSA),13,6-7,79,751,57.77
Texas Tech (Big 12),12,4-8,75,695,57.92
Louisiana (Sun Belt),14,11-3,98,817,58.36
Western Mich. (MAC),13,7-6,82,759,58.38
Oregon St. (Pac-12),12,5-7,78,701,58.42
Rutgers (Big Ten),12,2-10,76,709,59.08
Bowling Green (MAC),12,3-9,84,710,59.17
Nevada (Mountain West),13,7-6,96,772,59.38
Kent St. (MAC),13,7-6,80,772,59.38
Memphis (AAC),14,12-2,103,839,59.93
Louisville (ACC),13,8-5,93,780,60.0
Miami (FL) (ACC),13,6-7,91,782,60.15
Old Dominion (CUSA),12,1-11,71,724,60.33
Colorado (Pac-12),12,5-7,85,726,60.5
New Mexico (Mountain West),12,2-10,81,729,60.75
Fla. Atlantic (CUSA),14,11-3,95,852,60.86
Washington St. (Pac-12),13,6-7,85,794,61.08
Hawaii (Mountain West),15,10-5,103,918,61.2
Illinois (Big Ten),13,6-7,87,797,61.31
TCU (Big 12),12,5-7,78,736,61.33
UTEP (CUSA),12,1-11,80,738,61.5
Utah (Pac-12),14,11-3,103,862,61.57
Oregon (Pac-12),14,12-2,85,862,61.57
Temple (AAC),13,8-5,92,801,61.62
Liberty (FBS Independent),13,8-5,88,801,61.62
LSU (SEC),15,15-0,93,936,62.4
Arizona St. (Pac-12),13,8-5,85,818,62.92
ULM (Sun Belt),12,5-7,95,764,63.67
Massachusetts (FBS Independent),12,1-11,83,764,63.67
Indiana (Big Ten),13,8-5,88,830,63.85
App State (Sun Belt),14,13-1,95,899,64.21
Colorado St. (Mountain West),12,4-8,80,785,65.42
Alabama (SEC),13,11-2,95,855,65.77
Central Mich. (MAC),14,8-6,118,925,66.07
Missouri (SEC),12,6-6,83,808,67.33
Southern California (Pac-12),13,8-5,90,877,67.46
Tulane (AAC),13,7-6,103,883,67.92
Pittsburgh (ACC),13,8-5,102,888,68.31
Texas (Big 12),13,8-5,95,890,68.46
UTSA (CUSA),12,4-8,89,829,69.08
Cincinnati (AAC),14,11-3,123,977,69.79
Arkansas St. (Sun Belt),13,8-5,99,916,70.46
UAB (CUSA),14,9-5,101,992,70.86
South Fla. (AAC),12,4-8,101,854,71.17
UCF (AAC),13,10-3,111,952,73.23
Florida St. (ACC),13,6-7,119,953,73.31
Syracuse (ACC),12,5-7,107,887,73.92
Oklahoma (Big 12),14,12-2,101,1038,74.14
Tulsa (AAC),12,4-8,109,949,79.08
