Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Arizona St. (Pac-12),13,8-5,187,72,0.385
Texas Tech (Big 12),12,4-8,178,68,0.382
San Diego St. (Mountain West),13,10-3,207,79,0.382
Rice (C-USA),12,3-9,173,66,0.382
Iowa St. (Big 12),13,7-6,168,64,0.381
Syracuse (ACC),12,5-7,205,78,0.38
FIU (C-USA),13,6-7,184,70,0.38
Toledo (MAC),12,6-6,171,65,0.38
Temple (AAC),13,8-5,201,76,0.378
Fresno St. (Mountain West),12,4-8,146,55,0.377
California (Pac-12),13,8-5,173,65,0.376
Nevada (Mountain West),13,7-6,205,76,0.371
North Texas (C-USA),12,4-8,173,64,0.37
Ole Miss (SEC),12,4-8,182,67,0.368
New Mexico (Mountain West),12,2-10,169,62,0.367
Missouri (SEC),12,6-6,181,66,0.365
Michigan St. (Big Ten),13,7-6,192,70,0.365
UTSA (C-USA),12,4-8,182,66,0.363
Northwestern (Big Ten),12,3-9,193,69,0.358
Washington (Pac-12),13,8-5,171,61,0.357
Florida St. (ACC),13,6-7,191,68,0.356
NC State (ACC),12,4-8,183,65,0.355
Illinois (Big Ten),13,6-7,181,64,0.354
UTEP (C-USA),12,1-11,162,57,0.352
Middle Tenn. (C-USA),12,4-8,148,52,0.351
Houston (AAC),12,4-8,155,54,0.348
West Virginia (Big 12),12,5-7,179,62,0.346
Massachusetts (FBS Independent),12,1-11,191,66,0.346
Rutgers (Big Ten),12,2-10,177,61,0.345
Texas St. (Sun Belt),12,3-9,170,58,0.341
Miami (OH) (MAC),14,8-6,201,67,0.333
Arkansas (SEC),12,2-10,165,55,0.333
Duke (ACC),12,5-7,193,64,0.332
Bowling Green (MAC),12,3-9,184,61,0.332
NIU (MAC),12,5-7,177,57,0.322
New Mexico St. (FBS Independent),12,2-10,171,55,0.322
Maryland (Big Ten),12,3-9,168,54,0.321
South Carolina (SEC),12,4-8,184,59,0.321
UAB (C-USA),14,9-5,182,57,0.313
Old Dominion (C-USA),12,1-11,183,57,0.311
Ga. Southern (Sun Belt),13,7-6,166,51,0.307
South Alabama (Sun Belt),12,2-10,167,51,0.305
Georgia Tech (ACC),12,3-9,163,49,0.301
Vanderbilt (SEC),12,3-9,166,49,0.295
UConn (AAC),12,2-10,163,48,0.294
UNLV (Mountain West),12,4-8,168,48,0.286
Miami (FL) (ACC),13,6-7,162,44,0.272
Akron (MAC),12,0-12,163,43,0.264
