Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Minnesota (Big Ten),13,11-2,883,5616,6.36,56,432.0
Notre Dame (FBS Independent),13,11-2,886,5608,6.33,57,431.4
Utah St. (Mountain West),13,7-6,965,5607,5.81,40,431.3
Florida (SEC),13,11-2,865,5597,6.47,54,430.5
East Carolina (AAC),12,4-8,900,5162,5.74,34,430.2
Boston College (ACC),13,6-7,964,5579,5.79,47,429.2
Utah (Pac-12),14,11-3,912,6006,6.59,54,429.0
Boise St. (Mountain West),14,12-2,993,6006,6.05,58,429.0
San Jose St. (Mountain West),12,5-7,805,5129,6.37,43,427.4
Air Force (Mountain West),13,11-2,881,5483,6.22,55,421.8
Baylor (Big 12),14,11-3,948,5901,6.22,59,421.5
Tulsa (AAC),12,4-8,947,5036,5.32,38,419.7
North Texas (C-USA),12,4-8,850,5023,5.91,44,418.6
Nebraska (Big Ten),12,5-7,867,4990,5.76,39,415.8
Charlotte (C-USA),13,7-6,848,5388,6.35,50,414.5
Penn St. (Big Ten),13,11-2,885,5355,6.05,59,411.9
Oregon St. (Pac-12),12,5-7,830,4941,5.95,51,411.8
Middle Tenn. (C-USA),12,4-8,771,4900,6.36,40,408.3
Florida St. (ACC),13,6-7,909,5308,5.84,48,408.3
Georgia (SEC),14,12-2,940,5713,6.08,47,408.1
TCU (Big 12),12,5-7,905,4892,5.41,38,407.7
Southern Miss. (C-USA),13,7-6,872,5291,6.07,37,407.0
Auburn (SEC),13,9-4,947,5285,5.58,51,406.5
UCLA (Pac-12),12,4-8,916,4868,5.31,40,405.7
Kent St. (MAC),13,7-6,905,5273,5.83,41,405.6
Eastern Mich. (MAC),13,6-7,883,5271,5.97,48,405.5
Michigan (Big Ten),13,9-4,905,5220,5.77,51,401.5
New Mexico (Mountain West),12,2-10,832,4803,5.77,33,400.3
Mississippi St. (SEC),13,6-7,844,5201,6.16,46,400.1
Syracuse (ACC),12,5-7,909,4735,5.21,39,394.6
Texas A&M (SEC),13,8-5,881,5128,5.82,46,394.5
Marshall (C-USA),13,8-5,887,5119,5.77,37,393.8
Coastal Carolina (Sun Belt),12,5-7,854,4725,5.53,45,393.8
Purdue (Big Ten),12,4-8,862,4718,5.47,38,393.2
Kentucky (SEC),13,8-5,830,5102,6.15,45,392.5
Temple (AAC),13,8-5,951,5096,5.36,42,392.0
Houston (AAC),12,4-8,780,4698,6.02,39,391.5
Washington (Pac-12),13,8-5,872,5086,5.83,48,391.2
Cincinnati (AAC),14,11-3,993,5464,5.5,49,390.3
Virginia (ACC),14,9-5,962,5445,5.66,51,388.9
Buffalo (MAC),13,8-5,937,5051,5.39,50,388.5
Colorado (Pac-12),12,5-7,847,4662,5.5,32,388.5
Western Ky. (C-USA),13,9-4,900,5041,5.6,38,387.8
Fresno St. (Mountain West),12,4-8,767,4632,6.04,44,386.0
Virginia Tech (ACC),13,8-5,883,5007,5.67,46,385.2
Pittsburgh (ACC),13,8-5,954,4946,5.18,28,380.5
NC State (ACC),12,4-8,881,4563,5.18,28,380.3
Army West Point (FBS Independent),13,5-8,869,4929,5.67,51,379.2
Kansas (Big 12),12,3-9,773,4527,5.86,35,377.3
FIU (C-USA),13,6-7,877,4902,5.59,37,377.1
UNLV (Mountain West),12,4-8,831,4492,5.41,37,374.3
Missouri (SEC),12,6-6,852,4491,5.27,31,374.3
Arizona St. (Pac-12),13,8-5,842,4837,5.74,34,372.1
Michigan St. (Big Ten),13,7-6,932,4835,5.19,29,371.9
South Carolina (SEC),12,4-8,862,4463,5.18,30,371.9
Stanford (Pac-12),12,4-8,790,4415,5.59,26,367.9
Miami (FL) (ACC),13,6-7,844,4774,5.66,43,367.2
Iowa (Big Ten),13,10-3,864,4765,5.52,33,366.5
Tennessee (SEC),13,8-5,821,4752,5.79,32,365.5
Nevada (Mountain West),13,7-6,946,4749,5.02,30,365.3
New Mexico St. (FBS Independent),12,2-10,832,4333,5.21,31,361.1
Kansas St. (Big 12),13,8-5,841,4666,5.55,41,358.9
NIU (MAC),12,5-7,824,4304,5.22,29,358.7
UAB (C-USA),14,9-5,896,4926,5.5,36,351.9
Wyoming (Mountain West),13,8-5,831,4562,5.49,38,350.9
UTSA (C-USA),12,4-8,819,4139,5.05,28,344.9
UConn (AAC),12,2-10,810,4136,5.11,27,344.7
Maryland (Big Ten),12,3-9,767,4121,5.37,39,343.4
San Diego St. (Mountain West),13,10-3,933,4461,4.78,27,343.2
Arkansas (SEC),12,2-10,783,4081,5.21,28,340.1
South Fla. (AAC),12,4-8,773,3970,5.14,33,330.8
South Alabama (Sun Belt),12,2-10,791,3963,5.01,29,330.3
Duke (ACC),12,5-7,873,3956,4.53,34,329.7
Illinois (Big Ten),13,6-7,857,4283,5.0,38,329.5
UTEP (C-USA),12,1-11,768,3950,5.14,27,329.2
California (Pac-12),13,8-5,841,4271,5.08,35,328.5
Ga. Southern (Sun Belt),13,7-6,821,4260,5.19,38,327.7
West Virginia (Big 12),12,5-7,788,3863,4.9,28,321.9
Bowling Green (MAC),12,3-9,839,3829,4.56,24,319.1
Texas St. (Sun Belt),12,3-9,768,3814,4.97,25,317.8
Miami (OH) (MAC),14,8-6,870,4328,4.97,33,309.1
Vanderbilt (SEC),12,3-9,744,3592,4.83,21,299.3
Northwestern (Big Ten),12,3-9,842,3565,4.23,23,297.1
Rice (C-USA),12,3-9,753,3530,4.69,27,294.2
Massachusetts (FBS Independent),12,1-11,822,3517,4.28,29,293.1
Georgia Tech (ACC),12,3-9,717,3436,4.79,26,286.3
Old Dominion (C-USA),12,1-11,810,3285,4.06,21,273.8
Rutgers (Big Ten),12,2-10,735,3277,4.46,18,273.1
Akron (MAC),12,0-12,725,2918,4.02,14,243.2
