Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Miami (FL) (ACC),13,6-7,393:04,30:14
Colorado St. (Mountain West),12,4-8,362:47,30:13
Washington (Pac-12),13,8-5,391:30,30:06
Toledo (MAC),12,6-6,360:42,30:03
Northwestern (Big Ten),12,3-9,360:36,30:03
Louisiana (Sun Belt),14,11-3,420:39,30:02
Rutgers (Big Ten),12,2-10,360:27,30:02
UNLV (Mountain West),12,4-8,360:14,30:01
Alabama (SEC),13,11-2,389:58,29:59
New Mexico (Mountain West),12,2-10,359:06,29:55
Missouri (SEC),12,6-6,358:49,29:54
Auburn (SEC),13,9-4,385:10,29:37
Georgia St. (Sun Belt),13,7-6,385:00,29:36
East Carolina (AAC),12,4-8,354:48,29:34
Michigan (Big Ten),13,9-4,383:52,29:31
ULM (Sun Belt),12,5-7,353:03,29:25
Tennessee (SEC),13,8-5,381:44,29:21
California (Pac-12),13,8-5,381:44,29:21
Washington St. (Pac-12),13,6-7,381:23,29:20
NC State (ACC),12,4-8,352:00,29:20
UTSA (C-USA),12,4-8,351:59,29:19
Bowling Green (MAC),12,3-9,351:54,29:19
Syracuse (ACC),12,5-7,351:50,29:19
Temple (AAC),13,8-5,380:22,29:15
Arizona St. (Pac-12),13,8-5,379:57,29:13
Vanderbilt (SEC),12,3-9,350:01,29:10
Fresno St. (Mountain West),12,4-8,348:25,29:02
Duke (ACC),12,5-7,348:18,29:01
FIU (C-USA),13,6-7,376:34,28:58
Fla. Atlantic (C-USA),14,11-3,405:07,28:56
Nebraska (Big Ten),12,5-7,346:53,28:54
Southern California (Pac-12),13,8-5,375:23,28:52
SMU (AAC),13,10-3,375:20,28:52
Oklahoma St. (Big 12),13,8-5,374:59,28:50
Notre Dame (FBS Independent),13,11-2,372:59,28:41
Troy (Sun Belt),12,5-7,343:05,28:35
South Alabama (Sun Belt),12,2-10,342:36,28:33
Eastern Mich. (MAC),13,6-7,371:03,28:32
Oregon St. (Pac-12),12,5-7,341:32,28:27
West Virginia (Big 12),12,5-7,340:23,28:21
Baylor (Big 12),14,11-3,396:37,28:19
Oregon (Pac-12),14,12-2,395:35,28:15
Ole Miss (SEC),12,4-8,338:58,28:14
Texas Tech (Big 12),12,4-8,338:43,28:13
North Texas (C-USA),12,4-8,337:41,28:08
Miami (OH) (MAC),14,8-6,392:56,28:04
Penn St. (Big Ten),13,11-2,362:40,27:53
South Fla. (AAC),12,4-8,334:07,27:50
Boston College (ACC),13,6-7,361:32,27:48
Arkansas (SEC),12,2-10,333:26,27:47
Liberty (FBS Independent),13,8-5,360:37,27:44
Arkansas St. (Sun Belt),13,8-5,359:33,27:39
Purdue (Big Ten),12,4-8,331:10,27:35
Arizona (Pac-12),12,4-8,328:53,27:24
New Mexico St. (FBS Independent),12,2-10,326:39,27:13
South Carolina (SEC),12,4-8,324:17,27:01
Middle Tenn. (C-USA),12,4-8,323:42,26:58
Texas St. (Sun Belt),12,3-9,320:56,26:44
Kansas (Big 12),12,3-9,320:40,26:43
Georgia Tech (ACC),12,3-9,320:31,26:42
Akron (MAC),12,0-12,317:52,26:29
UCF (AAC),13,10-3,344:14,26:28
San Jose St. (Mountain West),12,5-7,317:20,26:26
Florida St. (ACC),13,6-7,341:19,26:15
Massachusetts (FBS Independent),12,1-11,314:59,26:14
Kent St. (MAC),13,7-6,340:06,26:09
Illinois (Big Ten),13,6-7,338:27,26:02
Maryland (Big Ten),12,3-9,309:04,25:45
Utah St. (Mountain West),13,7-6,324:53,24:59
