Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
LSU (SEC),15,15-0,15,31,0.484
Memphis (AAC),14,12-2,15,31,0.484
Louisiana Tech (CUSA),13,10-3,15,31,0.484
Temple (AAC),13,8-5,18,36,0.5
North Texas (CUSA),12,4-8,10,20,0.5
Army West Point (FBS Independent),13,5-8,12,24,0.5
Western Ky. (CUSA),13,9-4,18,36,0.5
Kansas (Big 12),12,3-9,8,16,0.5
North Carolina (ACC),13,7-6,8,16,0.5
Miami (OH) (MAC),14,8-6,15,29,0.517
Virginia (ACC),14,9-5,13,25,0.52
Indiana (Big Ten),13,8-5,12,23,0.522
ULM (Sun Belt),12,5-7,11,21,0.524
Duke (ACC),12,5-7,11,21,0.524
Florida St. (ACC),13,6-7,11,21,0.524
Rutgers (Big Ten),12,2-10,11,21,0.524
UTSA (CUSA),12,4-8,10,19,0.526
Southern California (Pac-12),13,8-5,10,19,0.526
Mississippi St. (SEC),13,6-7,9,17,0.529
Troy (Sun Belt),12,5-7,9,17,0.529
Ga. Southern (Sun Belt),13,7-6,17,32,0.531
Texas Tech (Big 12),12,4-8,8,15,0.533
Iowa St. (Big 12),13,7-6,8,15,0.533
Akron (MAC),12,0-12,8,15,0.533
Tulane (AAC),13,7-6,14,26,0.538
Colorado (Pac-12),12,5-7,7,13,0.538
Navy (AAC),13,11-2,14,26,0.538
Georgia St. (Sun Belt),13,7-6,13,24,0.542
Arizona St. (Pac-12),13,8-5,13,24,0.542
Utah (Pac-12),14,11-3,12,22,0.545
South Fla. (AAC),12,4-8,10,18,0.556
Pittsburgh (ACC),13,8-5,10,18,0.556
Arkansas St. (Sun Belt),13,8-5,20,36,0.556
Fresno St. (Mountain West),12,4-8,15,27,0.556
Minnesota (Big Ten),13,11-2,10,18,0.556
Arkansas (SEC),12,2-10,9,16,0.563
Washington St. (Pac-12),13,6-7,13,23,0.565
East Carolina (AAC),12,4-8,13,23,0.565
Houston (AAC),12,4-8,13,23,0.565
Virginia Tech (ACC),13,8-5,17,30,0.567
California (Pac-12),13,8-5,16,28,0.571
App State (Sun Belt),14,13-1,15,26,0.577
Baylor (Big 12),14,11-3,15,26,0.577
Penn St. (Big Ten),13,11-2,15,26,0.577
Ohio (MAC),13,7-6,11,19,0.579
Middle Tenn. (CUSA),12,4-8,17,29,0.586
South Alabama (Sun Belt),12,2-10,10,17,0.588
Michigan (Big Ten),13,9-4,13,22,0.591
Texas St. (Sun Belt),12,3-9,9,15,0.6
Rice (CUSA),12,3-9,9,15,0.6
Nevada (Mountain West),13,7-6,15,25,0.6
FIU (CUSA),13,6-7,12,20,0.6
West Virginia (Big 12),12,5-7,12,20,0.6
Ole Miss (SEC),12,4-8,12,20,0.6
Washington (Pac-12),13,8-5,14,23,0.609
Purdue (Big Ten),12,4-8,11,18,0.611
Massachusetts (FBS Independent),12,1-11,11,18,0.611
San Jose St. (Mountain West),12,5-7,16,26,0.615
Wake Forest (ACC),13,8-5,15,24,0.625
Stanford (Pac-12),12,4-8,10,16,0.625
Illinois (Big Ten),13,6-7,14,22,0.636
UCF (AAC),13,10-3,16,25,0.64
Texas A&M (SEC),13,8-5,9,14,0.643
New Mexico (Mountain West),12,2-10,14,21,0.667
Tulsa (AAC),12,4-8,21,31,0.677
Colorado St. (Mountain West),12,4-8,15,22,0.682
Boston College (ACC),13,6-7,15,22,0.682
Georgia Tech (ACC),12,3-9,13,19,0.684
Southern Miss. (CUSA),13,7-6,11,16,0.688
Kent St. (MAC),13,7-6,16,23,0.696
Coastal Carolina (Sun Belt),12,5-7,12,17,0.706
Miami (FL) (ACC),13,6-7,12,17,0.706
New Mexico St. (FBS Independent),12,2-10,8,11,0.727
Eastern Mich. (MAC),13,6-7,15,20,0.75
NC State (ACC),12,4-8,9,12,0.75
Oregon St. (Pac-12),12,5-7,21,27,0.778
Charlotte (CUSA),13,7-6,15,19,0.789
UTEP (CUSA),12,1-11,9,10,0.9
