Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Marshall (C-USA),13,8-5,25,182,1.92
Michigan (Big Ten),13,9-4,25,207,1.92
Kansas St. (Big 12),13,8-5,25,128,1.92
Florida (SEC),13,11-2,25,178,1.92
Memphis (AAC),14,12-2,27,170,1.93
Boise St. (Mountain West),14,12-2,27,167,1.93
Oklahoma St. (Big 12),13,8-5,26,157,2.0
NIU (MAC),12,5-7,24,184,2.0
Fla. Atlantic (C-USA),14,11-3,28,218,2.0
Ga. Southern (Sun Belt),13,7-6,27,135,2.08
Indiana (Big Ten),13,8-5,27,148,2.08
Oregon St. (Pac-12),12,5-7,25,177,2.08
South Carolina (SEC),12,4-8,25,166,2.08
Tulane (AAC),13,7-6,28,186,2.15
Southern California (Pac-12),13,8-5,28,192,2.15
Liberty (FBS Independent),13,8-5,28,199,2.15
Rutgers (Big Ten),12,2-10,26,148,2.17
North Texas (C-USA),12,4-8,26,178,2.17
Miami (OH) (MAC),14,8-6,31,183,2.21
BYU (FBS Independent),13,7-6,29,174,2.23
Louisiana Tech (C-USA),13,10-3,29,164,2.23
Virginia Tech (ACC),13,8-5,29,202,2.23
Pittsburgh (ACC),13,8-5,29,212,2.23
Colorado St. (Mountain West),12,4-8,27,180,2.25
Missouri (SEC),12,6-6,27,170,2.25
Troy (Sun Belt),12,5-7,27,155,2.25
Massachusetts (FBS Independent),12,1-11,27,174,2.25
Minnesota (Big Ten),13,11-2,30,185,2.31
LSU (SEC),15,15-0,35,221,2.33
Vanderbilt (SEC),12,3-9,28,179,2.33
Purdue (Big Ten),12,4-8,28,212,2.33
Nebraska (Big Ten),12,5-7,28,168,2.33
South Alabama (Sun Belt),12,2-10,28,166,2.33
Georgia Tech (ACC),12,3-9,28,182,2.33
Duke (ACC),12,5-7,28,140,2.33
Mississippi St. (SEC),13,6-7,31,193,2.38
Stanford (Pac-12),12,4-8,29,142,2.42
Toledo (MAC),12,6-6,29,173,2.42
UNLV (Mountain West),12,4-8,29,169,2.42
Ball St. (MAC),12,5-7,29,167,2.42
Penn St. (Big Ten),13,11-2,32,179,2.46
Texas St. (Sun Belt),12,3-9,30,207,2.5
Cincinnati (AAC),14,11-3,35,234,2.5
Ohio St. (Big Ten),14,13-1,35,224,2.5
TCU (Big 12),12,5-7,30,192,2.5
Arizona St. (Pac-12),13,8-5,33,182,2.54
Nevada (Mountain West),13,7-6,33,220,2.54
New Mexico St. (FBS Independent),12,2-10,31,202,2.58
UTSA (C-USA),12,4-8,31,158,2.58
Texas A&M (SEC),13,8-5,34,200,2.62
Baylor (Big 12),14,11-3,38,234,2.71
UConn (AAC),12,2-10,33,202,2.75
Arizona (Pac-12),12,4-8,33,191,2.75
Texas (Big 12),13,8-5,36,199,2.77
Rice (C-USA),12,3-9,34,189,2.83
North Carolina (ACC),13,7-6,37,227,2.85
Houston (AAC),12,4-8,35,199,2.92
UTEP (C-USA),12,1-11,35,262,2.92
Virginia (ACC),14,9-5,41,238,2.93
Louisville (ACC),13,8-5,39,220,3.0
Illinois (Big Ten),13,6-7,39,288,3.0
Arkansas St. (Sun Belt),13,8-5,40,217,3.08
UCLA (Pac-12),12,4-8,37,316,3.08
Kent St. (MAC),13,7-6,41,206,3.15
Maryland (Big Ten),12,3-9,38,262,3.17
Tulsa (AAC),12,4-8,39,242,3.25
California (Pac-12),13,8-5,47,277,3.62
Florida St. (ACC),13,6-7,48,295,3.69
South Fla. (AAC),12,4-8,45,246,3.75
Miami (FL) (ACC),13,6-7,51,316,3.92
Syracuse (ACC),12,5-7,50,297,4.17
Old Dominion (C-USA),12,1-11,52,283,4.33
Akron (MAC),12,0-12,58,319,4.83
