Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
UC Davis (Big Sky),12,5-7,42,11,9,15,35,0.833
San Diego (Pioneer),11,8-3,59,10,29,10,49,0.831
Central Conn. St. (NEC),12,4-8,47,15,16,8,39,0.830
Samford (SoCon),13,8-5,56,14,15,17,46,0.821
Norfolk St. (MEAC),12,3-9,28,8,7,8,23,0.821
Fordham (Patriot),14,12-2,67,23,18,14,55,0.821
Bryant (NEC),12,5-7,39,16,11,5,32,0.821
Columbia (Ivy League),10,0-10,11,3,2,4,9,0.818
Cornell (Ivy League),10,3-7,33,7,15,5,27,0.818
Alcorn (SWAC),12,9-3,55,24,11,10,45,0.818
Sacred Heart (NEC),13,10-3,55,18,12,15,45,0.818
Alabama St. (SWAC),12,8-4,49,17,12,11,40,0.816
Dayton (Pioneer),11,7-4,43,20,6,9,35,0.814
Idaho St. (Big Sky),12,3-9,48,7,19,13,39,0.813
Morgan St. (MEAC),12,5-7,37,14,8,8,30,0.811
UT Martin (OVC),12,7-5,37,13,11,6,30,0.811
New Hampshire (CAA),15,10-5,63,21,16,14,51,0.810
James Madison (CAA),12,6-6,42,12,12,10,34,0.810
Holy Cross (Patriot),12,3-9,47,15,17,6,38,0.809
Maine (CAA),13,10-3,52,16,15,11,42,0.808
Colgate (Patriot),12,4-8,41,21,10,2,33,0.805
Prairie View (SWAC),12,6-6,65,26,21,5,52,0.800
Furman (SoCon),14,8-6,40,17,1,14,32,0.800
Northwestern St. (Southland),12,6-6,40,16,7,9,32,0.800
South Dakota St. (MVFC),14,9-5,54,19,14,10,43,0.796
Missouri St. (MVFC),12,5-7,44,21,7,7,35,0.795
Delaware (CAA),12,7-5,53,21,17,4,42,0.792
Ark.-Pine Bluff (SWAC),11,2-9,48,16,15,7,38,0.792
Charlotte (FCS Independent),11,5-6,43,17,12,5,34,0.791
Montana (Big Sky),13,10-3,57,21,19,5,45,0.789
Western Caro. (SoCon),12,2-10,33,12,6,8,26,0.788
Nicholls (Southland),12,4-8,51,21,12,7,40,0.784
Sacramento St. (Big Sky),12,5-7,46,14,17,5,36,0.783
Campbell (Pioneer),12,3-9,46,23,7,6,36,0.783
Wagner (NEC),11,3-8,27,8,6,7,21,0.778
Bucknell (Patriot),11,6-5,40,15,7,9,31,0.775
Saint Francis (PA) (NEC),11,5-6,31,12,5,7,24,0.774
Towson (CAA),16,13-3,79,47,9,5,61,0.772
Presbyterian (Big South),11,3-8,35,18,8,1,27,0.771
Murray St. (OVC),12,6-6,48,14,12,11,37,0.771
UNI (MVFC),12,7-5,48,10,10,17,37,0.771
Howard (MEAC),12,6-6,52,17,11,12,40,0.769
Chattanooga (SoCon),12,8-4,43,20,9,4,33,0.767
Central Ark. (Southland),12,7-5,51,15,14,10,39,0.765
SFA (Southland),12,3-9,68,19,20,13,52,0.765
Houston Christian (FCS Independent),7,3-4,21,12,1,3,16,0.762
Bethune-Cookman (MEAC),13,10-3,58,30,8,6,44,0.759
Southern U. (SWAC),13,9-4,41,14,12,5,31,0.756
The Citadel (SoCon),12,5-7,45,26,1,7,34,0.756
Stony Brook (CAA),11,5-6,40,15,6,9,30,0.750
Elon (SoCon),12,2-10,44,11,11,11,33,0.750
Duquesne (NEC),11,7-4,36,7,8,12,27,0.750
Texas Southern (SWAC),11,2-9,31,9,4,10,23,0.742
Marist (Pioneer),11,8-3,50,17,17,3,37,0.740
N.C. A&T (MEAC),11,7-4,46,18,7,9,34,0.739
Savannah St. (MEAC),12,1-11,23,3,9,5,17,0.739
Weber St. (Big Sky),12,2-10,23,11,3,3,17,0.739
Southeast Mo. St. (OVC),12,3-9,38,12,12,4,28,0.737
UAlbany (CAA),12,1-11,38,16,3,9,28,0.737
Indiana St. (MVFC),12,1-11,30,8,10,4,22,0.733
Western Ill. (MVFC),12,4-8,37,11,13,3,27,0.730
Gardner-Webb (Big South),12,7-5,48,12,10,13,35,0.729
Tennessee St. (OVC),14,10-4,51,11,15,11,37,0.725
Valparaiso (Pioneer),11,1-10,29,8,9,4,21,0.724
Wofford (SoCon),11,5-6,36,20,1,5,26,0.722
South Dakota (MVFC),12,4-8,38,10,9,8,27,0.711
Mississippi Val. (SWAC),11,2-9,31,11,6,5,22,0.710
Drake (Pioneer),11,6-5,41,10,14,5,29,0.707
Northern Ariz. (Big Sky),12,9-3,40,9,10,9,28,0.700
Dartmouth (Ivy League),10,6-4,42,20,6,3,29,0.690
Portland St. (Big Sky),12,6-6,58,29,10,1,40,0.690
VMI (Big South),12,2-10,29,8,8,4,20,0.690
Delaware St. (MEAC),11,5-6,22,6,6,3,15,0.682
Stetson (Pioneer),11,2-9,30,6,8,6,20,0.667
Robert Morris (NEC),11,5-6,44,9,13,7,29,0.659
Northern Colo. (Big Sky),12,1-11,37,11,9,4,24,0.649
N.C. Central (MEAC),12,5-7,34,13,3,6,22,0.647
Rhode Island (CAA),12,3-9,31,8,7,5,20,0.645
Penn (Ivy League),10,4-6,39,9,13,3,25,0.641
Davidson (Pioneer),11,0-11,25,8,8,0,16,0.640
Alabama A&M (SWAC),12,4-8,38,8,10,5,23,0.605
Austin Peay (OVC),12,0-12,28,5,2,8,15,0.536
Abilene Christian (FCS Independent),11,6-5,70,22,29,10,61,0.871
UIW (FCS Independent),11,6-5,42,17,6,7,30,0.714
