Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Eastern Wash. (Big Sky),15,12-3,63,36,328,81,5.4
North Dakota St. (MVFC),15,15-0,59,44,332,81,5.4
Savannah St. (MEAC),12,1-11,48,32,196,64,5.3
Southern U. (SWAC),13,9-4,47,44,247,69,5.3
Columbia (Ivy League),10,0-10,40,26,134,53,5.3
Towson (CAA),16,13-3,68,32,318,84,5.3
Weber St. (Big Sky),12,2-10,43,40,210,63,5.3
Ark.-Pine Bluff (SWAC),11,2-9,39,36,177,57,5.2
Chattanooga (SoCon),12,8-4,52,20,209,62,5.2
Delaware (CAA),12,7-5,44,36,229,62,5.2
Fordham (Patriot),14,12-2,59,26,305,72,5.1
Coastal Carolina (Big South),15,12-3,64,26,324,77,5.1
Presbyterian (Big South),11,3-8,46,20,218,56,5.1
UC Davis (Big Sky),12,5-7,48,26,210,61,5.1
McNeese (Southland),13,10-3,54,24,265,66,5.1
Sacramento St. (Big Sky),12,5-7,40,38,224,59,4.9
Central Conn. St. (NEC),12,4-8,43,32,231,59,4.9
Northern Ariz. (Big Sky),12,9-3,48,22,234,59,4.9
Richmond (CAA),12,6-6,41,36,227,59,4.9
Missouri St. (MVFC),12,5-7,47,24,202,59,4.9
Colgate (Patriot),12,4-8,45,26,200,58,4.8
Elon (SoCon),12,2-10,47,22,188,58,4.8
Yale (Ivy League),10,5-5,35,26,177,48,4.8
The Citadel (SoCon),12,5-7,50,14,234,57,4.8
Dartmouth (Ivy League),10,6-4,35,22,205,46,4.6
Valparaiso (Pioneer),11,1-10,34,30,136,49,4.5
North Dakota (Big Sky),11,3-8,38,21,177,49,4.4
VMI (Big South),12,2-10,32,40,177,52,4.3
Davidson (Pioneer),11,0-11,35,24,166,47,4.3
Morgan St. (MEAC),12,5-7,40,22,207,51,4.3
Cornell (Ivy League),10,3-7,30,24,154,42,4.2
Austin Peay (OVC),12,0-12,40,18,171,49,4.1
Southeast Mo. St. (OVC),12,3-9,42,12,170,48,4.0
Western Caro. (SoCon),12,2-10,35,24,164,47,3.9
Houston Christian (FCS Independent),7,3-4,26,2,137,27,3.9
Lehigh (Patriot),11,8-3,34,16,201,42,3.8
Holy Cross (Patriot),12,3-9,38,10,160,43,3.6
Nicholls (Southland),12,4-8,34,16,151,42,3.5
UIW (FCS Independent),11,6-5,55,30,265,70,6.4
Abilene Christian (FCS Independent),11,6-5,43,18,201,52,4.7
