Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Cal Poly (Big Sky),12,6-6,67,183,0.366
Towson (CAA),16,13-3,82,223,0.368
Delaware (CAA),12,7-5,64,173,0.370
Sacred Heart (NEC),13,10-3,80,216,0.370
Portland St. (Big Sky),12,6-6,79,213,0.371
McNeese (Southland),13,10-3,72,194,0.371
Dayton (Pioneer),11,7-4,61,164,0.372
Maine (CAA),13,10-3,69,185,0.373
Lamar University (Southland),12,5-7,68,182,0.374
Rhode Island (CAA),12,3-9,64,169,0.379
Southern Ill. (MVFC),12,7-5,65,171,0.380
South Dakota (MVFC),12,4-8,61,160,0.381
Harvard (Ivy League),10,9-1,61,160,0.381
San Diego (Pioneer),11,8-3,58,152,0.382
Penn (Ivy League),10,4-6,58,152,0.382
Mercer (Pioneer),12,10-2,64,167,0.383
Central Ark. (Southland),12,7-5,74,193,0.383
Mississippi Val. (SWAC),11,2-9,61,159,0.384
SFA (Southland),12,3-9,70,182,0.385
Southern Utah (Big Sky),13,8-5,72,187,0.385
UC Davis (Big Sky),12,5-7,66,170,0.388
Bucknell (Patriot),11,6-5,63,162,0.389
James Madison (CAA),12,6-6,74,190,0.389
Sam Houston (Southland),14,9-5,84,215,0.391
Butler (Pioneer),13,9-4,72,184,0.391
Eastern Ky. (OVC),12,6-6,71,181,0.392
Jacksonville (Pioneer),11,5-6,71,179,0.397
Florida A&M (MEAC),12,3-9,67,168,0.399
Southern U. (SWAC),13,9-4,80,200,0.400
Weber St. (Big Sky),12,2-10,67,167,0.401
Stony Brook (CAA),11,5-6,61,152,0.401
Prairie View (SWAC),12,6-6,76,189,0.402
Samford (SoCon),13,8-5,83,206,0.403
Yale (Ivy League),10,5-5,61,151,0.404
New Hampshire (CAA),15,10-5,93,230,0.404
Illinois St. (MVFC),11,5-6,66,163,0.405
Lafayette (Patriot),12,5-7,66,163,0.405
Morgan St. (MEAC),12,5-7,58,143,0.406
Montana St. (Big Sky),12,7-5,70,172,0.407
Wofford (SoCon),11,5-6,69,169,0.408
Fordham (Patriot),14,12-2,78,189,0.413
Indiana St. (MVFC),12,1-11,76,184,0.413
Hampton (MEAC),12,4-8,85,205,0.415
N.C. Central (MEAC),12,5-7,85,205,0.415
Northwestern St. (Southland),12,6-6,70,167,0.419
Eastern Wash. (Big Sky),15,12-3,94,224,0.420
Idaho St. (Big Sky),12,3-9,76,181,0.420
South Dakota St. (MVFC),14,9-5,81,192,0.422
Campbell (Pioneer),12,3-9,65,154,0.422
Montana (Big Sky),13,10-3,86,203,0.424
Chattanooga (SoCon),12,8-4,70,165,0.424
Presbyterian (Big South),11,3-8,69,162,0.426
Delaware St. (MEAC),11,5-6,64,149,0.430
North Dakota (Big Sky),11,3-8,68,158,0.430
Columbia (Ivy League),10,0-10,68,158,0.430
Sacramento St. (Big Sky),12,5-7,79,183,0.432
Elon (SoCon),12,2-10,73,169,0.432
Houston Christian (FCS Independent),7,3-4,39,90,0.433
Northern Colo. (Big Sky),12,1-11,79,181,0.436
Coastal Carolina (Big South),15,12-3,98,223,0.439
Nicholls (Southland),12,4-8,65,146,0.445
Central Conn. St. (NEC),12,4-8,73,163,0.448
Davidson (Pioneer),11,0-11,66,146,0.452
VMI (Big South),12,2-10,82,180,0.456
Georgetown (Patriot),11,2-9,73,160,0.456
Morehead St. (Pioneer),12,3-9,73,160,0.456
Furman (SoCon),14,8-6,89,195,0.456
Southeast Mo. St. (OVC),12,3-9,75,163,0.460
Grambling (SWAC),11,1-10,72,156,0.462
Villanova (CAA),11,6-5,79,171,0.462
Cornell (Ivy League),10,3-7,61,132,0.462
The Citadel (SoCon),12,5-7,74,160,0.463
Lehigh (Patriot),11,8-3,75,161,0.466
UAlbany (CAA),12,1-11,82,175,0.469
Austin Peay (OVC),12,0-12,67,141,0.475
Savannah St. (MEAC),12,1-11,80,168,0.476
Murray St. (OVC),12,6-6,103,216,0.477
Youngstown St. (MVFC),12,8-4,85,176,0.483
Western Caro. (SoCon),12,2-10,80,162,0.494
Holy Cross (Patriot),12,3-9,83,165,0.503
Valparaiso (Pioneer),11,1-10,76,151,0.503
Charlotte (FCS Independent),11,5-6,93,180,0.517
Colgate (Patriot),12,4-8,84,159,0.528
Ark.-Pine Bluff (SWAC),11,2-9,83,148,0.561
UIW (FCS Independent),11,6-5,54,153,0.353
Abilene Christian (FCS Independent),11,6-5,54,151,0.358
