Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Jacksonville St. (OVC),15,11-4,19,33,0.576
Ark.-Pine Bluff (SWAC),11,2-9,11,19,0.579
Savannah St. (MEAC),12,1-11,11,19,0.579
Rhode Island (CAA),12,3-9,11,19,0.579
UAlbany (CAA),12,1-11,10,17,0.588
Delaware (CAA),12,7-5,13,22,0.591
William & Mary (CAA),12,7-5,13,22,0.591
N.C. Central (MEAC),12,5-7,13,22,0.591
Richmond (CAA),12,6-6,9,15,0.600
Bucknell (Patriot),11,6-5,11,18,0.611
Central Conn. St. (NEC),12,4-8,11,18,0.611
SFA (Southland),12,3-9,11,18,0.611
Hampton (MEAC),12,4-8,16,26,0.615
Southern Utah (Big Sky),13,8-5,13,21,0.619
Holy Cross (Patriot),12,3-9,13,21,0.619
Valparaiso (Pioneer),11,1-10,12,19,0.632
Villanova (CAA),11,6-5,7,11,0.636
Florida A&M (MEAC),12,3-9,14,22,0.636
Marist (Pioneer),11,8-3,14,22,0.636
Lafayette (Patriot),12,5-7,9,14,0.643
Columbia (Ivy League),10,0-10,11,17,0.647
Davidson (Pioneer),11,0-11,12,18,0.667
Texas Southern (SWAC),11,2-9,10,15,0.667
Southern Ill. (MVFC),12,7-5,10,15,0.667
Eastern Ky. (OVC),12,6-6,14,21,0.667
Western Ill. (MVFC),12,4-8,13,19,0.684
Eastern Wash. (Big Sky),15,12-3,16,23,0.696
Southeast Mo. St. (OVC),12,3-9,20,28,0.714
Georgetown (Patriot),11,2-9,15,21,0.714
Murray St. (OVC),12,6-6,16,22,0.727
Indiana St. (MVFC),12,1-11,15,20,0.750
Furman (SoCon),14,8-6,22,29,0.759
Presbyterian (Big South),11,3-8,17,21,0.810
Morgan St. (MEAC),12,5-7,17,20,0.850
UIW (FCS Independent),11,6-5,9,25,0.360
Abilene Christian (FCS Independent),11,6-5,13,23,0.565
