Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Austin Peay (OVC),12,0-12,23,476,0,20.70
UNI (MVFC),12,7-5,49,1015,0,20.71
Montana (Big Sky),13,10-3,66,1370,0,20.76
Dayton (Pioneer),11,7-4,44,920,0,20.91
Duquesne (NEC),11,7-4,40,837,0,20.93
Marist (Pioneer),11,8-3,35,734,0,20.97
Georgetown (Patriot),11,2-9,43,921,1,21.42
Jackson St. (SWAC),11,7-4,49,1050,1,21.43
Western Caro. (SoCon),12,2-10,41,879,1,21.44
Mercer (Pioneer),12,10-2,64,1378,2,21.53
Fordham (Patriot),14,12-2,90,1940,0,21.56
Colgate (Patriot),12,4-8,44,949,0,21.57
Prairie View (SWAC),12,6-6,51,1107,0,21.71
Idaho St. (Big Sky),12,3-9,41,890,1,21.71
Stetson (Pioneer),11,2-9,33,717,2,21.73
James Madison (CAA),12,6-6,38,827,0,21.76
Morehead St. (Pioneer),12,3-9,51,1110,0,21.76
N.C. A&T (MEAC),11,7-4,40,871,1,21.78
Houston Christian (FCS Independent),7,3-4,24,525,0,21.88
Tennessee Tech (OVC),12,5-7,42,925,0,22.02
Davidson (Pioneer),11,0-11,29,640,2,22.07
Richmond (CAA),12,6-6,54,1193,1,22.09
Robert Morris (NEC),11,5-6,34,760,1,22.35
Monmouth (FCS Independent),12,6-6,41,917,0,22.37
Grambling (SWAC),11,1-10,42,940,2,22.38
Montana St. (Big Sky),12,7-5,50,1122,0,22.44
Bethune-Cookman (MEAC),13,10-3,65,1461,1,22.48
Dartmouth (Ivy League),10,6-4,35,788,0,22.51
Florida A&M (MEAC),12,3-9,36,817,1,22.69
Wofford (SoCon),11,5-6,27,614,0,22.74
Villanova (CAA),11,6-5,43,981,1,22.81
Western Ill. (MVFC),12,4-8,41,938,0,22.88
Chattanooga (SoCon),12,8-4,44,1021,0,23.20
Northwestern St. (Southland),12,6-6,43,1004,2,23.35
UC Davis (Big Sky),12,5-7,42,982,0,23.38
Charlotte (FCS Independent),11,5-6,55,1287,1,23.40
Nicholls (Southland),12,4-8,44,1041,1,23.66
Furman (SoCon),14,8-6,30,710,0,23.67
Missouri St. (MVFC),12,5-7,36,853,2,23.69
South Dakota (MVFC),12,4-8,31,740,1,23.87
Illinois St. (MVFC),11,5-6,34,819,0,24.09
Howard (MEAC),12,6-6,39,942,0,24.15
Cornell (Ivy League),10,3-7,22,535,0,24.32
Hampton (MEAC),12,4-8,42,1026,2,24.43
SFA (Southland),12,3-9,70,1714,4,24.49
Northern Colo. (Big Sky),12,1-11,38,944,2,24.84
Wagner (NEC),11,3-8,34,850,1,25.00
Weber St. (Big Sky),12,2-10,17,428,0,25.18
Ark.-Pine Bluff (SWAC),11,2-9,42,1061,0,25.26
North Dakota (Big Sky),11,3-8,15,380,0,25.33
Southern Utah (Big Sky),13,8-5,22,567,0,25.77
VMI (Big South),12,2-10,34,877,2,25.79
Indiana St. (MVFC),12,1-11,34,889,3,26.15
Valparaiso (Pioneer),11,1-10,35,930,2,26.57
Savannah St. (MEAC),12,1-11,28,779,1,27.82
Northern Ariz. (Big Sky),12,9-3,9,255,1,28.33
Rhode Island (CAA),12,3-9,28,795,0,28.39
UIW (FCS Independent),11,6-5,47,901,1,19.17
Abilene Christian (FCS Independent),11,6-5,60,1319,0,21.98
