Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Jacksonville St. (OVC),15,11-4,1164,5722,4.92,41,43,381.5
South Dakota St. (MVFC),14,9-5,940,5350,5.69,41,43,382.1
Lafayette (Patriot),12,5-7,842,4615,5.48,41,44,384.6
The Citadel (SoCon),12,5-7,808,4620,5.72,44,45,385.0
Samford (SoCon),13,8-5,934,5017,5.37,40,47,385.9
Southeastern La. (Southland),14,11-3,989,5404,5.46,41,43,386.0
UC Davis (Big Sky),12,5-7,817,4658,5.70,35,37,388.2
Houston Christian (FCS Independent),7,3-4,479,2720,5.68,32,35,388.6
Northwestern St. (Southland),12,6-6,841,4669,5.55,46,52,389.1
Alabama St. (SWAC),12,8-4,939,4708,5.01,38,42,392.3
Penn (Ivy League),10,4-6,724,3929,5.43,35,38,392.9
Wofford (SoCon),11,5-6,808,4325,5.35,31,33,393.2
Morgan St. (MEAC),12,5-7,747,4721,6.32,46,49,393.4
Tennessee Tech (OVC),12,5-7,879,4732,5.38,42,46,394.3
Fordham (Patriot),14,12-2,966,5553,5.75,46,47,396.6
Central Conn. St. (NEC),12,4-8,824,4763,5.78,49,56,396.9
Lamar University (Southland),12,5-7,870,4791,5.51,45,47,399.3
Central Ark. (Southland),12,7-5,888,4816,5.42,38,43,401.3
Furman (SoCon),14,8-6,983,5665,5.76,42,44,404.6
Texas Southern (SWAC),11,2-9,797,4462,5.60,39,43,405.6
Yale (Ivy League),10,5-5,756,4064,5.38,34,37,406.4
Hampton (MEAC),12,4-8,972,4884,5.02,41,48,407.0
New Hampshire (CAA),15,10-5,1109,6111,5.51,40,42,407.4
Northern Colo. (Big Sky),12,1-11,902,4908,5.44,41,48,409.0
Youngstown St. (MVFC),12,8-4,863,4921,5.70,41,41,410.1
Southern U. (SWAC),13,9-4,973,5356,5.50,48,49,412.0
McNeese (Southland),13,10-3,922,5409,5.87,47,48,416.1
Butler (Pioneer),13,9-4,926,5457,5.89,42,47,419.8
Sam Houston (Southland),14,9-5,1036,5912,5.71,48,51,422.3
Georgetown (Patriot),11,2-9,816,4648,5.70,47,50,422.5
Austin Peay (OVC),12,0-12,793,5080,6.41,63,65,423.3
Presbyterian (Big South),11,3-8,789,4682,5.93,45,47,425.6
Stetson (Pioneer),11,2-9,765,4684,6.12,44,48,425.8
North Dakota (Big Sky),11,3-8,775,4692,6.05,47,49,426.5
Portland St. (Big Sky),12,6-6,955,5162,5.41,40,41,430.2
Colgate (Patriot),12,4-8,841,5220,6.21,48,51,435.0
Lehigh (Patriot),11,8-3,801,4806,6.00,43,45,436.9
N.C. Central (MEAC),12,5-7,997,5262,5.28,41,44,438.5
Charlotte (FCS Independent),11,5-6,908,4829,5.32,45,47,439.0
Rhode Island (CAA),12,3-9,817,5275,6.46,50,53,439.6
Campbell (Pioneer),12,3-9,827,5302,6.41,59,61,441.8
Delaware (CAA),12,7-5,901,5323,5.91,45,50,443.6
Sacramento St. (Big Sky),12,5-7,859,5363,6.24,54,54,446.9
Jacksonville (Pioneer),11,5-6,861,4922,5.72,46,50,447.5
Holy Cross (Patriot),12,3-9,857,5389,6.29,48,51,449.1
UAlbany (CAA),12,1-11,894,5459,6.11,50,52,454.9
VMI (Big South),12,2-10,887,5460,6.16,51,55,455.0
Eastern Wash. (Big Sky),15,12-3,1153,6866,5.95,55,56,457.7
Coastal Carolina (Big South),15,12-3,1139,6867,6.03,60,61,457.8
Cornell (Ivy League),10,3-7,741,4598,6.21,41,45,459.8
Idaho St. (Big Sky),12,3-9,871,5520,6.34,47,51,460.0
Western Caro. (SoCon),12,2-10,827,5542,6.70,57,62,461.8
Savannah St. (MEAC),12,1-11,869,5570,6.41,68,72,464.2
Elon (SoCon),12,2-10,898,5622,6.26,49,51,468.5
Southeast Mo. St. (OVC),12,3-9,885,5671,6.41,56,57,472.6
Weber St. (Big Sky),12,2-10,889,5709,6.42,66,69,475.8
Murray St. (OVC),12,6-6,1033,5756,5.57,50,50,479.7
Ark.-Pine Bluff (SWAC),11,2-9,775,5309,6.85,60,61,482.6
Davidson (Pioneer),11,0-11,796,5353,6.72,54,61,486.6
Grambling (SWAC),11,1-10,845,5358,6.34,49,54,487.1
Prairie View (SWAC),12,6-6,916,5858,6.40,56,58,488.2
Nicholls (Southland),12,4-8,849,5928,6.98,63,69,494.0
Valparaiso (Pioneer),11,1-10,795,5571,7.01,60,67,506.5
Columbia (Ivy League),10,0-10,860,5141,5.98,49,52,514.1
SFA (Southland),12,3-9,963,6338,6.58,69,80,528.2
Morehead St. (Pioneer),12,3-9,899,6472,7.20,74,77,539.3
UIW (FCS Independent),11,6-5,759,4278,5.64,36,39,388.9
Abilene Christian (FCS Independent),11,6-5,796,4331,5.44,32,36,393.7
