Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Colgate (Patriot),12,4-8,499,2297,4.60,24,191.4
Jacksonville (Pioneer),11,5-6,385,2103,5.46,24,191.2
Central Conn. St. (NEC),12,4-8,478,2264,4.74,21,188.7
Montana (Big Sky),13,10-3,515,2407,4.67,28,185.2
Liberty (Big South),12,8-4,460,2209,4.80,36,184.1
Eastern Wash. (Big Sky),15,12-3,521,2755,5.29,22,183.7
Montana St. (Big Sky),12,7-5,490,2203,4.50,33,183.6
SFA (Southland),12,3-9,422,2196,5.20,21,183.0
Morgan St. (MEAC),12,5-7,538,2193,4.08,17,182.8
Missouri St. (MVFC),12,5-7,515,2153,4.18,24,179.4
UT Martin (OVC),12,7-5,520,2147,4.13,17,178.9
N.C. A&T (MEAC),11,7-4,505,1959,3.88,24,178.1
Delaware (CAA),12,7-5,447,2124,4.75,24,177.0
Dayton (Pioneer),11,7-4,426,1933,4.54,25,175.7
Maine (CAA),13,10-3,492,2269,4.61,21,174.5
James Madison (CAA),12,6-6,517,2071,4.01,16,172.6
South Dakota St. (MVFC),14,9-5,539,2354,4.37,28,168.1
Saint Francis (PA) (NEC),11,5-6,459,1843,4.02,20,167.5
Harvard (Ivy League),10,9-1,419,1660,3.96,23,166.0
Houston Christian (FCS Independent),7,3-4,280,1161,4.15,14,165.9
Ark.-Pine Bluff (SWAC),11,2-9,408,1812,4.44,19,164.7
Tennessee St. (OVC),14,10-4,571,2293,4.02,14,163.8
San Diego (Pioneer),11,8-3,371,1796,4.84,18,163.3
UNI (MVFC),12,7-5,469,1957,4.17,16,163.1
South Carolina St. (MEAC),13,9-4,586,2115,3.61,23,162.7
Wagner (NEC),11,3-8,500,1770,3.54,12,160.9
Monmouth (FCS Independent),12,6-6,483,1912,3.96,17,159.3
Bucknell (Patriot),11,6-5,463,1746,3.77,17,158.7
Murray St. (OVC),12,6-6,424,1886,4.45,19,157.2
Marist (Pioneer),11,8-3,424,1719,4.05,21,156.3
Northwestern St. (Southland),12,6-6,461,1870,4.06,19,155.8
Holy Cross (Patriot),12,3-9,456,1860,4.08,17,155.0
Hampton (MEAC),12,4-8,474,1858,3.92,15,154.8
Western Ill. (MVFC),12,4-8,479,1854,3.87,13,154.5
Fordham (Patriot),14,12-2,546,2162,3.96,24,154.4
Lehigh (Patriot),11,8-3,382,1694,4.43,21,154.0
Southern Ill. (MVFC),12,7-5,456,1837,4.03,14,153.1
UC Davis (Big Sky),12,5-7,441,1828,4.15,13,152.3
Alabama A&M (SWAC),12,4-8,455,1825,4.01,11,152.1
UAlbany (CAA),12,1-11,470,1820,3.87,18,151.7
Tennessee Tech (OVC),12,5-7,482,1816,3.77,26,151.3
William & Mary (CAA),12,7-5,470,1787,3.80,15,148.9
Northern Ariz. (Big Sky),12,9-3,442,1787,4.04,13,148.9
Furman (SoCon),14,8-6,514,2070,4.03,21,147.9
Presbyterian (Big South),11,3-8,366,1626,4.44,21,147.8
South Dakota (MVFC),12,4-8,451,1732,3.84,12,144.3
Stony Brook (CAA),11,5-6,454,1587,3.50,16,144.3
Bryant (NEC),12,5-7,462,1713,3.71,18,142.8
Texas Southern (SWAC),11,2-9,431,1548,3.59,13,140.7
Western Caro. (SoCon),12,2-10,436,1664,3.82,13,138.7
Rhode Island (CAA),12,3-9,486,1658,3.41,9,138.2
Illinois St. (MVFC),11,5-6,449,1506,3.35,16,136.9
Weber St. (Big Sky),12,2-10,484,1639,3.39,13,136.6
Lamar University (Southland),12,5-7,439,1623,3.70,14,135.3
Sacramento St. (Big Sky),12,5-7,446,1621,3.63,16,135.1
Austin Peay (OVC),12,0-12,460,1603,3.48,5,133.6
Gardner-Webb (Big South),12,7-5,492,1586,3.22,14,132.2
Morehead St. (Pioneer),12,3-9,390,1546,3.96,22,128.8
Penn (Ivy League),10,4-6,385,1284,3.34,10,128.4
Elon (SoCon),12,2-10,390,1495,3.83,11,124.6
Grambling (SWAC),11,1-10,359,1357,3.78,9,123.4
Georgetown (Patriot),11,2-9,387,1354,3.50,17,123.1
Samford (SoCon),13,8-5,419,1597,3.81,16,122.8
Norfolk St. (MEAC),12,3-9,466,1473,3.16,9,122.8
Indiana St. (MVFC),12,1-11,428,1458,3.41,9,121.5
Central Ark. (Southland),12,7-5,416,1456,3.50,16,121.3
Southern Utah (Big Sky),13,8-5,486,1551,3.19,15,119.3
Lafayette (Patriot),12,5-7,420,1423,3.39,15,118.6
Richmond (CAA),12,6-6,380,1358,3.57,11,113.2
Robert Morris (NEC),11,5-6,387,1237,3.20,10,112.5
Southern U. (SWAC),13,9-4,445,1460,3.28,18,112.3
Stetson (Pioneer),11,2-9,403,1226,3.04,8,111.5
N.C. Central (MEAC),12,5-7,413,1312,3.18,14,109.3
Duquesne (NEC),11,7-4,377,1199,3.18,10,109.0
Florida A&M (MEAC),12,3-9,373,1254,3.36,10,104.5
Drake (Pioneer),11,6-5,370,1062,2.87,11,96.5
Idaho St. (Big Sky),12,3-9,377,1130,3.00,7,94.2
Northern Colo. (Big Sky),12,1-11,325,1073,3.30,12,89.4
VMI (Big South),12,2-10,348,1068,3.07,9,89.0
Davidson (Pioneer),11,0-11,383,955,2.49,9,86.8
Mississippi Val. (SWAC),11,2-9,340,943,2.77,11,85.7
North Dakota (Big Sky),11,3-8,319,891,2.79,14,81.0
Delaware St. (MEAC),11,5-6,358,885,2.47,8,80.5
Valparaiso (Pioneer),11,1-10,320,809,2.53,8,73.5
Savannah St. (MEAC),12,1-11,324,770,2.38,4,64.2
Columbia (Ivy League),10,0-10,235,519,2.21,4,51.9
Cornell (Ivy League),10,3-7,268,499,1.86,7,49.9
UIW (FCS Independent),11,6-5,444,2004,4.51,25,182.2
Abilene Christian (FCS Independent),11,6-5,394,1872,4.75,28,170.2
