Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Northern Ariz. (Big Sky),12,9-3,829,4212,5.08,27,351.0
Tennessee St. (OVC),14,10-4,943,4872,5.17,40,348.0
Duquesne (NEC),11,7-4,759,3806,5.01,24,346.0
UC Davis (Big Sky),12,5-7,793,4132,5.21,25,344.3
Missouri St. (MVFC),12,5-7,829,4121,4.97,37,343.4
Alabama A&M (SWAC),12,4-8,814,4117,5.06,26,343.1
Southeast Mo. St. (OVC),12,3-9,803,4102,5.11,34,341.8
South Carolina St. (MEAC),13,9-4,922,4442,4.82,43,341.7
South Dakota (MVFC),12,4-8,852,4075,4.78,23,339.6
Penn (Ivy League),10,4-6,728,3392,4.66,28,339.2
N.C. A&T (MEAC),11,7-4,756,3705,4.90,34,336.8
Bryant (NEC),12,5-7,831,4032,4.85,33,336.0
Western Ill. (MVFC),12,4-8,869,4006,4.61,30,333.8
Georgetown (Patriot),11,2-9,809,3672,4.54,28,333.8
VMI (Big South),12,2-10,760,3934,5.18,29,327.8
Illinois St. (MVFC),11,5-6,720,3572,4.96,31,324.7
Bucknell (Patriot),11,6-5,749,3568,4.76,28,324.4
Presbyterian (Big South),11,3-8,666,3567,5.36,35,324.3
Houston Christian (FCS Independent),7,3-4,464,2268,4.89,19,324.0
Grambling (SWAC),11,1-10,709,3546,5.00,28,322.4
Davidson (Pioneer),11,0-11,772,3514,4.55,22,319.5
William & Mary (CAA),12,7-5,769,3827,4.98,25,318.9
Furman (SoCon),14,8-6,851,4456,5.24,32,318.3
Texas Southern (SWAC),11,2-9,755,3498,4.63,19,318.0
Hampton (MEAC),12,4-8,803,3779,4.71,29,314.9
Tennessee Tech (OVC),12,5-7,834,3763,4.51,39,313.6
Morgan St. (MEAC),12,5-7,766,3724,4.86,28,310.3
Delaware St. (MEAC),11,5-6,768,3365,4.38,21,305.9
Southern Utah (Big Sky),13,8-5,864,3904,4.52,26,300.3
Stetson (Pioneer),11,2-9,743,3303,4.45,21,300.3
Rhode Island (CAA),12,3-9,852,3575,4.20,19,297.9
Weber St. (Big Sky),12,2-10,853,3547,4.16,22,295.6
Robert Morris (NEC),11,5-6,710,3235,4.56,27,294.1
Wagner (NEC),11,3-8,802,3217,4.01,19,292.5
Indiana St. (MVFC),12,1-11,793,3480,4.39,27,290.0
Saint Francis (PA) (NEC),11,5-6,652,3117,4.78,27,283.4
Savannah St. (MEAC),12,1-11,776,3286,4.23,20,273.8
Norfolk St. (MEAC),12,3-9,817,3260,3.99,19,271.7
Mississippi Val. (SWAC),11,2-9,707,2967,4.20,25,269.7
N.C. Central (MEAC),12,5-7,766,3168,4.14,20,264.0
Austin Peay (OVC),12,0-12,748,2772,3.71,8,231.0
Florida A&M (MEAC),12,3-9,640,2628,4.11,20,219.0
Columbia (Ivy League),10,0-10,602,2043,3.39,8,204.3
Abilene Christian (FCS Independent),11,6-5,774,5359,6.92,65,487.2
UIW (FCS Independent),11,6-5,782,3959,5.06,36,359.9
