Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Valparaiso (Pioneer),11,1-10,9,8,17,8,11,19,-2,-0.20
Indiana St. (MVFC),12,1-11,9,11,20,6,17,23,-3,-0.30
Rhode Island (CAA),12,3-9,10,8,18,8,13,21,-3,-0.30
Lafayette (Patriot),12,5-7,7,16,23,8,18,26,-3,-0.30
Dayton (Pioneer),11,7-4,7,13,20,13,10,23,-3,-0.30
Georgetown (Patriot),11,2-9,6,7,13,6,10,16,-3,-0.30
Grambling (SWAC),11,1-10,7,11,18,10,11,21,-3,-0.30
Cornell (Ivy League),10,3-7,10,6,16,6,13,19,-3,-0.30
Campbell (Pioneer),12,3-9,10,9,19,12,11,23,-4,-0.30
Howard (MEAC),12,6-6,9,12,21,13,12,25,-4,-0.30
Delaware (CAA),12,7-5,6,12,18,12,10,22,-4,-0.30
Illinois St. (MVFC),11,5-6,12,6,18,9,13,22,-4,-0.40
Stetson (Pioneer),11,2-9,8,13,21,10,15,25,-4,-0.40
Samford (SoCon),13,8-5,9,10,19,11,13,24,-5,-0.40
Sacramento St. (Big Sky),12,5-7,6,8,14,6,13,19,-5,-0.40
Western Caro. (SoCon),12,2-10,14,5,19,6,18,24,-5,-0.40
UAlbany (CAA),12,1-11,9,4,13,7,11,18,-5,-0.40
Duquesne (NEC),11,7-4,10,9,19,8,16,24,-5,-0.50
James Madison (CAA),12,6-6,7,10,17,8,15,23,-6,-0.50
Holy Cross (Patriot),12,3-9,10,9,19,12,13,25,-6,-0.50
Wofford (SoCon),11,5-6,9,9,18,14,10,24,-6,-0.50
VMI (Big South),12,2-10,7,9,16,11,12,23,-7,-0.60
Davidson (Pioneer),11,0-11,4,7,11,10,8,18,-7,-0.60
Jacksonville (Pioneer),11,5-6,13,8,21,12,16,28,-7,-0.60
Portland St. (Big Sky),12,6-6,9,12,21,13,16,29,-8,-0.70
Delaware St. (MEAC),11,5-6,10,10,20,12,16,28,-8,-0.70
Presbyterian (Big South),11,3-8,10,2,12,7,13,20,-8,-0.70
Northern Colo. (Big Sky),12,1-11,6,9,15,6,18,24,-9,-0.80
Colgate (Patriot),12,4-8,6,9,15,12,12,24,-9,-0.80
Penn (Ivy League),10,4-6,8,11,19,11,16,27,-8,-0.80
Texas Southern (SWAC),11,2-9,7,11,18,16,11,27,-9,-0.80
Idaho St. (Big Sky),12,3-9,9,8,17,13,14,27,-10,-0.80
Weber St. (Big Sky),12,2-10,9,10,19,19,10,29,-10,-0.80
Central Conn. St. (NEC),12,4-8,8,11,19,11,18,29,-10,-0.80
Alabama A&M (SWAC),12,4-8,8,11,19,13,16,29,-10,-0.80
Houston Christian (FCS Independent),7,3-4,6,6,12,12,6,18,-6,-0.90
Lehigh (Patriot),11,8-3,4,7,11,7,14,21,-10,-0.90
Gardner-Webb (Big South),12,7-5,7,14,21,17,15,32,-11,-0.90
SFA (Southland),12,3-9,6,17,23,12,22,34,-11,-0.90
Morehead St. (Pioneer),12,3-9,5,7,12,7,17,24,-12,-1.00
UT Martin (OVC),12,7-5,6,12,18,21,12,33,-15,-1.30
Savannah St. (MEAC),12,1-11,7,8,15,12,18,30,-15,-1.30
Wagner (NEC),11,3-8,7,4,11,8,17,25,-14,-1.30
Nicholls (Southland),12,4-8,6,6,12,15,14,29,-17,-1.40
Columbia (Ivy League),10,0-10,5,5,10,12,14,26,-16,-1.60
North Dakota (Big Sky),11,3-8,4,5,9,10,19,29,-20,-1.80
Jackson St. (SWAC),11,7-4,6,4,10,14,17,31,-21,-1.90
Abilene Christian (FCS Independent),11,6-5,14,14,28,7,5,12,16,1.50
UIW (FCS Independent),11,6-5,13,9,22,10,8,18,4,0.40
