Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Morgan St. (MEAC),12,5-7,24,289,0,12.04
VMI (Big South),12,2-10,33,404,1,12.24
South Dakota (MVFC),12,4-8,31,385,1,12.42
Lamar University (Southland),12,5-7,27,337,1,12.48
Youngstown St. (MVFC),12,8-4,21,263,0,12.52
Houston Christian (FCS Independent),7,3-4,16,206,0,12.88
Chattanooga (SoCon),12,8-4,11,143,1,13.00
Northwestern St. (Southland),12,6-6,20,263,3,13.15
Indiana St. (MVFC),12,1-11,23,309,3,13.43
Valparaiso (Pioneer),11,1-10,25,337,1,13.48
Texas Southern (SWAC),11,2-9,39,545,1,13.97
Wofford (SoCon),11,5-6,13,183,0,14.08
Howard (MEAC),12,6-6,17,265,2,15.59
Tennessee Tech (OVC),12,5-7,29,464,3,16.00
Prairie View (SWAC),12,6-6,16,262,0,16.38
Bethune-Cookman (MEAC),13,10-3,16,264,0,16.50
UIW (FCS Independent),11,6-5,21,59,1,2.81
Abilene Christian (FCS Independent),11,6-5,15,146,1,9.73
