Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Baylor (Big 12),12,1-11,124,125,15,264
South Carolina (SEC),13,9-4,102,139,24,265
North Carolina (ACC),12,3-9,132,108,25,265
Kansas (Big 12),12,1-11,106,141,18,265
Louisville (ACC),13,8-5,118,133,15,266
BYU (FBS Independent),13,4-9,119,135,13,267
Missouri (SEC),13,7-6,110,133,24,267
Temple (AAC),13,7-6,119,117,31,267
Illinois (Big Ten),12,2-10,137,109,23,269
California (Pac-12),12,5-7,116,136,17,269
Oregon (Pac-12),13,7-6,93,132,45,270
Miami (FL) (ACC),13,10-3,120,129,21,270
Old Dominion (CUSA),12,5-7,129,128,15,272
Kansas St. (Big 12),13,8-5,88,174,10,272
Louisiana Tech (CUSA),13,7-6,142,120,12,274
Houston (AAC),12,7-5,107,147,20,274
Hawaii (Mountain West),12,3-9,124,129,21,274
Cincinnati (AAC),12,4-8,119,124,32,275
Utah St. (Mountain West),13,6-7,147,108,21,276
Colorado St. (Mountain West),13,7-6,118,135,24,277
Ole Miss (SEC),12,6-6,133,121,24,278
West Virginia (Big 12),13,7-6,121,126,32,279
Nebraska (Big Ten),12,4-8,131,122,26,279
Colorado (Pac-12),12,5-7,132,128,19,279
UCF (AAC),13,13-0,110,141,29,280
Charlotte (CUSA),12,1-11,132,134,16,282
Southern California (Pac-12),14,11-3,122,130,30,282
Toledo (MAC),14,11-3,121,129,34,284
Maryland (Big Ten),12,4-8,119,135,30,284
New Mexico St. (Independent),13,7-6,114,145,26,285
UTEP (CUSA),12,0-12,148,117,20,285
Oklahoma St. (Big 12),13,10-3,112,144,30,286
Oklahoma (Big 12),14,12-2,118,133,35,286
UNLV (Mountain West),12,5-7,158,116,14,288
North Texas (CUSA),14,9-5,138,128,23,289
Kentucky (SEC),13,7-6,124,145,20,289
Arizona St. (Pac-12),13,7-6,112,155,23,290
Stanford (Pac-12),14,9-5,128,143,22,293
Tulsa (AAC),12,2-10,142,128,23,293
FIU (CUSA),13,8-5,116,145,32,293
East Carolina (AAC),12,3-9,140,136,20,296
Nevada (Mountain West),12,3-9,142,133,24,299
ULM (Sun Belt),12,4-8,137,147,17,301
Louisiana (Sun Belt),12,5-7,151,132,19,302
SMU (AAC),13,7-6,135,146,23,304
Fla. Atlantic (CUSA),14,11-3,116,163,26,305
UConn (AAC),12,3-9,114,173,21,308
Wake Forest (ACC),13,8-5,130,166,17,313
San Jose St. (Mountain West),13,2-11,172,124,17,313
Bowling Green (MAC),12,2-10,152,136,25,313
Oregon St. (Pac-12),12,1-11,154,129,31,314
Texas Tech (Big 12),13,6-7,107,172,37,316
Memphis (AAC),13,10-3,125,161,32,318
UCLA (Pac-12),13,6-7,165,112,43,320
Arizona (Pac-12),13,7-6,128,164,29,321
Akron (MAC),14,7-7,151,146,31,328
Liberty (Independent),11,6-5,113,93,11,217
Coastal Carolina (Sun Belt),12,3-9,114,128,19,261
