Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
NC State (ACC),13,9-4,10,21,0.476
Tulane (AAC),12,5-7,11,23,0.478
Temple (AAC),13,7-6,11,23,0.478
UCLA (Pac-12),13,6-7,12,25,0.480
TCU (Big 12),14,11-3,12,25,0.480
Iowa (Big Ten),13,8-5,12,25,0.480
Ohio St. (Big Ten),14,12-2,13,27,0.481
Florida St. (ACC),13,7-6,13,27,0.481
UCF (AAC),13,13-0,15,31,0.484
Syracuse (ACC),12,4-8,10,20,0.500
South Alabama (Sun Belt),12,4-8,10,20,0.500
South Carolina (SEC),13,9-4,9,18,0.500
App State (Sun Belt),13,9-4,6,12,0.500
Navy (AAC),13,7-6,9,18,0.500
Maryland (Big Ten),12,4-8,8,16,0.500
Western Ky. (CUSA),13,6-7,6,12,0.500
Nebraska (Big Ten),12,4-8,7,14,0.500
Wake Forest (ACC),13,8-5,17,33,0.515
Old Dominion (CUSA),12,5-7,10,19,0.526
Indiana (Big Ten),12,5-7,9,17,0.529
Vanderbilt (SEC),12,5-7,9,17,0.529
Oklahoma St. (Big 12),13,10-3,9,17,0.529
Missouri (SEC),13,7-6,9,17,0.529
UNLV (Mountain West),12,5-7,14,26,0.538
Kansas St. (Big 12),13,8-5,13,24,0.542
Nevada (Mountain West),12,3-9,12,22,0.545
Utah (Pac-12),13,7-6,6,11,0.545
New Mexico (Mountain West),12,3-9,6,11,0.545
Buffalo (MAC),12,6-6,11,20,0.550
Southern California (Pac-12),14,11-3,15,27,0.556
NIU (MAC),13,8-5,10,18,0.556
ULM (Sun Belt),12,4-8,5,9,0.556
Air Force (Mountain West),12,5-7,5,9,0.556
Georgia Tech (ACC),11,5-6,10,18,0.556
North Texas (CUSA),14,9-5,19,34,0.559
BYU (FBS Independent),13,4-9,14,25,0.560
Arizona (Pac-12),13,7-6,14,25,0.560
Purdue (Big Ten),13,7-6,13,23,0.565
Virginia (ACC),13,6-7,15,26,0.577
Clemson (ACC),14,12-2,15,26,0.577
Wyoming (Mountain West),13,8-5,15,26,0.577
Louisville (ACC),13,8-5,11,19,0.579
New Mexico St. (Independent),13,7-6,11,19,0.579
Georgia St. (Sun Belt),12,7-5,14,24,0.583
Louisiana (Sun Belt),12,5-7,10,17,0.588
Oklahoma (Big 12),14,12-2,13,22,0.591
Rutgers (Big Ten),12,4-8,9,15,0.600
Michigan St. (Big Ten),13,10-3,9,15,0.600
Akron (MAC),14,7-7,17,28,0.607
Boise St. (Mountain West),14,11-3,14,23,0.609
East Carolina (AAC),12,3-9,8,13,0.615
Kansas (Big 12),12,1-11,13,21,0.619
Kentucky (SEC),13,7-6,18,29,0.621
Rice (CUSA),12,1-11,10,16,0.625
Baylor (Big 12),12,1-11,10,16,0.625
Texas Tech (Big 12),13,6-7,15,24,0.625
Western Mich. (MAC),12,6-6,5,8,0.625
Ole Miss (SEC),12,6-6,12,19,0.632
Houston (AAC),12,7-5,14,22,0.636
Wisconsin (Big Ten),14,13-1,11,17,0.647
UTEP (CUSA),12,0-12,11,17,0.647
Washington (Pac-12),13,10-3,13,20,0.650
Texas A&M (SEC),13,7-6,8,12,0.667
Memphis (AAC),13,10-3,20,30,0.667
Louisiana Tech (CUSA),13,7-6,10,15,0.667
Arkansas (SEC),12,4-8,10,15,0.667
Illinois (Big Ten),12,2-10,12,18,0.667
Hawaii (Mountain West),12,3-9,12,18,0.667
Kent St. (MAC),12,2-10,10,15,0.667
North Carolina (ACC),12,3-9,17,24,0.708
Florida (SEC),11,4-7,5,7,0.714
Idaho (Sun Belt),12,4-8,10,14,0.714
West Virginia (Big 12),13,7-6,18,25,0.720
Oregon St. (Pac-12),12,1-11,11,15,0.733
Army West Point (FBS Independent),13,10-3,14,19,0.737
Cincinnati (AAC),12,4-8,14,18,0.778
San Jose St. (Mountain West),13,2-11,17,20,0.850
Coastal Carolina (Sun Belt),12,3-9,7,11,0.636
Liberty (Independent),11,6-5,16,23,0.696
