Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Purdue (Big Ten),13,7-6,42,7,13,14,34,0.810
SMU (AAC),13,7-6,53,23,11,9,43,0.811
Syracuse (ACC),12,4-8,32,14,6,6,26,0.813
Oklahoma St. (Big 12),13,10-3,48,17,9,13,39,0.813
South Carolina (SEC),13,9-4,48,15,10,14,39,0.813
Colorado St. (Mountain West),13,7-6,32,12,7,7,26,0.813
NIU (MAC),13,8-5,48,13,9,17,39,0.813
Illinois (Big Ten),12,2-10,59,25,15,8,48,0.814
Utah St. (Mountain West),13,6-7,43,15,6,14,35,0.814
Texas (Big 12),13,7-6,43,11,10,14,35,0.814
Nevada (Mountain West),12,3-9,60,19,16,14,49,0.817
Arizona St. (Pac-12),13,7-6,55,21,11,13,45,0.818
Texas Tech (Big 12),13,6-7,61,15,24,11,50,0.820
App State (Sun Belt),13,9-4,39,13,6,13,32,0.821
Toledo (MAC),14,11-3,46,20,10,8,38,0.826
Oregon (Pac-12),13,7-6,46,15,12,11,38,0.826
Florida (SEC),11,4-7,35,9,12,8,29,0.829
BYU (FBS Independent),13,4-9,53,15,12,17,44,0.830
Old Dominion (C-USA),12,5-7,48,25,9,6,40,0.833
Michigan (Big Ten),13,8-5,30,12,6,7,25,0.833
LSU (SEC),13,9-4,36,15,4,11,30,0.833
Auburn (SEC),14,10-4,36,8,12,10,30,0.833
Iowa St. (Big 12),13,8-5,42,10,16,9,35,0.833
Southern Miss. (C-USA),13,8-5,42,18,11,6,35,0.833
Kent St. (MAC),12,2-10,49,22,12,7,41,0.837
Duke (ACC),13,7-6,25,9,6,6,21,0.840
Minnesota (Big Ten),12,5-7,38,12,14,6,32,0.842
Texas St. (Sun Belt),12,2-10,51,16,11,16,43,0.843
Penn St. (Big Ten),13,11-2,32,11,7,9,27,0.844
Fresno St. (Mountain West),14,10-4,39,11,11,11,33,0.846
Middle Tenn. (C-USA),13,7-6,52,18,11,15,44,0.846
Wake Forest (ACC),13,8-5,53,18,13,14,45,0.849
Tulsa (AAC),12,2-10,53,23,9,13,45,0.849
West Virginia (Big 12),13,7-6,60,22,15,14,51,0.850
UCF (AAC),13,13-0,40,13,13,8,34,0.850
Colorado (Pac-12),12,5-7,47,16,10,14,40,0.851
San Jose St. (Mountain West),13,2-11,68,32,14,12,58,0.853
Bowling Green (MAC),12,2-10,55,30,9,8,47,0.855
Maryland (Big Ten),12,4-8,55,25,16,6,47,0.855
Western Mich. (MAC),12,6-6,42,20,10,6,36,0.857
Washington (Pac-12),13,10-3,28,10,5,9,24,0.857
Eastern Mich. (MAC),12,5-7,43,14,12,11,37,0.860
Ball St. (MAC),12,2-10,51,19,14,11,44,0.863
Utah (Pac-12),13,7-6,44,11,12,15,38,0.864
Louisiana (Sun Belt),12,5-7,60,33,10,9,52,0.867
Temple (AAC),13,7-6,53,13,19,14,46,0.868
UConn (AAC),12,3-9,53,19,20,7,46,0.868
Cincinnati (AAC),12,4-8,46,15,9,16,40,0.870
South Fla. (AAC),12,10-2,31,13,7,7,27,0.871
Michigan St. (Big Ten),13,10-3,31,10,8,9,27,0.871
Louisville (ACC),13,8-5,39,21,8,5,34,0.872
Stanford (Pac-12),14,9-5,47,16,13,12,41,0.872
Boise St. (Mountain West),14,11-3,40,19,10,6,35,0.875
Indiana (Big Ten),12,5-7,40,15,11,9,35,0.875
Vanderbilt (SEC),12,5-7,40,23,5,7,35,0.875
Kentucky (SEC),13,7-6,48,17,11,14,42,0.875
Nebraska (Big Ten),12,4-8,57,26,15,9,50,0.877
Oklahoma (Big 12),14,12-2,49,17,13,13,43,0.878
Washington St. (Pac-12),13,9-4,41,19,7,10,36,0.878
Miami (FL) (ACC),13,10-3,42,9,14,14,37,0.881
Ohio (MAC),13,9-4,42,10,14,13,37,0.881
Air Force (Mountain West),12,5-7,43,19,6,13,38,0.884
UCLA (Pac-12),13,6-7,69,28,13,20,61,0.884
Western Ky. (C-USA),13,6-7,44,21,4,14,39,0.886
Baylor (Big 12),12,1-11,44,12,10,17,39,0.886
Navy (AAC),13,7-6,45,17,13,10,40,0.889
Oregon St. (Pac-12),12,1-11,65,29,19,10,58,0.892
East Carolina (AAC),12,3-9,56,25,16,9,50,0.893
Ole Miss (SEC),12,6-6,57,24,13,14,51,0.895
Charlotte (C-USA),12,1-11,48,23,10,10,43,0.896
Florida St. (ACC),13,7-6,39,16,7,12,35,0.897
Kansas (Big 12),12,1-11,59,27,16,10,53,0.898
Tennessee (SEC),12,4-8,50,27,8,10,45,0.900
ULM (Sun Belt),12,4-8,51,24,16,6,46,0.902
Massachusetts (FBS Independent),12,4-8,52,22,14,11,47,0.904
North Texas (C-USA),14,9-5,54,29,10,10,49,0.907
Texas A&M (SEC),13,7-6,54,17,21,11,49,0.907
Missouri (SEC),13,7-6,45,18,12,11,41,0.911
UTEP (C-USA),12,0-12,51,28,14,5,47,0.922
Arkansas (SEC),12,4-8,52,21,13,14,48,0.923
Rice (C-USA),12,1-11,49,25,12,9,46,0.939
Rutgers (Big Ten),12,4-8,49,19,12,15,46,0.939
New Mexico (Mountain West),12,3-9,38,14,16,6,36,0.947
Georgia Tech (ACC),11,5-6,37,13,9,14,36,0.973
Liberty (Independent),11,6-5,30,16,6,3,25,0.833
Coastal Carolina (Sun Belt),12,3-9,54,24,15,8,47,0.870
