Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Duke (ACC),13,7-6,42,37,0,0,18,1,345,26.5
Colorado (Pac-12),12,5-7,38,36,1,0,17,0,317,26.4
Eastern Mich. (MAC),12,5-7,39,34,0,0,15,0,313,26.1
North Carolina (ACC),12,3-9,41,37,1,0,9,0,312,26.0
Nebraska (Big Ten),12,4-8,39,37,0,0,12,1,309,25.8
Boston College (ACC),13,7-6,43,40,0,0,12,0,334,25.7
FIU (C-USA),13,8-5,41,40,0,0,15,1,333,25.6
Kentucky (SEC),13,7-6,38,36,1,0,22,0,332,25.5
Middle Tenn. (C-USA),13,7-6,41,39,0,0,15,1,332,25.5
Western Ky. (C-USA),13,6-7,43,39,2,0,10,0,331,25.5
Bowling Green (MAC),12,2-10,36,32,1,0,18,0,304,25.3
Purdue (Big Ten),13,7-6,40,35,1,0,17,0,328,25.2
Michigan (Big Ten),13,8-5,39,35,0,0,19,1,328,25.2
Temple (AAC),13,7-6,39,33,1,0,19,0,326,25.1
East Carolina (AAC),12,3-9,36,35,0,0,16,0,299,24.9
Vanderbilt (SEC),12,5-7,41,40,0,0,3,0,295,24.6
Michigan St. (Big Ten),13,10-3,39,38,1,0,15,0,319,24.5
Miami (OH) (MAC),12,5-7,37,35,0,0,12,0,293,24.4
Baylor (Big 12),12,1-11,33,30,1,0,20,1,292,24.3
South Carolina (SEC),13,9-4,39,36,0,0,15,0,315,24.2
Maryland (Big Ten),12,4-8,38,37,0,0,8,0,289,24.1
Pittsburgh (ACC),12,5-7,36,34,2,0,11,0,287,23.9
UConn (AAC),12,3-9,36,27,1,0,12,1,283,23.6
UTSA (C-USA),11,6-5,29,25,0,0,20,0,259,23.5
Wyoming (Mountain West),13,8-5,37,36,0,0,15,1,305,23.5
Hawaii (Mountain West),12,3-9,37,33,1,1,4,1,273,22.8
Virginia (ACC),13,6-7,38,37,1,0,8,1,293,22.5
Akron (MAC),14,7-7,42,40,0,0,6,0,310,22.1
Florida (SEC),11,4-7,28,24,0,0,17,0,243,22.1
Minnesota (Big Ten),12,5-7,32,31,0,0,14,0,265,22.1
Cincinnati (AAC),12,4-8,32,24,4,0,9,0,251,20.9
Idaho (Sun Belt),12,4-8,31,29,0,0,12,0,251,20.9
Ga. Southern (Sun Belt),12,2-10,29,27,1,0,15,1,250,20.8
New Mexico (Mountain West),12,3-9,31,28,1,1,10,0,248,20.7
Old Dominion (C-USA),12,5-7,29,27,1,0,15,0,248,20.7
Oregon St. (Pac-12),12,1-11,30,30,0,0,12,1,248,20.7
Georgia St. (Sun Belt),12,7-5,30,28,0,0,12,0,244,20.3
Tennessee (SEC),12,4-8,28,28,0,0,14,0,238,19.8
South Alabama (Sun Belt),12,4-8,27,26,0,0,16,1,238,19.8
Kansas (Big 12),12,1-11,25,23,0,0,17,0,224,18.7
Rutgers (Big Ten),12,4-8,28,27,0,0,7,0,216,18.0
Ball St. (MAC),12,2-10,27,26,0,0,9,0,215,17.9
Texas St. (Sun Belt),12,2-10,26,21,0,0,10,0,207,17.3
BYU (FBS Independent),13,4-9,26,24,0,0,14,0,222,17.1
Rice (C-USA),12,1-11,27,24,0,0,3,0,195,16.3
San Jose St. (Mountain West),13,2-11,24,20,0,0,14,0,206,15.8
Illinois (Big Ten),12,2-10,21,17,2,1,12,0,185,15.4
Charlotte (C-USA),12,1-11,23,16,2,0,4,0,170,14.2
Kent St. (MAC),12,2-10,18,14,1,0,9,1,153,12.8
UTEP (C-USA),12,0-12,19,18,0,0,3,0,141,11.8
Liberty (Independent),11,6-5,46,38,1,0,14,0,358,32.5
Coastal Carolina (Sun Belt),12,3-9,35,30,3,1,12,0,284,23.7
