Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Colorado (Pac-12),12,5-7,73,173,0.422
Arizona St. (Pac-12),13,7-6,76,180,0.422
Air Force (Mountain West),12,5-7,60,142,0.423
Navy (AAC),13,7-6,68,160,0.425
South Alabama (Sun Belt),12,4-8,72,169,0.426
SMU (AAC),13,7-6,78,182,0.429
Nebraska (Big Ten),12,4-8,62,144,0.431
Cincinnati (AAC),12,4-8,77,178,0.433
Missouri (SEC),13,7-6,92,212,0.434
Stanford (Pac-12),14,9-5,83,191,0.435
Western Ky. (C-USA),13,6-7,83,191,0.435
Charlotte (C-USA),12,1-11,71,163,0.436
Illinois (Big Ten),12,2-10,76,174,0.437
UNLV (Mountain West),12,5-7,70,160,0.438
North Texas (C-USA),14,9-5,93,212,0.439
Colorado St. (Mountain West),13,7-6,79,179,0.441
California (Pac-12),12,5-7,80,181,0.442
Nevada (Mountain West),12,3-9,77,174,0.443
Tulsa (AAC),12,2-10,70,158,0.443
Tulane (AAC),12,5-7,67,151,0.444
Tennessee (SEC),12,4-8,75,166,0.452
Old Dominion (C-USA),12,5-7,84,185,0.454
San Jose St. (Mountain West),13,2-11,94,207,0.454
Memphis (AAC),13,10-3,98,215,0.456
ULM (Sun Belt),12,4-8,69,150,0.460
Ball St. (MAC),12,2-10,69,148,0.466
Arizona (Pac-12),13,7-6,92,197,0.467
UConn (AAC),12,3-9,85,179,0.475
Arkansas (SEC),12,4-8,77,162,0.475
Bowling Green (MAC),12,2-10,77,161,0.478
Louisiana (Sun Belt),12,5-7,82,169,0.485
Rice (C-USA),12,1-11,69,142,0.486
Hawaii (Mountain West),12,3-9,80,164,0.488
Maryland (Big Ten),12,4-8,92,186,0.495
UTEP (C-USA),12,0-12,84,162,0.519
East Carolina (AAC),12,3-9,78,150,0.520
Oregon St. (Pac-12),12,1-11,83,156,0.532
Liberty (Independent),11,6-5,54,159,0.340
Coastal Carolina (Sun Belt),12,3-9,77,160,0.481
