Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Louisiana Tech (C-USA),13,7-6,495,2242,4.53,22,172.5
Utah St. (Mountain West),13,6-7,485,2228,4.59,24,171.4
Duke (ACC),13,7-6,547,2228,4.07,22,171.4
ULM (Sun Belt),12,4-8,459,2044,4.45,27,170.3
Penn St. (Big Ten),13,11-2,451,2212,4.90,36,170.2
Hawaii (Mountain West),12,3-9,420,2018,4.80,15,168.2
Arkansas (SEC),12,4-8,462,2016,4.36,24,168.0
Michigan St. (Big Ten),13,10-3,547,2182,3.99,18,167.8
Houston (AAC),12,7-5,446,2002,4.49,25,166.8
Charlotte (C-USA),12,1-11,428,1995,4.66,13,166.3
Utah (Pac-12),13,7-6,526,2132,4.05,22,164.0
Old Dominion (C-USA),12,5-7,461,1967,4.27,17,163.9
North Texas (C-USA),14,9-5,517,2285,4.42,28,163.2
Kentucky (SEC),13,7-6,488,2102,4.31,27,161.7
Maryland (Big Ten),12,4-8,436,1940,4.45,19,161.7
Syracuse (ACC),12,4-8,479,1938,4.05,16,161.5
Miami (FL) (ACC),13,10-3,414,2090,5.05,19,160.8
FIU (C-USA),13,8-5,494,2069,4.19,20,159.2
Ball St. (MAC),12,2-10,497,1896,3.81,15,158.0
Colorado (Pac-12),12,5-7,499,1886,3.78,17,157.2
Florida (SEC),11,4-7,400,1720,4.30,15,156.4
Florida St. (ACC),13,7-6,463,2024,4.37,18,155.7
Texas A&M (SEC),13,7-6,506,2023,4.00,26,155.6
Fresno St. (Mountain West),14,10-4,515,2170,4.21,22,155.0
Arkansas St. (Sun Belt),12,7-5,463,1831,3.95,17,152.6
Kent St. (MAC),12,2-10,520,1830,3.52,10,152.5
Bowling Green (MAC),12,2-10,430,1820,4.23,13,151.7
Purdue (Big Ten),13,7-6,447,1970,4.41,12,151.5
West Virginia (Big 12),13,7-6,460,1954,4.25,18,150.3
Troy (Sun Belt),13,11-2,412,1937,4.70,30,149.0
Pittsburgh (ACC),12,5-7,460,1782,3.87,21,148.5
Rutgers (Big Ten),12,4-8,436,1765,4.05,19,147.1
UConn (AAC),12,3-9,486,1752,3.60,17,146.0
Miami (OH) (MAC),12,5-7,445,1751,3.93,12,145.9
North Carolina (ACC),12,3-9,427,1730,4.05,17,144.2
Boise St. (Mountain West),14,11-3,532,2009,3.78,25,143.5
Middle Tenn. (C-USA),13,7-6,427,1850,4.33,15,142.3
Buffalo (MAC),12,6-6,428,1693,3.96,18,141.1
Texas Tech (Big 12),13,6-7,459,1832,3.99,19,140.9
Marshall (C-USA),13,8-5,455,1823,4.01,14,140.2
Texas (Big 12),13,7-6,507,1815,3.58,24,139.6
Iowa (Big Ten),13,8-5,481,1810,3.76,17,139.2
Oregon St. (Pac-12),12,1-11,411,1650,4.01,18,137.5
Temple (AAC),13,7-6,461,1773,3.85,15,136.4
Massachusetts (FBS Independent),12,4-8,418,1624,3.89,19,135.3
Cincinnati (AAC),12,4-8,371,1624,4.38,11,135.3
Texas St. (Sun Belt),12,2-10,480,1609,3.35,11,134.1
Central Mich. (MAC),13,8-5,454,1743,3.84,19,134.1
Ole Miss (SEC),12,6-6,370,1607,4.34,19,133.9
BYU (FBS Independent),13,4-9,404,1697,4.20,12,130.5
Indiana (Big Ten),12,5-7,449,1561,3.48,11,130.1
Eastern Mich. (MAC),12,5-7,422,1555,3.68,14,129.6
Nevada (Mountain West),12,3-9,362,1526,4.22,12,127.2
California (Pac-12),12,5-7,416,1507,3.62,17,125.6
Idaho (Sun Belt),12,4-8,446,1495,3.35,10,124.6
South Carolina (SEC),13,9-4,405,1588,3.92,16,122.2
San Jose St. (Mountain West),13,2-11,483,1561,3.23,6,120.1
Tennessee (SEC),12,4-8,413,1409,3.41,14,117.4
Georgia St. (Sun Belt),12,7-5,439,1408,3.21,12,117.3
Baylor (Big 12),12,1-11,414,1407,3.40,10,117.3
UCLA (Pac-12),13,6-7,396,1474,3.72,19,113.4
Iowa St. (Big 12),13,8-5,427,1470,3.44,16,113.1
Wyoming (Mountain West),13,8-5,446,1414,3.17,13,108.8
East Carolina (AAC),12,3-9,396,1292,3.26,10,107.7
Nebraska (Big Ten),12,4-8,368,1290,3.51,13,107.5
Vanderbilt (SEC),12,5-7,348,1286,3.70,14,107.2
New Mexico St. (Independent),13,7-6,357,1388,3.89,18,106.8
Illinois (Big Ten),12,2-10,386,1267,3.28,11,105.6
Akron (MAC),14,7-7,459,1475,3.21,14,105.4
Kansas (Big 12),12,1-11,391,1231,3.15,11,102.6
South Alabama (Sun Belt),12,4-8,375,1167,3.11,10,97.3
UTEP (C-USA),12,0-12,346,1147,3.32,9,95.6
Virginia (ACC),13,6-7,389,1216,3.13,10,93.5
Washington St. (Pac-12),13,9-4,303,884,2.92,8,68.0
Western Ky. (C-USA),13,6-7,391,791,2.02,15,60.8
Coastal Carolina (Sun Belt),12,3-9,446,1875,4.20,15,156.3
Liberty (Independent),11,6-5,386,1532,3.97,15,139.3
