Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Illinois (Big Ten),12,2-10,548,2622,4.78,27,218.5
Air Force (Mountain West),12,5-7,451,2674,5.93,31,222.8
ULM (Sun Belt),12,4-8,499,2793,5.60,32,232.8
UTEP (C-USA),12,0-12,520,2812,5.41,32,234.3
Oregon St. (Pac-12),12,1-11,515,2829,5.49,35,235.8
Louisiana (Sun Belt),12,5-7,537,2839,5.29,39,236.6
UNLV (Mountain West),12,5-7,530,2872,5.42,32,239.3
Ole Miss (SEC),12,6-6,550,2944,5.35,29,245.3
East Carolina (AAC),12,3-9,501,2946,5.88,36,245.5
Tennessee (SEC),12,4-8,555,3015,5.43,29,251.3
Bowling Green (MAC),12,2-10,544,3039,5.59,35,253.3
Tulsa (AAC),12,2-10,543,3180,5.86,32,265.0
San Jose St. (Mountain West),13,2-11,686,3710,5.41,40,285.4
UCLA (Pac-12),13,6-7,649,3736,5.76,35,287.4
Coastal Carolina (Sun Belt),12,3-9,469,2034,4.34,28,169.5
Liberty (Independent),11,6-5,446,2475,5.55,26,225.0
