Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Colorado (Pac-12),12,5-7,189,79,0.418
Vanderbilt (SEC),12,5-7,168,70,0.417
UTSA (C-USA),11,6-5,154,64,0.416
Buffalo (MAC),12,6-6,169,70,0.414
Temple (AAC),13,7-6,198,82,0.414
LSU (SEC),13,9-4,174,72,0.414
UCLA (Pac-12),13,6-7,182,75,0.412
East Carolina (AAC),12,3-9,199,82,0.412
Ohio (MAC),13,9-4,163,67,0.411
Southern California (Pac-12),14,11-3,190,78,0.411
Oregon (Pac-12),13,7-6,178,73,0.410
Virginia Tech (ACC),13,9-4,211,86,0.408
UNLV (Mountain West),12,5-7,172,70,0.407
Louisiana Tech (C-USA),13,7-6,182,74,0.407
Alabama (SEC),14,13-1,178,72,0.404
California (Pac-12),12,5-7,193,78,0.404
App State (Sun Belt),13,9-4,176,71,0.403
Oregon St. (Pac-12),12,1-11,164,66,0.402
Tulane (AAC),12,5-7,163,65,0.399
UConn (AAC),12,3-9,191,76,0.398
Nevada (Mountain West),12,3-9,166,66,0.398
Syracuse (ACC),12,4-8,224,89,0.397
Wake Forest (ACC),13,8-5,194,77,0.397
Fla. Atlantic (C-USA),14,11-3,184,73,0.397
Western Mich. (MAC),12,6-6,177,70,0.395
Akron (MAC),14,7-7,203,80,0.394
Kentucky (SEC),13,7-6,168,66,0.393
Iowa St. (Big 12),13,8-5,186,73,0.392
Virginia (ACC),13,6-7,209,82,0.392
Duke (ACC),13,7-6,209,82,0.392
NIU (MAC),13,8-5,204,80,0.392
Toledo (MAC),14,11-3,179,70,0.391
Cincinnati (AAC),12,4-8,172,67,0.390
Ball St. (MAC),12,2-10,203,79,0.389
Rice (C-USA),12,1-11,147,57,0.388
Boston College (ACC),13,7-6,221,85,0.385
Hawaii (Mountain West),12,3-9,167,64,0.383
Ole Miss (SEC),12,6-6,155,59,0.381
Texas (Big 12),13,7-6,226,86,0.381
Texas A&M (SEC),13,7-6,205,78,0.380
South Carolina (SEC),13,9-4,171,65,0.380
Indiana (Big Ten),12,5-7,211,80,0.379
Middle Tenn. (C-USA),13,7-6,178,67,0.376
Nebraska (Big Ten),12,4-8,181,68,0.376
Miami (OH) (MAC),12,5-7,168,63,0.375
Southern Miss. (C-USA),13,8-5,193,72,0.373
Bowling Green (MAC),12,2-10,176,64,0.364
Louisiana (Sun Belt),12,5-7,164,59,0.360
BYU (FBS Independent),13,4-9,179,64,0.358
Pittsburgh (ACC),12,5-7,168,60,0.357
Fresno St. (Mountain West),14,10-4,191,68,0.356
Northwestern (Big Ten),13,10-3,203,72,0.355
Idaho (Sun Belt),12,4-8,181,64,0.354
Utah (Pac-12),13,7-6,176,62,0.352
Florida St. (ACC),13,7-6,162,57,0.352
Ga. Southern (Sun Belt),12,2-10,191,67,0.351
Massachusetts (FBS Independent),12,4-8,173,60,0.347
Eastern Mich. (MAC),12,5-7,174,60,0.345
Old Dominion (C-USA),12,5-7,180,62,0.344
Iowa (Big Ten),13,8-5,180,62,0.344
Utah St. (Mountain West),13,6-7,201,69,0.343
Texas St. (Sun Belt),12,2-10,181,61,0.337
Kansas St. (Big 12),13,8-5,152,51,0.336
Minnesota (Big Ten),12,5-7,158,53,0.335
Illinois (Big Ten),12,2-10,173,58,0.335
West Virginia (Big 12),13,7-6,185,62,0.335
Purdue (Big Ten),13,7-6,186,62,0.333
Wyoming (Mountain West),13,8-5,181,60,0.331
Baylor (Big 12),12,1-11,186,61,0.328
Michigan (Big Ten),13,8-5,190,62,0.326
Florida (SEC),11,4-7,157,51,0.325
Rutgers (Big Ten),12,4-8,162,52,0.321
North Carolina (ACC),12,3-9,165,51,0.309
Tennessee (SEC),12,4-8,163,50,0.307
South Alabama (Sun Belt),12,4-8,163,50,0.307
San Jose St. (Mountain West),13,2-11,190,58,0.305
Central Mich. (MAC),13,8-5,184,56,0.304
New Mexico (Mountain West),12,3-9,163,49,0.301
Kansas (Big 12),12,1-11,201,58,0.289
Miami (FL) (ACC),13,10-3,163,47,0.288
Kent St. (MAC),12,2-10,174,50,0.287
Maryland (Big Ten),12,4-8,161,46,0.286
UTEP (C-USA),12,0-12,160,43,0.269
Charlotte (C-USA),12,1-11,173,45,0.260
Liberty (Independent),11,6-5,171,75,0.439
Coastal Carolina (Sun Belt),12,3-9,153,55,0.359
