Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
UCLA (Pac-12),13,6-7,64,26,246,77,5.9
LSU (SEC),13,9-4,54,46,309,77,5.9
Minnesota (Big Ten),12,5-7,60,22,247,71,5.9
Boston College (ACC),13,7-6,58,36,284,76,5.8
UCF (AAC),13,13-0,59,34,305,76,5.8
Eastern Mich. (MAC),12,5-7,51,38,301,70,5.8
Auburn (SEC),14,10-4,65,32,341,81,5.8
Ohio (MAC),13,9-4,52,46,276,75,5.8
FIU (C-USA),13,8-5,72,6,272,75,5.8
Ball St. (MAC),12,2-10,49,40,261,69,5.8
Hawaii (Mountain West),12,3-9,57,24,268,69,5.8
Boise St. (Mountain West),14,11-3,68,22,302,79,5.6
Arizona (Pac-12),13,7-6,58,30,299,73,5.6
California (Pac-12),12,5-7,55,24,328,67,5.6
Syracuse (ACC),12,4-8,54,26,224,67,5.6
Ga. Southern (Sun Belt),12,2-10,52,29,195,67,5.5
North Texas (C-USA),14,9-5,60,32,269,76,5.4
UConn (AAC),12,3-9,59,12,238,65,5.4
Virginia (ACC),13,6-7,52,36,285,70,5.4
Oklahoma (Big 12),14,12-2,58,34,330,75,5.4
Toledo (MAC),14,11-3,57,36,248,75,5.4
Western Ky. (C-USA),13,6-7,48,42,188,69,5.3
Akron (MAC),14,7-7,56,36,282,74,5.3
Stanford (Pac-12),14,9-5,54,38,321,73,5.2
ULM (Sun Belt),12,4-8,50,25,219,63,5.2
South Carolina (SEC),13,9-4,57,20,278,67,5.2
Colorado St. (Mountain West),13,7-6,50,34,270,67,5.2
Louisiana (Sun Belt),12,5-7,47,29,313,62,5.1
Tennessee (SEC),12,4-8,49,24,217,61,5.1
Utah St. (Mountain West),13,6-7,55,22,249,66,5.1
San Jose St. (Mountain West),13,2-11,58,14,200,65,5.0
Utah (Pac-12),13,7-6,55,20,277,65,5.0
Kansas St. (Big 12),13,8-5,58,14,237,65,5.0
Michigan St. (Big Ten),13,10-3,44,42,239,65,5.0
Iowa (Big Ten),13,8-5,52,24,247,64,4.9
New Mexico (Mountain West),12,3-9,48,22,250,59,4.9
Maryland (Big Ten),12,4-8,49,20,187,59,4.9
Louisiana Tech (C-USA),13,7-6,53,20,244,63,4.8
Kentucky (SEC),13,7-6,53,20,279,63,4.8
Tulsa (AAC),12,2-10,49,18,207,58,4.8
Tulane (AAC),12,5-7,51,14,182,58,4.8
Cincinnati (AAC),12,4-8,47,22,202,58,4.8
Miami (OH) (MAC),12,5-7,39,34,198,56,4.7
Pittsburgh (ACC),12,5-7,48,16,230,56,4.7
Texas St. (Sun Belt),12,2-10,46,20,209,56,4.7
UTEP (C-USA),12,0-12,39,32,168,55,4.6
Navy (AAC),13,7-6,44,30,204,59,4.5
Georgia St. (Sun Belt),12,7-5,42,24,224,54,4.5
Colorado (Pac-12),12,5-7,47,14,200,54,4.5
Bowling Green (MAC),12,2-10,41,26,181,54,4.5
San Diego St. (Mountain West),13,10-3,49,18,291,58,4.5
UNLV (Mountain West),12,5-7,44,18,219,53,4.4
Illinois (Big Ten),12,2-10,38,30,194,53,4.4
Buffalo (MAC),12,6-6,45,16,213,53,4.4
Georgia Tech (ACC),11,5-6,43,8,222,47,4.3
BYU (FBS Independent),13,4-9,43,24,194,55,4.2
South Alabama (Sun Belt),12,4-8,37,26,220,50,4.2
Rutgers (Big Ten),12,4-8,33,34,157,50,4.2
Oregon St. (Pac-12),12,1-11,40,20,190,50,4.2
Charlotte (C-USA),12,1-11,35,30,159,50,4.2
Texas Tech (Big 12),13,6-7,46,16,231,54,4.2
Arkansas (SEC),12,4-8,39,18,190,48,4.0
Army West Point (FBS Independent),13,10-3,40,22,280,51,3.9
Air Force (Mountain West),12,5-7,40,12,166,46,3.8
Nebraska (Big Ten),12,4-8,32,24,167,44,3.7
East Carolina (AAC),12,3-9,29,20,148,39,3.3
Coastal Carolina (Sun Belt),12,3-9,50,30,230,65,5.4
Liberty (Independent),11,6-5,29,26,149,42,3.8
