Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Oklahoma (Big 12),14,12-2,10,8,18,7,6,13,5,0.36
Wisconsin (Big Ten),14,13-1,9,20,29,9,15,24,5,0.36
California (Pac-12),12,5-7,10,14,24,8,12,20,4,0.33
UNLV (Mountain West),12,5-7,12,7,19,6,9,15,4,0.33
SMU (AAC),13,7-6,11,12,23,6,13,19,4,0.31
Purdue (Big Ten),13,7-6,11,10,21,6,11,17,4,0.31
UAB (C-USA),13,8-5,5,14,19,10,5,15,4,0.31
Clemson (ACC),14,12-2,6,14,20,7,9,16,4,0.29
Georgia (SEC),15,13-2,8,12,20,7,9,16,4,0.27
Massachusetts (FBS Independent),12,4-8,7,13,20,11,6,17,3,0.25
Arizona (Pac-12),13,7-6,6,19,25,9,13,22,3,0.23
Kentucky (SEC),13,7-6,7,11,18,8,7,15,3,0.23
Texas A&M (SEC),13,7-6,12,10,22,7,12,19,3,0.23
Oklahoma St. (Big 12),13,10-3,7,17,24,11,10,21,3,0.23
Michigan St. (Big Ten),13,10-3,9,14,23,12,8,20,3,0.23
Notre Dame (FBS Independent),13,10-3,10,10,20,7,10,17,3,0.23
TCU (Big 12),14,11-3,7,13,20,9,8,17,3,0.21
South Alabama (Sun Belt),12,4-8,12,8,20,4,14,18,2,0.17
Maryland (Big Ten),12,4-8,6,10,16,6,8,14,2,0.17
Idaho (Sun Belt),12,4-8,9,9,18,9,7,16,2,0.17
Louisville (ACC),13,8-5,10,13,23,11,10,21,2,0.15
Colorado St. (Mountain West),13,7-6,6,12,18,6,10,16,2,0.15
Arizona St. (Pac-12),13,7-6,6,11,17,6,9,15,2,0.15
Buffalo (MAC),12,6-6,6,8,14,7,6,13,1,0.08
Hawaii (Mountain West),12,3-9,6,9,15,6,8,14,1,0.08
Tulsa (AAC),12,2-10,7,7,14,5,8,13,1,0.08
Utah (Pac-12),13,7-6,13,14,27,12,14,26,1,0.08
Toledo (MAC),14,11-3,5,15,20,10,9,19,1,0.07
Pittsburgh (ACC),12,5-7,7,9,16,8,8,16,0,0.00
Oregon (Pac-12),13,7-6,10,15,25,13,12,25,0,0.00
Minnesota (Big Ten),12,5-7,10,8,18,7,11,18,0,0.00
Central Mich. (MAC),13,8-5,12,19,31,14,17,31,0,0.00
Ga. Southern (Sun Belt),12,2-10,6,14,20,13,7,20,0,0.00
Colorado (Pac-12),12,5-7,6,8,14,5,9,14,0,0.00
Duke (ACC),13,7-6,4,15,19,7,12,19,0,0.00
Auburn (SEC),14,10-4,13,6,19,14,6,20,-1,-0.07
Virginia (ACC),13,6-7,3,15,18,8,11,19,-1,-0.08
Mississippi St. (SEC),13,9-4,8,13,21,8,14,22,-1,-0.08
Southern Miss. (C-USA),13,8-5,9,9,18,12,7,19,-1,-0.08
Louisiana (Sun Belt),12,5-7,6,9,15,4,12,16,-1,-0.08
Arkansas (SEC),12,4-8,9,8,17,9,9,18,-1,-0.08
Miami (OH) (MAC),12,5-7,6,11,17,7,11,18,-1,-0.08
Bowling Green (MAC),12,2-10,15,9,24,13,12,25,-1,-0.08
Arkansas St. (Sun Belt),12,7-5,10,14,24,8,17,25,-1,-0.08
Southern California (Pac-12),14,11-3,9,16,25,14,13,27,-2,-0.14
NIU (MAC),13,8-5,7,15,22,13,11,24,-2,-0.15
New Mexico St. (Independent),13,7-6,11,16,27,7,22,29,-2,-0.15
Houston (AAC),12,7-5,6,15,21,11,12,23,-2,-0.17
Nevada (Mountain West),12,3-9,11,8,19,6,15,21,-2,-0.17
Washington St. (Pac-12),13,9-4,13,15,28,11,20,31,-3,-0.23
FIU (C-USA),13,8-5,11,7,18,11,10,21,-3,-0.23
Navy (AAC),13,7-6,9,7,16,9,10,19,-3,-0.23
Tennessee (SEC),12,4-8,10,5,15,8,10,18,-3,-0.25
Florida (SEC),11,4-7,3,14,17,10,10,20,-3,-0.27
Ohio (MAC),13,9-4,8,9,17,12,9,21,-4,-0.31
Michigan (Big Ten),13,8-5,7,10,17,11,10,21,-4,-0.31
Temple (AAC),13,7-6,8,10,18,7,15,22,-4,-0.31
Eastern Mich. (MAC),12,5-7,10,8,18,7,15,22,-4,-0.33
ULM (Sun Belt),12,4-8,5,9,14,9,9,18,-4,-0.33
Georgia St. (Sun Belt),12,7-5,7,10,17,12,9,21,-4,-0.33
Old Dominion (C-USA),12,5-7,8,8,16,6,14,20,-4,-0.33
Vanderbilt (SEC),12,5-7,2,7,9,4,10,14,-5,-0.42
Cincinnati (AAC),12,4-8,6,5,11,7,9,16,-5,-0.42
Ole Miss (SEC),12,6-6,5,8,13,5,13,18,-5,-0.42
Rutgers (Big Ten),12,4-8,3,12,15,9,11,20,-5,-0.42
Georgia Tech (ACC),11,5-6,4,6,10,10,5,15,-5,-0.45
Florida St. (ACC),13,7-6,6,9,15,8,13,21,-6,-0.46
North Carolina (ACC),12,3-9,9,7,16,6,16,22,-6,-0.50
UTEP (C-USA),12,0-12,8,6,14,6,14,20,-6,-0.50
West Virginia (Big 12),13,7-6,8,11,19,12,14,26,-7,-0.54
Indiana (Big Ten),12,5-7,8,5,13,7,13,20,-7,-0.58
Illinois (Big Ten),12,2-10,10,9,19,7,19,26,-7,-0.58
Nebraska (Big Ten),12,4-8,3,9,12,2,17,19,-7,-0.58
Kent St. (MAC),12,2-10,7,12,19,11,15,26,-7,-0.58
Marshall (C-USA),13,8-5,9,6,15,9,14,23,-8,-0.62
Western Ky. (C-USA),13,6-7,5,10,15,13,10,23,-8,-0.62
Missouri (SEC),13,7-6,5,12,17,11,14,25,-8,-0.62
UConn (AAC),12,3-9,5,6,11,8,11,19,-8,-0.67
UCLA (Pac-12),13,6-7,5,8,13,12,10,22,-9,-0.69
Ball St. (MAC),12,2-10,6,6,12,7,14,21,-9,-0.75
Charlotte (C-USA),12,1-11,9,2,11,4,16,20,-9,-0.75
BYU (FBS Independent),13,4-9,9,8,17,8,19,27,-10,-0.77
North Texas (C-USA),14,9-5,8,8,16,12,15,27,-11,-0.79
East Carolina (AAC),12,3-9,4,7,11,5,16,21,-10,-0.83
Air Force (Mountain West),12,5-7,5,5,10,14,6,20,-10,-0.83
Middle Tenn. (C-USA),13,7-6,6,5,11,6,17,23,-12,-0.92
Syracuse (ACC),12,4-8,8,4,12,8,16,24,-12,-1.00
Baylor (Big 12),12,1-11,8,3,11,11,14,25,-14,-1.17
Oregon St. (Pac-12),12,1-11,7,7,14,16,12,28,-14,-1.17
Texas St. (Sun Belt),12,2-10,9,0,9,14,10,24,-15,-1.25
New Mexico (Mountain West),12,3-9,7,6,13,15,14,29,-16,-1.33
Kansas (Big 12),12,1-11,5,4,9,9,17,26,-17,-1.42
Rice (C-USA),12,1-11,3,3,6,13,16,29,-23,-1.92
San Jose St. (Mountain West),13,2-11,10,6,16,22,20,42,-26,-2.00
Liberty (Independent),11,6-5,5,12,17,7,7,14,3,0.27
Coastal Carolina (Sun Belt),12,3-9,6,5,11,7,11,18,-7,-0.58
