Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
New Mexico (Mountain West),12,3-9,222,373,2887,28,7.74,13.00,240.6
Oregon (Pac-12),13,7-6,256,465,3128,25,6.73,12.22,240.6
West Virginia (Big 12),13,7-6,234,405,3138,24,7.75,13.41,241.4
Arkansas St. (Sun Belt),12,7-5,204,397,2897,18,7.30,14.20,241.4
Arkansas (SEC),12,4-8,205,346,2906,23,8.40,14.18,242.2
Purdue (Big Ten),13,7-6,248,437,3153,21,7.22,12.71,242.5
Colorado (Pac-12),12,5-7,227,407,2911,17,7.15,12.82,242.6
FIU (C-USA),13,8-5,273,418,3167,24,7.58,11.60,243.6
Colorado St. (Mountain West),13,7-6,237,418,3179,21,7.61,13.41,244.5
Syracuse (ACC),12,4-8,232,381,2968,19,7.79,12.79,247.3
Hawaii (Mountain West),12,3-9,213,334,2983,29,8.93,14.00,248.6
Charlotte (C-USA),12,1-11,255,369,2985,18,8.09,11.71,248.8
Northwestern (Big Ten),13,10-3,283,495,3244,18,6.55,11.46,249.5
Georgia St. (Sun Belt),12,7-5,256,406,3017,23,7.43,11.79,251.4
Kentucky (SEC),13,7-6,274,427,3271,21,7.66,11.94,251.6
NC State (ACC),13,9-4,261,463,3292,22,7.11,12.61,253.2
Bowling Green (MAC),12,2-10,221,376,3040,22,8.09,13.76,253.3
Pittsburgh (ACC),12,5-7,216,391,3050,24,7.80,14.12,254.2
Missouri (SEC),13,7-6,263,441,3308,20,7.50,12.58,254.5
Louisiana (Sun Belt),12,5-7,236,362,3073,21,8.49,13.02,256.1
Texas (Big 12),13,7-6,261,454,3364,17,7.41,12.89,258.8
Ohio (MAC),13,9-4,280,496,3395,25,6.84,12.13,261.2
Nevada (Mountain West),12,3-9,240,359,3157,24,8.79,13.15,263.1
Tulsa (AAC),12,2-10,213,325,3167,24,9.74,14.87,263.9
California (Pac-12),12,5-7,267,413,3190,18,7.72,11.95,265.8
South Alabama (Sun Belt),12,4-8,262,421,3191,21,7.58,12.18,265.9
Baylor (Big 12),12,1-11,255,386,3204,25,8.30,12.56,267.0
UCF (AAC),13,13-0,261,471,3485,24,7.40,13.35,268.1
Oklahoma St. (Big 12),13,10-3,265,460,3492,19,7.59,13.18,268.6
SMU (AAC),13,7-6,247,394,3497,26,8.88,14.16,269.0
Wake Forest (ACC),13,8-5,296,522,3530,20,6.76,11.93,271.5
Houston (AAC),12,7-5,295,473,3291,10,6.96,11.16,274.3
Arizona St. (Pac-12),13,7-6,289,459,3574,20,7.79,12.37,274.9
Memphis (AAC),13,10-3,283,486,3667,31,7.55,12.96,282.1
Texas Tech (Big 12),13,6-7,321,510,3668,33,7.19,11.43,282.2
Arizona (Pac-12),13,7-6,307,493,3719,25,7.54,12.11,286.1
East Carolina (AAC),12,3-9,227,341,3554,31,10.42,15.66,296.2
Kansas (Big 12),12,1-11,265,382,3561,31,9.32,13.44,296.8
Texas St. (Sun Belt),12,2-10,250,397,3567,21,8.98,14.27,297.3
ULM (Sun Belt),12,4-8,236,381,3592,32,9.43,15.22,299.3
Kansas St. (Big 12),13,8-5,327,526,4018,23,7.64,12.29,309.1
UConn (AAC),12,3-9,318,473,4007,34,8.47,12.60,333.9
Liberty (Independent),11,6-5,170,317,2459,17,7.76,14.46,223.5
Coastal Carolina (Sun Belt),12,3-9,219,346,2895,20,8.37,13.22,241.3
