Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Navy (AAC),14,9-5,5,63,0,12.60
Tennessee (SEC),13,9-4,12,152,1,12.67
Colorado (Pac-12),14,10-4,26,341,3,13.12
San Jose St. (Mountain West),12,4-8,23,308,0,13.39
Mississippi St. (SEC),13,6-7,9,133,1,14.78
NC State (ACC),13,7-6,9,134,0,14.89
Louisiana Tech (CUSA),14,9-5,12,180,1,15.00
Notre Dame (FBS Independent),12,4-8,21,316,2,15.05
New Mexico St. (Sun Belt),12,3-9,30,471,4,15.70
Utah St. (Mountain West),12,3-9,10,165,1,16.50
Old Dominion (CUSA),13,10-3,8,133,0,16.63
Florida St. (ACC),13,10-3,15,279,1,18.60
Louisiana (Sun Belt),13,6-7,8,195,1,24.38
Coastal Carolina (FBS Independent),12,10-2,9,51,0,5.67
