Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Colorado St. (Mountain West),13,7-6,10,22,0.455
Nebraska (Big Ten),13,9-4,12,26,0.462
Minnesota (Big Ten),13,9-4,12,26,0.462
Toledo (MAC),13,9-4,7,15,0.467
Texas (Big 12),12,5-7,8,17,0.471
New Mexico St. (Sun Belt),12,3-9,8,17,0.471
Louisville (ACC),13,9-4,9,19,0.474
Virginia Tech (ACC),14,10-4,10,21,0.476
Old Dominion (CUSA),13,10-3,17,35,0.486
Washington (Pac-12),14,12-2,18,37,0.486
Utah (Pac-12),13,9-4,6,12,0.500
Temple (AAC),14,10-4,11,22,0.500
Hawaii (Mountain West),14,7-7,11,22,0.500
Miami (OH) (MAC),13,6-7,11,22,0.500
Charlotte (CUSA),12,4-8,10,20,0.500
Oregon St. (Pac-12),12,4-8,12,23,0.522
Notre Dame (FBS Independent),12,4-8,12,23,0.522
Auburn (SEC),13,8-5,12,23,0.522
Rutgers (Big Ten),12,2-10,11,21,0.524
Texas Tech (Big 12),12,5-7,11,21,0.524
LSU (SEC),12,8-4,10,19,0.526
Georgia Tech (ACC),13,9-4,10,19,0.526
South Fla. (AAC),13,11-2,18,34,0.529
Syracuse (ACC),12,4-8,9,17,0.529
Tulsa (AAC),13,10-3,17,32,0.531
Virginia (ACC),12,2-10,8,15,0.533
Boise St. (Mountain West),13,10-3,16,30,0.533
Kentucky (SEC),13,7-6,7,13,0.538
Northwestern (Big Ten),13,7-6,14,26,0.538
Troy (Sun Belt),13,10-3,18,33,0.545
Ohio (MAC),14,8-6,11,20,0.550
Idaho (Sun Belt),13,9-4,11,20,0.550
South Alabama (Sun Belt),13,6-7,11,20,0.550
FIU (CUSA),12,4-8,10,18,0.556
Oklahoma (Big 12),13,11-2,15,27,0.556
Western Mich. (MAC),14,13-1,10,18,0.556
TCU (Big 12),13,6-7,10,18,0.556
Arizona St. (Pac-12),12,5-7,9,16,0.563
New Mexico (Mountain West),13,9-4,9,16,0.563
Stanford (Pac-12),13,10-3,16,28,0.571
Bowling Green (MAC),12,4-8,4,7,0.571
Iowa (Big Ten),13,8-5,12,21,0.571
Utah St. (Mountain West),12,3-9,11,19,0.579
South Carolina (SEC),13,6-7,14,24,0.583
Rice (CUSA),12,3-9,10,17,0.588
Akron (MAC),12,5-7,13,22,0.591
UConn (AAC),12,3-9,13,22,0.591
Massachusetts (FBS Independent),12,2-10,15,25,0.600
Iowa St. (Big 12),12,3-9,9,15,0.600
Southern California (Pac-12),13,10-3,15,25,0.600
Marshall (CUSA),12,3-9,14,23,0.609
Memphis (AAC),13,8-5,14,23,0.609
SMU (AAC),12,5-7,14,23,0.609
Middle Tenn. (CUSA),13,8-5,25,41,0.610
Cincinnati (AAC),12,4-8,11,18,0.611
Arkansas (SEC),13,7-6,8,13,0.615
Fla. Atlantic (CUSA),12,3-9,8,13,0.615
Ga. Southern (Sun Belt),12,5-7,13,21,0.619
Louisiana Tech (CUSA),14,9-5,15,24,0.625
Kent St. (MAC),12,3-9,10,16,0.625
Indiana (Big Ten),13,6-7,17,27,0.630
NC State (ACC),13,7-6,17,27,0.630
UNLV (Mountain West),12,4-8,12,19,0.632
Baylor (Big 12),13,7-6,14,22,0.636
Nevada (Mountain West),12,5-7,14,22,0.636
UTEP (CUSA),12,4-8,9,14,0.643
Ole Miss (SEC),12,5-7,9,14,0.643
Michigan St. (Big Ten),12,3-9,11,17,0.647
NIU (MAC),12,5-7,10,15,0.667
Navy (AAC),14,9-5,18,27,0.667
North Carolina (ACC),13,8-5,14,21,0.667
Mississippi St. (SEC),13,6-7,19,28,0.679
Purdue (Big Ten),12,3-9,9,13,0.692
Fresno St. (Mountain West),12,1-11,9,13,0.692
Georgia St. (Sun Belt),12,3-9,18,26,0.692
UCLA (Pac-12),12,4-8,14,20,0.700
Texas St. (Sun Belt),12,2-10,10,14,0.714
Eastern Mich. (MAC),13,7-6,12,16,0.750
Pittsburgh (ACC),13,8-5,21,28,0.750
San Jose St. (Mountain West),12,4-8,12,15,0.800
California (Pac-12),12,5-7,9,11,0.818
Coastal Carolina (FBS Independent),12,10-2,12,25,0.480
