Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
BYU (FBS Independent),13,9-4,50,48,282,74,5.7
Ole Miss (SEC),12,5-7,51,34,265,68,5.7
ULM (Sun Belt),12,4-8,56,24,290,68,5.7
Wyoming (Mountain West),14,8-6,68,22,367,79,5.6
New Mexico (Mountain West),13,9-4,58,30,275,73,5.6
North Texas (C-USA),13,5-8,57,32,307,73,5.6
Utah St. (Mountain West),12,3-9,48,38,236,67,5.6
Purdue (Big Ten),12,3-9,56,22,315,67,5.6
Ga. Southern (Sun Belt),12,5-7,54,26,237,67,5.6
Army West Point (FBS Independent),13,8-5,56,32,275,72,5.5
Washington St. (Pac-12),13,8-5,56,32,269,72,5.5
Stanford (Pac-12),13,10-3,55,34,327,72,5.5
Western Mich. (MAC),14,13-1,68,18,274,77,5.5
Akron (MAC),12,5-7,48,36,229,66,5.5
Virginia (ACC),12,2-10,56,20,229,66,5.5
Rutgers (Big Ten),12,2-10,47,38,207,66,5.5
Air Force (Mountain West),13,10-3,57,28,319,71,5.5
Southern California (Pac-12),13,10-3,56,30,315,71,5.5
San Diego St. (Mountain West),14,11-3,64,24,341,76,5.4
Fla. Atlantic (C-USA),12,3-9,46,38,233,65,5.4
UCLA (Pac-12),12,4-8,59,12,210,65,5.4
Central Mich. (MAC),13,6-7,64,12,248,70,5.4
South Carolina (SEC),13,6-7,57,26,300,70,5.4
Kansas St. (Big 12),13,9-4,56,28,311,70,5.4
Kentucky (SEC),13,7-6,54,30,277,69,5.3
Wisconsin (Big Ten),14,11-3,58,32,306,74,5.3
UNLV (Mountain West),12,4-8,49,28,225,63,5.3
Texas St. (Sun Belt),12,2-10,50,26,177,63,5.3
Miami (OH) (MAC),13,6-7,50,36,265,68,5.2
Nebraska (Big Ten),13,9-4,52,32,246,68,5.2
Oklahoma (Big 12),13,11-2,53,30,244,68,5.2
Vanderbilt (SEC),13,6-7,48,40,201,68,5.2
North Carolina (ACC),13,8-5,50,34,294,67,5.2
Oregon (Pac-12),12,4-8,48,26,263,61,5.1
Notre Dame (FBS Independent),12,4-8,51,20,217,61,5.1
Idaho (Sun Belt),13,9-4,64,4,281,66,5.1
Middle Tenn. (C-USA),13,8-5,50,30,254,65,5.0
Arizona (Pac-12),12,3-9,50,18,237,59,4.9
Colorado (Pac-12),14,10-4,61,14,373,68,4.9
Syracuse (ACC),12,4-8,44,28,261,58,4.8
Georgia (SEC),13,8-5,48,28,284,62,4.8
West Virginia (Big 12),13,10-3,56,10,238,61,4.7
Michigan St. (Big Ten),12,3-9,40,32,197,56,4.7
Fresno St. (Mountain West),12,1-11,41,30,190,56,4.7
Eastern Mich. (MAC),13,7-6,39,42,206,60,4.6
Iowa (Big Ten),13,8-5,46,28,247,60,4.6
Bowling Green (MAC),12,4-8,44,22,252,55,4.6
Nevada (Mountain West),12,5-7,49,12,203,55,4.6
UConn (AAC),12,3-9,43,24,186,55,4.6
Arkansas (SEC),13,7-6,36,46,286,59,4.5
East Carolina (AAC),12,3-9,40,26,146,53,4.4
Georgia Tech (ACC),13,9-4,49,16,164,57,4.4
Oregon St. (Pac-12),12,4-8,46,12,177,52,4.3
California (Pac-12),12,5-7,34,34,192,51,4.3
Charlotte (C-USA),12,4-8,36,26,170,49,4.1
Navy (AAC),14,9-5,53,6,249,56,4.0
Texas Tech (Big 12),12,5-7,42,10,147,47,3.9
Georgia St. (Sun Belt),12,3-9,40,12,204,46,3.8
UTEP (C-USA),12,4-8,30,32,175,46,3.8
FIU (C-USA),12,4-8,33,24,155,45,3.8
Coastal Carolina (FBS Independent),12,10-2,50,46,321,73,6.1
