Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
LSU (SEC),12,8-4,33,6,2,19,27,0.818
Oregon St. (Pac-12),12,4-8,44,21,4,11,36,0.818
Tulsa (AAC),13,10-3,50,24,5,12,41,0.820
Missouri (SEC),12,4-8,50,18,13,10,41,0.820
Southern Miss. (C-USA),13,7-6,40,21,7,5,33,0.825
Virginia Tech (ACC),14,10-4,41,18,7,9,34,0.829
South Alabama (Sun Belt),13,6-7,48,21,6,13,40,0.833
Memphis (AAC),13,8-5,48,19,11,10,40,0.833
Rice (C-USA),12,3-9,48,21,8,11,40,0.833
Baylor (Big 12),13,7-6,50,26,4,12,42,0.840
Fresno St. (Mountain West),12,1-11,50,24,10,8,42,0.840
Kent St. (MAC),12,3-9,50,21,11,10,42,0.840
West Virginia (Big 12),13,10-3,50,14,11,17,42,0.840
Alabama (SEC),15,14-1,25,4,8,9,21,0.840
Eastern Mich. (MAC),13,7-6,44,18,12,7,37,0.841
Washington St. (Pac-12),13,8-5,38,16,12,4,32,0.842
NC State (ACC),13,7-6,45,11,11,16,38,0.844
Wyoming (Mountain West),14,8-6,53,23,10,12,45,0.849
South Fla. (AAC),13,11-2,60,24,13,14,51,0.850
Western Ky. (C-USA),14,11-3,47,14,13,13,40,0.851
Toledo (MAC),13,9-4,47,11,16,13,40,0.851
Texas (Big 12),12,5-7,47,17,10,13,40,0.851
San Diego St. (Mountain West),14,11-3,27,9,9,5,23,0.852
Nebraska (Big Ten),13,9-4,34,13,9,7,29,0.853
Ohio (MAC),14,8-6,48,11,16,14,41,0.854
Arkansas (SEC),13,7-6,48,28,7,6,41,0.854
Hawaii (Mountain West),14,7-7,62,21,17,15,53,0.855
Texas Tech (Big 12),12,5-7,62,30,10,13,53,0.855
Akron (MAC),12,5-7,62,20,16,17,53,0.855
Western Mich. (MAC),14,13-1,35,14,7,9,30,0.857
Tulane (AAC),12,4-8,42,16,11,9,36,0.857
Louisiana (Sun Belt),13,6-7,50,17,9,17,43,0.860
Tennessee (SEC),13,9-4,50,20,11,12,43,0.860
North Texas (C-USA),13,5-8,51,22,11,11,44,0.863
UNLV (Mountain West),12,4-8,51,26,10,8,44,0.863
Utah (Pac-12),13,9-4,37,11,12,9,32,0.865
Bowling Green (MAC),12,4-8,46,24,13,3,40,0.870
Nevada (Mountain West),12,5-7,47,22,8,11,41,0.872
Arizona (Pac-12),12,3-9,56,20,22,7,49,0.875
New Mexico St. (Sun Belt),12,3-9,57,23,13,14,50,0.877
Buffalo (MAC),12,2-10,49,23,7,13,43,0.878
UCLA (Pac-12),12,4-8,49,17,8,18,43,0.878
Army West Point (FBS Independent),13,8-5,33,12,8,9,29,0.879
Old Dominion (C-USA),13,10-3,51,24,15,6,45,0.882
Houston (AAC),13,9-4,34,13,6,11,30,0.882
Charlotte (C-USA),12,4-8,60,21,20,12,53,0.883
Louisville (ACC),13,9-4,35,4,18,9,31,0.886
New Mexico (Mountain West),13,9-4,45,21,11,8,40,0.889
East Carolina (AAC),12,3-9,55,27,10,12,49,0.891
ULM (Sun Belt),12,4-8,55,24,10,15,49,0.891
Oregon (Pac-12),12,4-8,65,31,21,6,58,0.892
SMU (AAC),12,5-7,47,22,11,9,42,0.894
Purdue (Big Ten),12,3-9,57,26,14,11,51,0.895
Boise St. (Mountain West),13,10-3,38,10,11,13,34,0.895
Massachusetts (FBS Independent),12,2-10,57,21,15,15,51,0.895
Illinois (Big Ten),12,3-9,57,27,9,15,51,0.895
Penn St. (Big Ten),14,11-3,48,18,11,14,43,0.896
San Jose St. (Mountain West),12,4-8,48,23,9,11,43,0.896
Utah St. (Mountain West),12,3-9,48,17,13,13,43,0.896
Minnesota (Big Ten),13,9-4,39,10,15,10,35,0.897
Iowa St. (Big 12),12,3-9,51,20,13,13,46,0.902
Michigan St. (Big Ten),12,3-9,41,18,10,9,37,0.902
Louisiana Tech (C-USA),14,9-5,62,23,22,11,56,0.903
FIU (C-USA),12,4-8,43,19,11,9,39,0.907
Indiana (Big Ten),13,6-7,43,17,6,16,39,0.907
Georgia (SEC),13,8-5,43,21,11,7,39,0.907
TCU (Big 12),13,6-7,54,20,10,19,49,0.907
UTEP (C-USA),12,4-8,46,17,16,9,42,0.913
Navy (AAC),14,9-5,46,17,12,13,42,0.913
Pittsburgh (ACC),13,8-5,58,22,18,13,53,0.914
Arizona St. (Pac-12),12,5-7,48,16,13,15,44,0.917
Idaho (Sun Belt),13,9-4,49,14,16,15,45,0.918
California (Pac-12),12,5-7,54,23,19,8,50,0.926
Virginia (ACC),12,2-10,41,14,13,11,38,0.927
Fla. Atlantic (C-USA),12,3-9,56,31,11,10,52,0.929
Colorado St. (Mountain West),13,7-6,47,27,9,8,44,0.936
Ball St. (MAC),12,4-8,32,12,10,8,30,0.938
Ole Miss (SEC),12,5-7,48,25,10,10,45,0.938
Texas St. (Sun Belt),12,2-10,61,25,18,16,59,0.967
Coastal Carolina (FBS Independent),12,10-2,28,7,10,4,21,0.750
