Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Duke (ACC),12,4-8,43,41,0,0,13,0,338,28.2
Kent St. (MAC),12,3-9,43,37,2,0,13,3,344,28.7
Oklahoma (Big 12),13,11-2,46,43,1,0,18,0,375,28.8
Tennessee (SEC),13,9-4,48,45,0,0,14,0,375,28.8
Memphis (AAC),13,8-5,49,48,0,0,11,0,375,28.8
Baylor (Big 12),13,7-6,48,45,0,0,14,1,377,29.0
Nevada (Mountain West),12,5-7,44,40,0,0,14,1,348,29.0
Utah St. (Mountain West),12,3-9,43,41,1,0,17,0,352,29.3
Maryland (Big Ten),13,6-7,52,45,0,0,9,0,384,29.5
Southern Miss. (C-USA),13,7-6,50,50,0,0,10,2,384,29.5
Tulsa (AAC),13,10-3,48,44,1,0,18,0,388,29.8
Eastern Mich. (MAC),13,7-6,52,47,1,0,9,0,388,29.8
Ball St. (MAC),12,4-8,46,44,1,0,13,0,361,30.1
Central Mich. (MAC),13,6-7,51,47,1,0,13,0,394,30.3
NIU (MAC),12,5-7,49,46,0,0,8,0,364,30.3
Colorado St. (Mountain West),13,7-6,53,50,0,0,9,0,395,30.4
Oregon St. (Pac-12),12,4-8,45,41,1,0,17,1,366,30.5
Fresno St. (Mountain West),12,1-11,48,45,1,0,12,0,371,30.9
Navy (AAC),14,9-5,54,51,1,0,19,0,434,31.0
Arkansas (SEC),13,7-6,54,51,1,0,9,0,404,31.1
Kentucky (SEC),13,7-6,50,48,1,0,19,0,407,31.3
Idaho (Sun Belt),13,9-4,52,48,1,0,15,0,407,31.3
Iowa St. (Big 12),12,3-9,48,47,0,0,13,1,376,31.3
New Mexico (Mountain West),13,9-4,54,49,0,0,12,0,409,31.5
Texas (Big 12),12,5-7,47,43,2,2,15,0,378,31.5
Missouri (SEC),12,4-8,49,48,0,0,12,0,378,31.5
South Fla. (AAC),13,11-2,50,42,2,0,21,1,411,31.6
Mississippi St. (SEC),13,6-7,53,44,3,0,15,0,413,31.8
Illinois (Big Ten),12,3-9,47,46,1,0,17,1,383,31.9
Buffalo (MAC),12,2-10,49,44,1,0,16,0,388,32.3
North Texas (C-USA),13,5-8,55,46,2,0,14,1,424,32.6
Louisiana Tech (C-USA),14,9-5,62,60,0,1,12,0,470,33.6
Akron (MAC),12,5-7,50,48,1,0,17,1,403,33.6
Virginia (ACC),12,2-10,51,49,1,0,16,0,405,33.8
Ole Miss (SEC),12,5-7,50,48,0,0,20,0,408,34.0
Wyoming (Mountain West),14,8-6,61,55,1,0,18,0,477,34.1
Charlotte (C-USA),12,4-8,54,49,0,0,14,0,415,34.6
San Jose St. (Mountain West),12,4-8,54,53,0,0,13,0,416,34.7
FIU (C-USA),12,4-8,55,52,2,0,10,1,418,34.8
UTEP (C-USA),12,4-8,53,47,3,0,16,0,419,34.9
Pittsburgh (ACC),13,8-5,59,54,1,0,16,0,458,35.2
Marshall (C-USA),12,3-9,55,52,0,1,13,0,423,35.3
Massachusetts (FBS Independent),12,2-10,53,47,1,0,19,1,426,35.5
Middle Tenn. (C-USA),13,8-5,62,59,1,0,10,1,465,35.8
East Carolina (AAC),12,3-9,56,54,0,0,13,2,433,36.1
SMU (AAC),12,5-7,56,52,0,0,15,1,435,36.3
UNLV (Mountain West),12,4-8,56,53,1,0,16,1,441,36.8
Hawaii (Mountain West),14,7-7,67,63,0,0,19,0,522,37.3
Kansas (Big 12),12,2-10,58,50,0,0,16,1,448,37.3
Rice (C-USA),12,3-9,58,57,0,1,13,1,448,37.3
Rutgers (Big Ten),12,2-10,60,55,1,0,11,0,450,37.5
Purdue (Big Ten),12,3-9,59,54,3,0,15,0,459,38.3
Arizona (Pac-12),12,3-9,62,59,0,0,9,1,460,38.3
Bowling Green (MAC),12,4-8,63,55,2,0,7,1,460,38.3
Syracuse (ACC),12,4-8,61,57,1,1,12,0,463,38.6
New Mexico St. (Sun Belt),12,3-9,60,56,1,0,16,0,466,38.8
ULM (Sun Belt),12,4-8,60,54,1,0,17,1,469,39.1
Fla. Atlantic (C-USA),12,3-9,63,57,3,0,12,0,477,39.8
Arizona St. (Pac-12),12,5-7,61,58,0,0,18,0,478,39.8
Texas St. (Sun Belt),12,2-10,63,54,1,0,19,1,493,41.1
Oregon (Pac-12),12,4-8,68,60,3,0,7,1,497,41.4
California (Pac-12),12,5-7,67,65,0,0,14,1,511,42.6
Texas Tech (Big 12),12,5-7,68,66,1,0,14,2,522,43.5
Coastal Carolina (FBS Independent),12,10-2,31,27,2,0,5,0,232,19.3
